chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL111217,7.8,=,Ki,8.11,179188,CC(/C=C/C(F)=C(/C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F)=C\C(=O)O
CHEMBL111217,6.8,=,IC50,8.17,179188,CC(/C=C/C(F)=C(/C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F)=C\C(=O)O
CHEMBL130231,28.7,=,Ki,7.54,217307,CCC(C)(C)c1cc(/C(C)=C(F)\C=C\C(C)=C\C(=O)O)c(OCC(F)F)c(C(C)(C)CC)c1
CHEMBL130231,13.7,=,IC50,7.86,217307,CCC(C)(C)c1cc(/C(C)=C(F)\C=C\C(C)=C\C(=O)O)c(OCC(F)F)c(C(C)(C)CC)c1
CHEMBL337393,2.6,=,Ki,8.59,217364,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cc(F)cc(F)c2)cc(C(C)C)c1OCC(F)F
CHEMBL337393,4.6,=,IC50,8.34,217364,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cc(F)cc(F)c2)cc(C(C)C)c1OCC(F)F
CHEMBL131826,4.4,=,Ki,8.36,217069,CCCCOc1c(/C(C)=C(F)\C=C\C(C)=C\C(=O)O)cc(C(C)C)cc1C(C)C
CHEMBL131826,4.7,=,IC50,8.33,217069,CCCCOc1c(/C(C)=C(F)\C=C\C(C)=C\C(=O)O)cc(C(C)C)cc1C(C)C
CHEMBL335242,4.1,=,Ki,8.39,217057,CC(/C=C/C(F)=C(/C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)(F)F)=C\C(=O)O
CHEMBL335242,7.2,=,IC50,8.14,217057,CC(/C=C/C(F)=C(/C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)(F)F)=C\C(=O)O
CHEMBL131122,85.8,=,Ki,7.07,217408,CCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(C)C)cc1C(F)(F)C(F)(F)F
CHEMBL131122,10.7,=,IC50,7.97,217408,CCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(C)C)cc1C(F)(F)C(F)(F)F
CHEMBL130317,3.0,=,Ki,8.52,217045,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccco2)cc(C(C)C)c1OCC(F)F
CHEMBL130317,3.6,=,IC50,8.44,217045,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccco2)cc(C(C)C)c1OCC(F)F
CHEMBL130232,1.0,=,Ki,9.0,217308,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cccc(F)c2)cc(C(C)C)c1OCC(F)F
CHEMBL130232,3.9,=,IC50,8.41,217308,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cccc(F)c2)cc(C(C)C)c1OCC(F)F
CHEMBL133915,0.8,=,Ki,9.1,217494,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccc(F)cc2)cc(C(C)C)c1OCC(F)F
CHEMBL133915,2.2,=,IC50,8.66,217494,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccc(F)cc2)cc(C(C)C)c1OCC(F)F
CHEMBL422088,2.3,=,Ki,8.64,217021,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccccc2F)cc(C(C)C)c1OCC(F)F
CHEMBL422088,3.1,=,IC50,8.51,217021,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccccc2F)cc(C(C)C)c1OCC(F)F
CHEMBL42314,1.5,=,Ki,8.82,61070,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F
CHEMBL133896,6.3,=,Ki,8.2,217484,CCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C
CHEMBL133896,92.0,=,EC50,7.04,217484,CCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C
CHEMBL133896,5.3,=,IC50,8.28,217484,CCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C
CHEMBL75133,6.0,=,IC50,8.22,119754,CC(/C=C/[C@@H]1C[C@]1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C)=C\C(=O)O
CHEMBL424269,21.4,=,Ki,7.67,217452,CCCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C
CHEMBL424269,4.0,=,IC50,8.4,217452,CCCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C
CHEMBL132568,25.6,=,Ki,7.59,217481,CCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C
CHEMBL132568,5.1,=,IC50,8.29,217481,CCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C
CHEMBL288436,12.9,=,Ki,7.89,61111,Cc1cc2c(cc1C1(c3ccc(C(=O)O)cn3)CC1)C(C)(C)CCC2(C)C
CHEMBL288436,17.0,=,EC50,7.77,61111,Cc1cc2c(cc1C1(c3ccc(C(=O)O)cn3)CC1)C(C)(C)CCC2(C)C
CHEMBL130374,0.8,=,Ki,9.1,217046,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cccs2)cc(C(C)C)c1OCC(F)F
CHEMBL130374,1.9,=,IC50,8.72,217046,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cccs2)cc(C(C)C)c1OCC(F)F
CHEMBL424639,6.1,=,Ki,8.21,217441,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)C)cc(-c2ccccc2)c1OCC(F)F
CHEMBL424639,57.9,=,IC50,7.24,217441,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)C)cc(-c2ccccc2)c1OCC(F)F
CHEMBL86893,1100.0,=,EC50,5.96,141452,C/C(=C/c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccc(C(=O)O)cc1
CHEMBL89253,2800.0,=,EC50,5.55,141964,CC1(C)CCC(C)(C)c2cc(-c3ccccc3-c3ccc(C(=O)O)cc3)ccc21
CHEMBL86663,2700.0,=,EC50,5.57,140898,C/C(=C/c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C
CHEMBL87147,2800.0,=,EC50,5.55,142068,C/C(=C/c1ccc2c(c1)C(C)(C)CCS2)c1ccc(C(=O)O)cc1
CHEMBL38,430.0,=,EC50,6.37,2208,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
CHEMBL36718,1500.0,=,EC50,5.82,55412,CC1=C(CC/C(C)=C/c2ccc(C(=O)O)cc2)C(C)(C)CCC1
CHEMBL275311,10000.0,=,EC50,5.0,11254,C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C
CHEMBL151870,10000.0,=,EC50,5.0,249304,CC1=C(/C=C/C#Cc2ccc(C(=O)O)cc2)C(C)(C)CCC1
CHEMBL44478,13.0,=,EC50,7.89,68407,CC1=C(/C=C\C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1
CHEMBL111983,330.0,=,EC50,6.48,187839,C=C(c1ccc(C(=O)O)s1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
CHEMBL111911,21.0,=,EC50,7.68,187923,CC(/C=C/C1(c2cc3c(cc2C)C(C)(C)CCC3(C)C)OCCO1)=C\C(=O)O
CHEMBL115763,300.0,=,EC50,6.52,189056,CC(c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C
CHEMBL112715,34.0,=,EC50,7.47,187744,CC1(C)CCC(C)(C)c2cc(C3(c4ccc(C(=O)O)cc4)OCCO3)ccc21
CHEMBL101308,3000.0,=,EC50,5.52,163573,CC1(C)CCC(C)(C)c2cc(C(=O)c3ccc(C(=O)O)cc3)ccc21
CHEMBL101308,4500.0,=,EC50,5.35,163573,CC1(C)CCC(C)(C)c2cc(C(=O)c3ccc(C(=O)O)cc3)ccc21
CHEMBL115164,200.0,=,EC50,6.7,187896,CC(C)=C(/C=C/C(C)=C/C(=O)O)c1cc2c(cc1C)C(C)(C)CCC2(C)C
CHEMBL414233,380.0,=,EC50,6.42,187838,CC(C)=C(/C=C/C(C)=C/C(=O)O)c1ccc2c(c1)C(C)(C)CCC2(C)C
CHEMBL114319,3100.0,=,EC50,5.51,188161,CC1(C)CCC(C)(C)c2cc(C(C)(C)c3ccc(C(=O)O)cc3)ccc21
CHEMBL705,6.0,=,EC50,8.22,33216,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1
CHEMBL116859,2500.0,=,EC50,5.6,188276,CC1(C)CCC(C)(C)c2cc(Oc3ccc(C(=O)O)cc3)ccc21
CHEMBL1023,42.0,=,EC50,7.38,119498,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
CHEMBL115050,55.0,=,EC50,7.26,187855,C/C=C(/c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C
CHEMBL115050,470.0,=,EC50,6.33,187855,C/C=C(/c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C
CHEMBL24966,86.0,=,EC50,7.07,33217,CC(C)=C(c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C
CHEMBL96184,270.0,=,EC50,6.57,151357,C=C(c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C
CHEMBL323626,170.0,=,EC50,6.77,187006,CC1(C)CCC(C)(C)c2cc(C3(c4ccc(C(=O)O)cc4)SCCS3)ccc21
CHEMBL115558,2900.0,=,EC50,5.54,188601,CC1(C)CCC(C)(C)c2cc(C(O)c3ccc(C(=O)O)cc3)ccc21
CHEMBL38,530.0,=,EC50,6.28,2208,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
