chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL2448172,1900.0,=,Ki,5.72,1590320,Nc1ncnc2c1ncn2[C@@H](CO)O[C@@H](C=O)CO
CHEMBL280595,0.5,=,Ki,9.3,41141,C=C(C=O)OC(C=O)n1cnc2c(N)ncnc21
CHEMBL281476,3.3,=,Ki,8.48,41140,Nc1ncnc2c1ncn2C(C=O)OC(C=O)CO
CHEMBL202701,4000.0,=,IC50,5.4,341503,Nc1nccc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL608943,3800.0,=,Ki,5.42,607051,Nc1ncnc2c1ncn2C1O[C@H](C#CBr)[C@@H](O)[C@H]1O
CHEMBL608312,1100.0,=,Ki,5.96,606487,Nc1ncnc2c1ncn2C1O[C@H](C#CI)[C@@H](O)[C@H]1O
CHEMBL2093950,100000.0,=,IC50,4.0,1368409,Nc1nccc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
CHEMBL608911,1700.0,=,Ki,5.77,606498,Nc1ncnc2c1ncn2C1O[C@H](C#CCl)[C@@H](O)[C@H]1O
CHEMBL2051969,11000.0,=,Ki,4.96,1352927,Nc1ncnc2c1ncn2[C@@H]1O/C(=C\F)[C@@H](O)[C@@H]1O
CHEMBL3349334,1600.0,=,Ki,5.8,1797945,Nc1ncnc2c1ncn2[C@@H]1O/C(=C\Cl)[C@@H](O)[C@H]1O
CHEMBL8275,11.1,=,Ki,7.96,3820,Nc1ncnc2c1ncn2C1CC(O)C(O)C1O
CHEMBL45769,550.0,=,Ki,6.26,73692,Nc1ncnc2c1ncn2[C@@H]1O/C(=C\F)[C@@H](O)[C@H]1O
CHEMBL45769,6500.0,=,Ki,5.19,73692,Nc1ncnc2c1ncn2[C@@H]1O/C(=C\F)[C@@H](O)[C@H]1O
CHEMBL8771,3.0,=,Ki,8.52,3998,Nc1ncnc2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O
CHEMBL609353,10000.0,=,Ki,5.0,607747,Nc1ncnc2c1ncn2C1O[C@H](C(F)F)[C@@H](O)[C@H]1O
CHEMBL609353,9700.0,=,Ki,5.01,607747,Nc1ncnc2c1ncn2C1O[C@H](C(F)F)[C@@H](O)[C@H]1O
CHEMBL609353,9700.0,=,Ki,5.01,607747,Nc1ncnc2c1ncn2C1O[C@H](C(F)F)[C@@H](O)[C@H]1O
CHEMBL129014,160.0,=,Ki,6.8,212324,Nc1ncnc2c1ncn2[C@@H]1C[C@H](O)[C@@H](O)[C@H]1O
CHEMBL1090,30000.0,=,Ki,4.52,149095,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
CHEMBL2051968,3200.0,=,Ki,5.5,1352926,Nc1ncnc2c1ncn2[C@@H]1O/C(=C/F)[C@@H](O)[C@@H]1O
CHEMBL297437,1040.0,=,Ki,5.98,73587,Nc1ncnc2c1ncn2[C@@H]1O/C(=C/F)[C@@H](O)[C@H]1O
CHEMBL297437,2400.0,=,Ki,5.62,73587,Nc1ncnc2c1ncn2[C@@H]1O/C(=C/F)[C@@H](O)[C@H]1O
CHEMBL2368677,3000.0,=,Ki,5.52,1543128,Nc1ncnc2c1ncn2[C@@H]1O/C(=C(\F)Cl)[C@@H](O)[C@H]1O
CHEMBL129469,7900.0,=,Ki,5.1,211631,Nc1nc(F)nc2c1ncn2[C@@H]1C[C@H](O)[C@@H](O)[C@H]1O
CHEMBL2368687,1500.0,=,Ki,5.82,1543138,Nc1ncnc2c1ncn2[C@@H]1O/C(=C(/F)Cl)[C@@H](O)[C@H]1O
CHEMBL50728,22.0,=,Ki,7.66,77084,C=C[C@H]1C[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
CHEMBL63311,8900.0,=,IC50,5.05,103146,Nc1ncnc2c1ncn2[C@@H]1C(F)=C[C@@H](O)[C@H]1O
CHEMBL603565,4000.0,=,Ki,5.4,604898,C=CSC[C@H]1OC(n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
CHEMBL299961,8700.0,=,IC50,5.06,76836,Nc1ncnc2c1ncn2[C@@H]1C=C[C@@H](O)[C@H]1O
CHEMBL604826,67000.0,=,Ki,4.17,604932,N#CSC[C@H]1OC(n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
CHEMBL2115031,180.0,=,IC50,6.75,1386982,Nc1ncnc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@@H](CO)[C@@H]1F
CHEMBL8771,3.8,=,Ki,8.42,3998,Nc1ncnc2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O
CHEMBL50306,27.0,=,Ki,7.57,77056,C[C@H]1C[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
CHEMBL296392,586.0,=,Ki,6.23,77507,CC[C@H]1C[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
CHEMBL299999,5020.0,=,Ki,5.3,76580,C[C@@H]1C[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
CHEMBL64718,470.0,=,IC50,6.33,97879,Nc1ncnc2c1ncn2[C@@H]1C(F)=C(CO)[C@@H](O)[C@H]1O
CHEMBL299961,49.0,=,Ki,7.31,76836,Nc1ncnc2c1ncn2[C@@H]1C=C[C@@H](O)[C@H]1O
CHEMBL430774,28000.0,=,IC50,4.55,79056,Nc1ncnc2c1ncn2C1C(O)C(O)C(CO)C1O
CHEMBL299135,9150.0,=,Ki,5.04,76955,CC1=C[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
CHEMBL8771,890.0,=,IC50,6.05,3998,Nc1ncnc2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O
CHEMBL2374428,40.0,=,IC50,7.4,1548879,Nc1ncnc2c1ncn2[C@@H](C=O)O[C@@H](C=O)CO
CHEMBL298188,67600.0,=,Ki,4.17,77018,Nc1ncnc2c1ncn2[C@@H]1C[C@H](c2ccccc2)[C@@H](O)[C@H]1O
CHEMBL2115462,8.0,=,IC50,8.1,1387413,Nc1ncnc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@@H](CO)[C@H]1F
CHEMBL606109,10000.0,=,Ki,5.0,605607,C#CSC[C@H]1OC(n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
CHEMBL301499,12.0,=,Ki,7.92,77055,Nc1ncnc2c1ncn2[C@@H]1CC[C@@H](O)[C@H]1O
