chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL419082,40.0,=,IC50,7.4,107748,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1O
CHEMBL307982,48.0,=,IC50,7.32,108087,CC(C)n1cc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21
CHEMBL69129,88.0,=,IC50,7.06,107756,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCC(O)C1
CHEMBL69827,84.0,=,IC50,7.08,107683,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CC(O)C(O)C1
CHEMBL306380,170.0,=,IC50,6.77,107975,Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1
CHEMBL306012,150.0,=,IC50,6.82,108051,CC(C)(C)n1cc(-c2ccc(Cl)cc2)c2c(N)ncnc21
CHEMBL47940,70.0,=,IC50,7.16,69266,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1
CHEMBL302281,610.0,=,IC50,6.21,107786,CC(C)(C)n1cc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21
CHEMBL104215,60.0,=,IC50,7.22,171198,Nc1ncnc2c1c(-c1cccc(O)c1)cn2-c1ccc(CCOP(=O)(O)CP(=O)(O)O)cc1
CHEMBL321569,870.0,=,IC50,6.06,171010,COc1cccc(-c2cn(-c3ccc(C(=O)Nc4ccc(P(=O)(O)O)c(P(=O)(O)O)c4)cc3)c3ncnc(N)c23)c1
CHEMBL103293,29.0,=,IC50,7.54,165657,COc1cc(Nc2c(C#N)cnc3cc(-c4cccc(CCN5CCOCC5)c4)ccc23)c(Cl)cc1Cl
CHEMBL321779,120.0,=,IC50,6.92,170996,Cc1ccc(-c2cn(C(C)(C)C)c3ncnc(N)c23)cc1
CHEMBL103454,3.7,=,IC50,8.43,165811,CCN1CCN(CCc2ccc(-c3ccc4c(Nc5cc(OC)c(Cl)cc5Cl)c(C#N)cnc4c3)cc2)CC1
CHEMBL102595,14.0,=,IC50,7.85,165779,COc1cc(Nc2c(C#N)cnc3cc(-c4cccc(CN5CCN(C)CC5)c4)ccc23)c(Cl)cc1Cl
CHEMBL419171,74.0,=,IC50,7.13,165644,COc1cc(Nc2c(C#N)cnc3cc(-c4cccc(CCN5CCOCC5)c4)c(OC)cc23)c(Cl)cc1Cl
CHEMBL102165,14.0,=,IC50,7.85,165203,COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CCN5CCOCC5)cc4)ccc23)c(Cl)cc1Cl
CHEMBL105056,40.0,=,IC50,7.4,171753,CN(CCO)CCc1ccc(-n2cc(-c3cccc(O)c3)c3c(N)ncnc32)cc1
CHEMBL288441,1.3,=,IC50,8.89,62111,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl
CHEMBL432941,100.0,=,IC50,7.0,144815,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)c1
CHEMBL420609,1390.0,=,IC50,5.86,144433,COc1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2
CHEMBL322395,3.3,=,IC50,8.48,165700,COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CN5CCOCC5)cc4)ccc23)c(Cl)cc1Cl
CHEMBL431996,60.0,=,IC50,7.22,144468,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)[nH]c2c1CCCC2
CHEMBL104077,19000.0,=,IC50,4.72,171009,COc1cccc(-c2cn(-c3cccc(C(=O)Nc4ccc(C(P(=O)(O)O)P(=O)(O)O)cc4)c3)c3ncnc(N)c23)c1
CHEMBL88771,110.0,=,IC50,6.96,145086,O=C(O)CCc1c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)[nH]c2c1CCCC2
CHEMBL104857,250.0,=,IC50,6.6,170682,COc1cccc(-c2cn(-c3ccc(C(=O)NCCCP(=O)(O)CP(=O)(O)O)cc3)c3ncnc(N)c23)c1
CHEMBL100076,4000.0,=,IC50,5.4,165629,COc1cc(Nc2c(C#N)cnc3cc(-c4ccccc4CN4CCOCC4)ccc23)c(Cl)cc1Cl
CHEMBL320417,1150.0,=,IC50,5.94,170479,COc1cccc(-c2cn(-c3ccc(CCO)cc3)c3ncnc(N)c23)c1
CHEMBL3706662,400.0,=,IC50,6.4,2038668,Cc1ccc(-c2nn(-c3cccc(C(=O)NCCCP(=O)(O)CP(=O)(O)O)c3)c3ncnc(N)c23)cc1
CHEMBL91815,60.0,=,IC50,7.22,144811,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1
CHEMBL105516,2500.0,=,IC50,5.6,171011,COc1cccc(-c2cn(-c3cccc(C(=O)Nc4ccc(P(=O)(O)O)c(P(=O)(O)O)c4)c3)c3ncnc(N)c23)c1
CHEMBL328029,4740.0,=,IC50,5.32,145343,O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCCC2
CHEMBL314995,1270.0,=,IC50,5.9,144653,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(Br)cc32)[nH]c2c1CCCC2
CHEMBL103839,28.0,=,IC50,7.55,165727,COc1cc(Nc2c(C#N)cnc3cc(-c4cccc(CN5CCOCC5)c4)ccc23)c(Cl)cc1Cl
CHEMBL421025,310.0,=,IC50,6.51,169953,COc1cccc(-c2cn(-c3ccc(CCN(C)CCOP(=O)(O)CP(=O)(O)O)cc3)c3ncnc(N)c23)c1
CHEMBL100825,3.0,=,IC50,8.52,165563,CCN1CCN(Cc2ccc(-c3ccc4c(Nc5cc(OC)c(Cl)cc5Cl)c(C#N)cnc4c3)cc2)CC1
CHEMBL88483,80.0,=,IC50,7.1,145336,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2
CHEMBL89363,10600.0,=,IC50,4.97,141118,Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1CCC(=O)O
CHEMBL102946,40.0,=,IC50,7.4,170081,Nc1ncnc2c1c(-c1cccc(O)c1)cn2-c1ccc(CCO)cc1
CHEMBL276711,16400.0,=,IC50,4.79,12911,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1
CHEMBL318996,4.0,=,IC50,8.4,170542,CN(CCOP(=O)(O)CP(=O)(O)O)CCc1ccc(-n2cc(-c3cccc(O)c3)c3c(N)ncnc32)cc1
CHEMBL101081,11.0,=,IC50,7.96,165703,COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CCN5CCOCC5)cc4)c(OC)cc23)c(Cl)cc1Cl
CHEMBL317821,3.8,=,IC50,8.42,165749,COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CN5CCN(C)CC5)cc4)ccc23)c(Cl)cc1Cl
CHEMBL105005,4000.0,=,IC50,5.4,171752,COc1cccc(-c2cn(-c3cccc(C(=O)O)c3)c3ncnc(N)c23)c1
CHEMBL3706663,20.0,=,IC50,7.7,2038669,Nc1ncnc2c1c(-c1cccc(O)c1)nn2-c1cccc(P(=O)(O)CC(=O)O)c1
CHEMBL3706661,320.0,=,IC50,6.5,2038667,Cc1ccc(-c2nn(-c3cccc(C(=O)NCc4ccc(P(=O)(O)O)c(P(=O)(O)O)c4)c3)c3ncnc(N)c23)cc1
CHEMBL317693,1500.0,=,IC50,5.82,170821,COc1cccc(-c2cn(-c3ccc(C(=O)O)cc3)c3ncnc(N)c23)c1
CHEMBL99637,150.0,=,IC50,6.82,165639,COc1cc(Nc2c(C#N)cnc3cc(-c4cccc(CN5CCOCC5)c4)c(OC)cc23)c(Cl)cc1Cl
