chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL10,30000.0,=,IC50,4.52,250,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1
CHEMBL261454,27000.0,=,IC50,4.57,428708,c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1
CHEMBL261454,5.0,=,Kd,8.3,428708,c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1
CHEMBL129677,34.0,=,IC50,7.47,211956,Cc1cccc(-c2[nH]ncc2-c2ccnc3ccccc23)n1
CHEMBL129677,2.9,=,IC50,8.54,211956,Cc1cccc(-c2[nH]ncc2-c2ccnc3ccccc23)n1
CHEMBL129677,7.1,=,IC50,8.15,211956,Cc1cccc(-c2[nH]ncc2-c2ccnc3ccccc23)n1
CHEMBL118928,44.0,=,IC50,7.36,197210,Cc1cccc(-c2n[nH]cc2-c2ccc(O)cc2)n1
CHEMBL118928,32.0,=,IC50,7.5,197210,Cc1cccc(-c2n[nH]cc2-c2ccc(O)cc2)n1
CHEMBL126789,151.0,=,IC50,6.82,211418,Cc1cccc(-c2[nH]ncc2-c2ccc(F)c(F)c2)n1
CHEMBL126789,788.0,=,IC50,6.1,211418,Cc1cccc(-c2[nH]ncc2-c2ccc(F)c(F)c2)n1
CHEMBL126789,683.0,=,IC50,6.17,211418,Cc1cccc(-c2[nH]ncc2-c2ccc(F)c(F)c2)n1
CHEMBL129760,44.0,=,IC50,7.36,211405,COc1ccc(-c2cn(C)nc2-c2cccc(C)n2)cc1
CHEMBL129760,47.0,=,IC50,7.33,211405,COc1ccc(-c2cn(C)nc2-c2cccc(C)n2)cc1
CHEMBL129760,61.0,=,IC50,7.21,211405,COc1ccc(-c2cn(C)nc2-c2cccc(C)n2)cc1
CHEMBL341280,31.0,=,IC50,7.51,211977,Brc1cccc(-c2[nH]ncc2-c2ccnc3ccccc23)n1
CHEMBL341280,2.9,=,IC50,8.54,211977,Brc1cccc(-c2[nH]ncc2-c2ccnc3ccccc23)n1
CHEMBL341280,1.2,=,IC50,8.92,211977,Brc1cccc(-c2[nH]ncc2-c2ccnc3ccccc23)n1
CHEMBL341534,4670.0,=,IC50,5.33,211429,Clc1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1
CHEMBL129153,82.0,=,IC50,7.09,211930,Cc1cccc(-c2[nH]nc(C)c2-c2ccnc3ccccc23)n1
CHEMBL129153,24.0,=,IC50,7.62,211930,Cc1cccc(-c2[nH]nc(C)c2-c2ccnc3ccccc23)n1
CHEMBL129153,148.0,=,IC50,6.83,211930,Cc1cccc(-c2[nH]nc(C)c2-c2ccnc3ccccc23)n1
CHEMBL129553,543.0,=,IC50,6.26,211424,Cc1cccc(-c2[nH]ncc2-c2ccccc2)n1
CHEMBL129553,3370.0,=,IC50,5.47,211424,Cc1cccc(-c2[nH]ncc2-c2ccccc2)n1
CHEMBL129553,2160.0,=,IC50,5.67,211424,Cc1cccc(-c2[nH]ncc2-c2ccccc2)n1
