chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL1544,0.1,=,Kd,10.0,433015,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
CHEMBL111953,37.0,=,Kd,7.43,184841,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(C#Cc2ccccc2)c(O)c(C(C)C)c1
CHEMBL111953,500.0,=,EC50,6.3,184841,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(C#Cc2ccccc2)c(O)c(C(C)C)c1
CHEMBL109430,0.52,=,Kd,9.28,184199,CCCCCc1ccc(C#Cc2cc(Cc3c(C)cc(OCC(=O)O)cc3C)cc(C(C)C)c2O)cc1
CHEMBL109430,380.0,=,EC50,6.42,184199,CCCCCc1ccc(C#Cc2cc(Cc3c(C)cc(OCC(=O)O)cc3C)cc(C(C)C)c2O)cc1
CHEMBL109279,20.0,=,Kd,7.7,184865,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(C#Cc2ccc([N+](=O)[O-])cc2)c(O)c(C(C)C)c1
CHEMBL109279,370.0,=,IC50,6.43,184865,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(C#Cc2ccc([N+](=O)[O-])cc2)c(O)c(C(C)C)c1
CHEMBL110158,90.0,=,Kd,7.05,184143,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(C#Cc2ccc(N)cc2)c(O)c(C(C)C)c1
CHEMBL107400,7.0,=,EC50,8.15,176291,Cc1cc(OCC(=O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1
CHEMBL112087,680.0,=,IC50,6.17,184233,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(-c2ccc([N+](=O)[O-])cc2)c(O)c(C(C)C)c1
CHEMBL163067,4.5,=,IC50,8.35,269385,CC(C)c1cc(Oc2c(Br)cc(C[C@H](N)C(=O)O)cc2Br)ccc1O
CHEMBL163067,200.0,=,IC50,6.7,269385,CC(C)c1cc(Oc2c(Br)cc(C[C@H](N)C(=O)O)cc2Br)ccc1O
CHEMBL161535,1.0,=,IC50,9.0,269904,COC(=O)C(=O)Nc1cc(C)c(Oc2ccc(OC)c(C(C)C)c2)c(C)c1
CHEMBL352126,12.0,=,IC50,7.92,269567,Cc1cc(NCC(=O)O)cc(C)c1Oc1ccc(O)c(C(C)C)c1
CHEMBL350049,0.23,=,IC50,9.64,269141,CCOC(=O)C(=O)Nc1cc(C)c(Oc2ccc(O)c(C(C)C)c2)c(C)c1
CHEMBL434476,1.5,=,IC50,8.82,269363,O=C(O)C(=O)Nc1cc(Cl)c(Oc2ccc(O)c(C(O)c3ccc(Cl)cc3)c2)c(Cl)c1
CHEMBL163020,3.6,=,IC50,8.44,269383,CC(C)c1cc(Oc2c(F)cc(NC(=O)C(=O)O)cc2F)ccc1O
CHEMBL423977,0.68,=,IC50,9.17,269329,O=C(O)C(=O)Nc1cc(Cl)c(Oc2ccc(O)c(Cc3ccc(F)cc3)c2)c(Cl)c1
CHEMBL423977,3000.0,=,IC50,5.52,269329,O=C(O)C(=O)Nc1cc(Cl)c(Oc2ccc(O)c(Cc3ccc(F)cc3)c2)c(Cl)c1
CHEMBL163221,0.1,=,IC50,10.0,269781,CC(C)c1cc(Oc2c(I)cc(NC(=O)C(=O)O)cc2I)ccc1O
CHEMBL163221,800.0,=,IC50,6.1,269781,CC(C)c1cc(Oc2c(I)cc(NC(=O)C(=O)O)cc2I)ccc1O
CHEMBL163324,0.27,=,IC50,9.57,268950,O=C(O)C(=O)Nc1cc(Cl)c(Oc2ccc(O)c(Cc3ccc(Cl)cc3)c2)c(Cl)c1
CHEMBL159610,2.5,=,IC50,8.6,268697,Cc1cc(NC(=O)C(=O)O)cc(C)c1Oc1ccc(O)c(C(=O)c2ccc(F)cc2)c1
CHEMBL163380,1.1,=,IC50,8.96,269001,CC(C)c1cc(Oc2c(Cl)cc(NCC(=O)O)cc2Cl)ccc1O
CHEMBL347713,3.5,=,IC50,8.46,268688,Cc1cc(SCC(=O)O)cc(C)c1Oc1ccc(O)c(C(C)C)c1
CHEMBL159595,0.8,=,IC50,9.1,268696,Cc1cc(NC(=O)C(=O)O)cc(C)c1Oc1ccc(O)c(C(O)c2ccc(F)cc2)c1
CHEMBL162692,1.5,=,IC50,8.82,268901,CC(C)c1cc(Oc2c(Br)cc(SCC(=O)O)cc2Br)ccc1O
CHEMBL1544,4.4,=,IC50,8.36,433015,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
CHEMBL1544,500.0,=,IC50,6.3,433015,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
CHEMBL350199,0.95,=,IC50,9.02,269347,Cc1cc(NC(=O)C(N)=O)cc(C)c1Oc1ccc(O)c(C(C)C)c1
