chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL339703,20.0,=,Ki,7.7,658167,CC(=O)N1CC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nc2ccccc2s1
CHEMBL339764,90.0,=,Ki,7.05,658169,CC(=O)N1C[C@H](O)C[C@H]1C(=O)NC(CCCN)C(=O)c1nc2ccccc2s1
CHEMBL542712,140.0,=,Ki,6.85,165384,N=C(N)c1ccc2nc(Cc3nc4ccc(C(=N)N)cc4[nH]3)[nH]c2c1
CHEMBL340183,19.0,=,Ki,7.72,434360,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nc2ccccc2s1
CHEMBL124571,380.0,=,Ki,6.42,434115,CC(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nc2ccccc2s1
CHEMBL421466,38.0,=,Ki,7.42,659515,CC(=O)N1CC=C[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nc2ccccc2s1
CHEMBL341148,250.0,=,Ki,6.6,658202,N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCCN1Cc1ccccc1)C(=O)c1nc2ccccc2s1
CHEMBL127773,73.0,=,Ki,7.14,654437,CC(=O)N1CC(=O)C[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nc2ccccc2s1
CHEMBL124809,33.0,=,Ki,7.48,654337,COS(=O)(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nc2ccccc2s1
CHEMBL127185,14000.0,=,Ki,4.85,434308,CC(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nc2ccccc2s1
CHEMBL127185,2.0,=,IC50,8.7,434308,CC(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nc2ccccc2s1
CHEMBL340098,470.0,=,Ki,6.33,434161,CC(=O)NCC(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nc2ccccc2s1
CHEMBL339122,6.5,=,Ki,8.19,435024,CN[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nc2ccccc2s1
CHEMBL341083,180.0,=,Ki,6.75,658198,CC(=O)N1C[C@H](O)C[C@H]1C(=O)NC(CCCN=C(N)N)C(=O)c1nccs1
CHEMBL124571,10.0,=,Ki,8.0,434115,CC(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nc2ccccc2s1
CHEMBL421643,41.0,=,Ki,7.39,434158,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nc2ccccc2s1
CHEMBL340547,88.0,=,Ki,7.06,297121,N=C(N)NCCCC(NC(=O)C1CCCC1)C(=O)c1nc2ccccc2s1
CHEMBL556199,22.0,=,Ki,7.66,434115,CC(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nc2ccccc2s1
CHEMBL127894,330.0,=,Ki,6.48,208460,N=C(N)NCCC[C@H](NC(=O)c1ccc2ccccc2c1O)C(=O)N1CCCC1C(N)=O
CHEMBL46120,680.0,=,Ki,6.17,123114,N=C(N)Nc1ccc(CNC(=O)CC(=O)NCc2ccc(CNC(=O)CC(=O)NCc3ccc(NC(=N)N)cc3)cc2)cc1
CHEMBL77911,10.0,=,Ki,8.0,123704,N=C(N)Nc1ccc(CNC(=O)CNC(=O)OCc2ccc(COC(=O)NCC(=O)NCc3ccc(NC(=N)N)cc3)cc2)cc1
CHEMBL75749,2.0,=,Ki,8.7,123457,N=C(N)Nc1ccc(CNC(=O)NCC(=O)O[C@H]2CCC[C@@H](OC(=O)CNC(=O)NCc3ccc(NC(=N)N)cc3)CCC2)cc1
CHEMBL79822,5.0,=,Ki,8.3,123112,CN(Cc1ccc(CN(C)C(=O)CCC(=O)NCc2ccc(CN)cc2)cc1)C(=O)CCC(=O)NCc1ccc(CN)cc1
CHEMBL80210,5.0,=,Ki,8.3,124188,CN(CC(=O)NCc1ccc(CN)cc1)C(=O)OCc1ccc(COC(=O)N(C)CC(=O)NCc2ccc(CN)cc2)cc1
CHEMBL78757,2000.0,=,Ki,5.7,123113,CN(Cc1ccc(CN)cc1)C(=O)CCC(=O)NCc1ccc(CNC(=O)CCC(=O)N(C)Cc2ccc(CN)cc2)cc1
CHEMBL309788,40.0,=,Ki,7.4,123706,N=C(N)Nc1ccc(CNC(=O)CCC(=O)NCc2ccc(CNC(=O)CCC(=O)NCc3ccc(NC(=N)N)cc3)cc2)cc1
CHEMBL310290,0.6,=,Ki,9.22,124189,NCc1ccc(CNC(=O)CNC(=O)OCc2ccc(COC(=O)NCC(=O)NCc3ccc(CN)cc3)cc2)cc1
CHEMBL310289,31.0,=,Ki,7.51,124187,C[C@@H](NC(=O)OCc1ccc(COC(=O)N[C@H](C)C(=O)NCc2ccc(CN)cc2)cc1)C(=O)NCc1ccc(CN)cc1
CHEMBL79545,100.0,=,Ki,7.0,123419,N=C(N)Nc1ccc(CNC(=O)CCCC(=O)NCc2ccc(CNC(=O)CCCC(=O)NCc3ccc(NC(=N)N)cc3)cc2)cc1
