chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL35941,50.0,=,Ki,7.3,53251,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)N(C)CC(=O)O)cc1
CHEMBL284613,35.0,=,Ki,7.46,53800,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)N2CCCC2C(=O)O)cc1
CHEMBL169506,1.1,=,Ki,8.96,281133,Cc1nc(O)c2c(ccc3ccc(CNc4ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s4)cc32)n1
CHEMBL355323,0.09,=,Ki,10.05,281052,Cc1nc(O)c2c(ccc3ccc(CNc4ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(F)c4)cc32)n1
CHEMBL30179,0.21,=,Ki,9.68,53722,C#CCN(Cc1cc2c(O)nc(C)nc2cc1C)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)N(CC#C)[C@@H](CCC(=O)O)C(=O)O)c(F)c1
CHEMBL288615,11.0,=,Ki,7.96,53195,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)N(C)[C@@H](CCC(=O)O)C(=O)O)cc1
CHEMBL289749,3.0,=,Ki,8.52,53441,Cc1nc(O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)N(C)[C@@H](CCC(=O)O)C(=O)O)c(F)c3)c(C)cc2n1
CHEMBL324739,5.5,=,Ki,8.26,192111,Cc1nc(O)c2c(ccc3ccc(S(=O)(=O)Nc4ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc4)cc32)n1
CHEMBL168907,0.44,=,Ki,9.36,281608,Cc1nc(O)c2c(ccc3ccc(CNc4ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc4)cc32)n1
CHEMBL37106,1.1,=,Ki,8.96,53196,C#CCN(Cc1cc2c(O)nc(C)nc2cc1C)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)N(C)[C@@H](CCC(=O)O)C(=O)O)c(F)c1
CHEMBL168367,22.0,=,Ki,7.66,281214,Cc1nc(O)c2c(ccc3ccc(CN(C)c4ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc4)cc32)n1
CHEMBL167164,4.0,=,Ki,8.4,280791,Cc1nc(O)c2c(ccc3ccc(CNc4ccc5c(=O)n([C@@H](CCC(=O)O)C(=O)O)sc5c4)cc32)n1
CHEMBL35926,0.35,=,Ki,9.46,53056,C#CCN(Cc1cc2c(O)nc(C)nc2cc1C)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)N(CC)[C@@H](CCC(=O)O)C(=O)O)c(F)c1
CHEMBL288666,2.0,=,Ki,8.7,53978,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
CHEMBL36721,8.6,=,Ki,8.07,53440,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@@H](CC(C)C(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
CHEMBL287693,18.0,=,Ki,7.75,53093,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@@H](CC(C)(C)C(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
CHEMBL264609,4.0,=,Ki,8.4,53404,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)N(C)[C@@H](CCC(=O)O)C(=O)O)c(F)c1
CHEMBL291084,2.6,=,Ki,8.59,53055,C#CCN(Cc1cc2c(O)nc(C)nc2cc1C)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)N(C)[C@@H](CCC(=O)O)C(=O)O)cc1
CHEMBL36426,23.0,=,Ki,7.64,53799,Cc1nc(O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)N(C)[C@@H](CCC(=O)O)C(=O)O)c(F)c3)ccc2n1
CHEMBL34857,42.0,=,Ki,7.38,53983,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)NC(C)(C)C(=O)O)cc1
CHEMBL355662,1.2,=,Ki,8.92,281215,Nc1nc(O)c2c(ccc3ccc(CNc4ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc4)cc32)n1
