chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL553244,41000.0,=,Ki,4.39,56939,C[S+](C)Cc1ccc2cc1C(=O)NCC(=O)NC(CCCN=C(N)N)C(=O)N2
CHEMBL540392,90000.0,=,Ki,4.05,57614,C[S+](Cc1ccc2cc1C(=O)NCC(=O)NC(CCCN=C(N)N)C(=O)N2)c1ccccc1
CHEMBL38512,92000.0,=,Ki,4.04,56441,N=C(N)NCCCC1NC(=O)CNC(=O)c2cc(ccc2CBr)NC1=O
CHEMBL349545,41000.0,=,Ki,4.39,263977,CC(=O)N[C@H](CO)C(=O)NCC(=O)NCc1ccc(C(=N)N)cc1
CHEMBL345236,21000.0,=,Ki,4.68,263315,N=C(N)c1ccc(CNC(=O)CNC(=O)[C@@H](N)CO)cc1
CHEMBL422845,2500.0,=,Ki,5.6,242726,N=C(N)c1cc(-c2nc(-c3ccc(Cl)cc3)cs2)c(SCc2ccccc2)s1
CHEMBL440919,9000.0,=,Ki,5.05,263830,CC(C)(C)OC(=O)N[C@H](CO)C(=O)NCC(=O)NCc1ccc(C(=N)N)cc1
CHEMBL415741,490.0,=,Ki,6.31,264090,N=C(N)c1ccc(CNC(=O)CNC(=O)[C@@H](CO)NS(=O)(=O)CCc2ccccc2)cc1
CHEMBL281899,101.0,=,Ki,7.0,40638,CSc1sc(C(=N)N)cc1-c1nc(-c2ccccc2)cs1
CHEMBL344945,1420.0,=,Ki,5.85,242783,C[S+]([O-])c1sc(C(=N)N)cc1-c1nc(-c2ccc(Cl)cc2)cs1
CHEMBL159162,390.0,=,Ki,6.41,264279,COC(=O)OC[C@@H](NS(=O)(=O)Cc1ccccc1)C(=O)NCC(=O)NCc1ccc(C(=N)N)cc1
CHEMBL423756,1520.0,=,Ki,5.82,242817,COc1ccc(CSc2sc(C(=N)N)cc2-c2nc(-c3ccccc3)cs2)cc1
CHEMBL28890,6000.0,=,Ki,5.22,40345,CSc1ccc(C(=N)N)s1
CHEMBL321519,5490.0,=,Ki,5.26,169323,N=C(N)c1cc(-c2nc(-c3ccccc3)cs2)cs1
CHEMBL343884,169.0,=,Ki,6.77,242785,COc1ccc(-c2csc(-c3cc(C(=N)N)sc3C)n2)cc1OC
CHEMBL346117,1200.0,=,Ki,5.92,264033,N=C(N)c1ccc(CNC(=O)CNC(=O)[C@@H](CO)NS(=O)(=O)c2ccc3ccccc3c2)cc1
CHEMBL158814,48.0,=,Ki,7.32,263976,N=C(N)c1ccc(CNC(=O)CNC(=O)[C@@H](CO)NS(=O)(=O)CC2CCCCC2)cc1
CHEMBL158939,13.0,=,Ki,7.89,264034,N=C(N)c1ccc(CNC(=O)[C@H]2CCCN2C(=O)[C@@H](CO)NS(=O)(=O)Cc2ccccc2)cc1
CHEMBL423246,9600.0,=,Ki,5.02,264059,CC(NS(=O)(=O)c1ccc2ccccc2c1)C(=O)NCc1ccc(C(=N)N)cc1
CHEMBL160944,12000.0,=,Ki,4.92,263888,N=C(N)c1ccc(CNC(=O)CNC(=O)[C@H](N)CO)cc1
CHEMBL156858,9200.0,=,Ki,5.04,263885,N=C(N)c1ccc(CNC(=O)CNS(=O)(=O)c2ccc3ccccc3c2)cc1
CHEMBL157131,1500.0,=,Ki,5.82,263703,CC(C)c1cc(S(=O)(=O)N[C@H](CO)C(=O)NCC(=O)NCc2ccc(C(=N)N)cc2)cc(C(C)C)c1C(C)C
CHEMBL106071,103.0,=,Ki,6.99,169513,Cc1sc(C(=N)N)cc1-c1nc(-c2ccccc2)cs1
CHEMBL345435,500.0,=,Ki,6.3,263663,CC(C)COC(=O)OC[C@@H](NS(=O)(=O)Cc1ccccc1)C(=O)NCC(=O)NCc1ccc(C(=N)N)cc1
CHEMBL60088,320.0,=,Ki,6.5,97378,N=C(N)c1cc2c(I)cccc2s1
CHEMBL350657,23000.0,=,Ki,4.64,263858,CC(C)(C)OC(=O)N[C@@H](CO)C(=O)NCC(=O)NCc1ccc(C(=N)N)cc1
CHEMBL2371217,22000.0,=,Ki,4.66,1545668,N=C(N)c1ccc(CNC(=O)CNC(=O)[C@@H](N)CCC(=O)O)cc1
CHEMBL433510,43.0,=,Ki,7.37,264109,CC(C)COC(=O)OC[C@@H](NS(=O)(=O)Cc1ccccc1)C(=O)N[C@@H](C)C(=O)NCc1ccc(C(=N)N)cc1
CHEMBL160580,82000.0,=,Ki,4.09,263801,CC(C)(C)OC(=O)NC(CCC(=O)O)C(=O)NCC(=O)NCc1ccc(C(=N)N)cc1
CHEMBL342793,2500.0,=,Ki,5.6,243260,CS(=O)(=O)c1sc(C(=N)N)cc1-c1nc(-c2ccc(Cl)cc2)cs1
CHEMBL422533,4000.0,=,Ki,5.4,264032,N=C(N)c1ccc(CNC(=O)CNC(=O)[C@@H](CO)NC(=O)OCc2ccccc2)cc1
CHEMBL160253,3100.0,=,Ki,5.51,264244,C[C@H](NC(=O)[C@@H](CO)NS(=O)(=O)CCc1ccccc1)C(=O)N[C@H]1CCCN(C(=N)N)C1O
CHEMBL441273,138.0,=,Ki,6.86,169512,CCc1sc(C(=N)N)cc1-c1nc(-c2ccccc2)cs1
CHEMBL147427,58.0,=,Ki,7.24,243409,COc1ccc(-c2csc(-c3cc(C(=N)N)sc3SC)n2)cc1OC
CHEMBL157479,61000.0,=,Ki,4.21,263978,N/C(=N\O)c1ccc(CNC(=O)CNC(=O)[C@@H](CO)NS(=O)(=O)Cc2ccccc2)cc1
CHEMBL352009,2200.0,=,Ki,5.66,263650,N=C(N)c1ccc(CNC(=O)CNC(=O)[C@@H](CO)NS(=O)(=O)/C=C/c2ccccc2)cc1
CHEMBL322207,531.0,=,Ki,6.28,169538,COc1sc(C(=N)N)cc1-c1nc(-c2ccccc2)cs1
CHEMBL286243,102.0,=,Ki,6.99,41051,CSc1sc(C(=N)N)cc1-c1nc(-c2ccc(Cl)cc2)cs1
CHEMBL158936,36.0,=,Ki,7.44,264005,N=C(N)c1ccc(CNC(=O)CNC(=O)[C@@H](CO)NS(=O)(=O)Cc2ccccc2)cc1
