chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL68920,16500.0,=,IC50,4.78,107067,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1
CHEMBL69638,7100.0,=,IC50,5.15,107721,Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1
CHEMBL419526,1880.0,=,IC50,5.73,163715,c1ccc(-c2cnc(Nc3ccccn3)o2)cc1
CHEMBL443268,10100.0,=,IC50,5.0,107340,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21
CHEMBL330621,19.0,=,IC50,7.72,163524,Cc1ccc(Nc2ncc(-c3ccccc3)s2)nc1
CHEMBL304271,360.0,=,IC50,6.44,106614,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1
CHEMBL98896,23.0,=,IC50,7.64,163402,c1ccc(-c2cnc(Nc3cnccn3)s2)cc1
CHEMBL98653,240.0,=,IC50,6.62,163010,c1ccc(-c2cnc(Nc3cccnc3)s2)cc1
CHEMBL319065,6.0,=,IC50,8.22,163487,Cc1ccnc(Nc2ncc(-c3ccccc3)s2)c1
CHEMBL328644,124.0,=,IC50,6.91,163012,c1ccc(Nc2ncc(-c3ccccc3)s2)cc1
CHEMBL98385,10.0,=,IC50,8.0,163575,Cc1cccc(Nc2ncc(-c3ccccc3)s2)n1
CHEMBL419082,1000.0,=,IC50,6.0,107748,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1O
CHEMBL318728,134.0,=,IC50,6.87,163716,c1ccc(Nc2ncc(-c3ccccc3)o2)cc1
CHEMBL304760,2720.0,=,IC50,5.57,107787,c1ccc(Oc2ccc(Nc3ncnc4ccccc34)cc2)cc1
