chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL181314,40.0,=,IC50,7.4,302552,Cn1c(=O)c(-c2c(Cl)cc(O)cc2Cl)cc2cnc(Nc3ccc(OCCCC(=O)O)cc3)nc21
CHEMBL360799,410.0,=,IC50,6.39,302578,Cc1c(-c2ccccc2Cl)c(=O)n(C)c2nc(Nc3ccccc3)ncc12
CHEMBL181017,550.0,=,IC50,6.26,302596,CCN(CC)CCOc1ccc(Nc2ncc3c(C)c(-c4ccccc4Cl)c(=O)n(C)c3n2)cc1
CHEMBL180794,1200.0,=,IC50,5.92,302614,Cc1cccc(C)c1-c1c(C)c2cnc(Nc3ccccc3)nc2n(C)c1=O
CHEMBL180821,540.0,=,IC50,6.27,302574,CCN(CC)CCOc1ccc(Nc2ncc3c(C)c(-c4c(C)cccc4C)c(=O)n(C)c3n2)cc1
CHEMBL301612,2600.0,=,IC50,5.58,74941,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21
CHEMBL425873,9700.0,=,IC50,5.01,303286,Cn1c(=O)c(-c2c(F)cccc2F)cc2cnc(Nc3ccccc3)nc21
CHEMBL362402,410.0,=,IC50,6.39,303293,Cn1c(=O)c(-c2c(Br)cccc2Br)cc2cnc(Nc3ccccc3)nc21
CHEMBL359898,990.0,=,IC50,6.0,303308,Cc1cccc(C)c1-c1cc2cnc(Nc3ccccc3)nc2n(C)c1=O
CHEMBL181871,41000.0,=,IC50,4.39,303328,Cn1c(=O)c(-c2c(C(F)(F)F)cccc2C(F)(F)F)cc2cnc(Nc3ccccc3)nc21
CHEMBL360544,27000.0,=,IC50,4.57,303266,Cn1c(=O)c(-c2c(O)cccc2O)cc2cnc(Nc3ccccc3)nc21
CHEMBL181733,2400.0,=,IC50,5.62,303289,Cn1c(=O)c(-c2c(F)cccc2Cl)cc2cnc(Nc3ccccc3)nc21
CHEMBL180810,1900.0,=,IC50,5.72,303290,Cc1cccc(Cl)c1-c1cc2cnc(Nc3ccccc3)nc2n(C)c1=O
CHEMBL181282,3400.0,=,IC50,5.47,303326,COc1cccc(Cl)c1-c1cc2cnc(Nc3ccccc3)nc2n(C)c1=O
CHEMBL434907,1500.0,=,IC50,5.82,303235,Cn1c(=O)c(-c2c(O)cccc2Cl)cc2cnc(Nc3ccccc3)nc21
CHEMBL180149,4500.0,=,IC50,5.35,303243,Cc1cccc(Br)c1-c1cc2cnc(Nc3ccccc3)nc2n(C)c1=O
CHEMBL180290,11000.0,=,IC50,4.96,303262,COc1cccc(O)c1-c1cc2cnc(Nc3ccccc3)nc2n(C)c1=O
CHEMBL360689,50000.0,=,IC50,4.3,303291,Cc1ccc(Cl)c(-c2cc3cnc(Nc4ccccc4)nc3n(C)c2=O)c1Cl
CHEMBL180035,3500.0,=,IC50,5.46,303306,Cn1c(=O)c(-c2c(Cl)ccc(CO)c2Cl)cc2cnc(Nc3ccccc3)nc21
CHEMBL181822,31000.0,=,IC50,4.51,303327,Cn1c(=O)c(-c2c(Cl)ccc(CN)c2Cl)cc2cnc(Nc3ccccc3)nc21
CHEMBL182044,3200.0,=,IC50,5.5,303359,Cn1c(=O)c(-c2c(Cl)ccc(C(=O)O)c2Cl)cc2cnc(Nc3ccccc3)nc21
CHEMBL179806,8600.0,=,IC50,5.07,303252,Cn1c(=O)c(-c2c(Cl)ccc(C(N)=O)c2Cl)cc2cnc(Nc3ccccc3)nc21
CHEMBL181233,74.0,=,IC50,7.13,303271,Cn1c(=O)c(-c2c(Cl)ccc(O)c2Cl)cc2cnc(Nc3ccccc3)nc21
CHEMBL181476,2600.0,=,IC50,5.58,303329,Cn1c(=O)c(-c2c(Cl)ccc(N)c2Cl)cc2cnc(Nc3ccccc3)nc21
CHEMBL362005,8600.0,=,IC50,5.07,303297,Cn1c(=O)c(-c2c(Cl)cc(Cl)cc2Cl)cc2cnc(Nc3ccccc3)nc21
CHEMBL179898,220.0,=,IC50,6.66,303312,Cn1c(=O)c(-c2c(Cl)cc(O)cc2Cl)cc2cnc(Nc3ccccc3)nc21
CHEMBL369732,580.0,=,IC50,6.24,303333,Cc1cc(O)cc(C)c1-c1cc2cnc(Nc3ccccc3)nc2n(C)c1=O
CHEMBL181982,3700.0,=,IC50,5.43,303157,Cn1c(=O)c(-c2c(Cl)cc(N)cc2Cl)cc2cnc(Nc3ccccc3)nc21
CHEMBL178122,3600.0,=,IC50,5.44,303174,CC(=O)Nc1cc(Cl)c(-c2cc3cnc(Nc4ccccc4)nc3n(C)c2=O)c(Cl)c1
CHEMBL361347,140.0,=,IC50,6.85,303219,Cn1c(=O)c(-c2c(Cl)c(O)cc(O)c2Cl)cc2cnc(Nc3ccccc3)nc21
CHEMBL359824,33000.0,=,IC50,4.48,303113,COc1cc(OC)c(C)c(-c2cc3cnc(Nc4ccccc4)nc3n(C)c2=O)c1C
CHEMBL178439,1000.0,=,IC50,6.0,303128,Cc1c(O)cc(O)c(C)c1-c1cc2cnc(Nc3ccccc3)nc2n(C)c1=O
CHEMBL178758,120.0,=,IC50,6.92,303150,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(CC(N)=O)cc3)nc21
CHEMBL433559,190.0,=,IC50,6.72,303167,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(CCC(N)=O)cc3)nc21
CHEMBL180316,260.0,=,IC50,6.58,303182,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(CCCCC(N)=O)cc3)nc21
CHEMBL369296,250.0,=,IC50,6.6,303178,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(OCC(N)=O)cc3)nc21
CHEMBL181095,990.0,=,IC50,6.0,303191,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(C)cccc4C)c(=O)n(C)c3n2)cc1
CHEMBL181285,86.0,=,IC50,7.07,303216,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(OCCCC(=O)O)cc3)nc21
CHEMBL362862,95.0,=,IC50,7.02,303134,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(CCCC(=O)OCCN4CCOCC4)cc3)nc21
CHEMBL179065,124.0,=,IC50,6.91,303148,CN(C)CCOC(=O)CCCc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1
CHEMBL362692,142.0,=,IC50,6.85,303165,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(CCCC(=O)OCCN4CCCCC4)cc3)nc21
CHEMBL113070,32.0,=,IC50,7.5,183341,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(CCCC(=O)O)cc3)nc21
CHEMBL435732,90.0,=,IC50,7.05,303192,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(CC(N)C(=O)O)cc3)nc21
CHEMBL178510,69.0,=,IC50,7.16,303210,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(CCCC4N=NN=N4)cc3)nc21
CHEMBL181423,150.0,=,IC50,6.82,303227,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)ccc(O)c4Cl)c(=O)n(C)c3n2)cc1
CHEMBL366922,40.0,=,IC50,7.4,303121,Cn1c(=O)c(-c2c(Cl)ccc(O)c2Cl)cc2cnc(Nc3ccc(OCCCC(=O)O)cc3)nc21
CHEMBL540206,80.0,=,IC50,7.1,303136,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cc(O)cc4Cl)c(=O)n(C)c3n2)cc1
CHEMBL49120,165.0,=,IC50,6.78,75258,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1
CHEMBL213233,20000.0,=,IC50,4.7,355391,COC1NC(=O)c2c(-c3ccccc3)cc3[nH]c4ccc(O)cc4c3c21
CHEMBL378766,2800.0,=,IC50,5.55,355421,O=C1NC(O)c2c(-c3ccccc3)cc3[nH]c4ccc(O)cc4c3c21
CHEMBL384103,160.0,=,IC50,6.8,355771,NC(=O)c1ccccc1-c1cc2[nH]c3ccc(O)cc3c2c2c1C(=O)NC2=O
CHEMBL384293,40000.0,=,IC50,4.4,355971,O=C1NC(=O)c2c1c(-c1cccc(-c3ccccc3)c1)cc1[nH]c3ccc(O)cc3c21
CHEMBL379347,1100.0,=,IC50,5.96,355913,C[S+]([O-])c1ccc(-c2cc3[nH]c4ccc(O)cc4c3c3c2C(=O)NC3=O)cc1
CHEMBL213075,24.0,=,IC50,7.62,356007,Nc1ccc(-c2cc3[nH]c4ccc(O)cc4c3c3c2C(=O)NC3=O)c(Cl)c1
CHEMBL377204,13000.0,=,IC50,4.89,355591,O=C1NC(=O)c2c1c(C1CCNC1)cc1[nH]c3ccc(O)cc3c21
CHEMBL211306,10000.0,=,IC50,5.0,355919,O=C1NC(=O)c2c1c(C1CCCNC1)cc1[nH]c3ccc(O)cc3c21
CHEMBL272267,15.0,=,IC50,7.82,436084,Cn1c2cc(C(=O)NCCN3CCCC3)c(O)cc2c2c3c(c(-c4ccccc4Cl)cc21)C(=O)NC3=O
CHEMBL402093,46.0,=,IC50,7.34,436124,Cn1c2cc(S(=O)(=O)NCCN3CCCC3)c(O)cc2c2c3c(c(-c4ccccc4Cl)cc21)C(=O)NC3=O
CHEMBL257857,160.0,=,IC50,6.8,436126,Cn1c2cc(S(=O)(=O)CCCN3CCCC3)c(O)cc2c2c3c(c(-c4ccccc4Cl)cc21)C(=O)NC3=O
CHEMBL270866,33.0,=,IC50,7.48,435540,Cn1c2cc([S+]([O-])CCCN3CCCC3)c(O)cc2c2c3c(c(-c4ccccc4Cl)cc21)C(=O)NC3=O
CHEMBL404335,20.0,=,IC50,7.7,435579,Cn1c2cc(SCCCN3CCCC3)c(O)cc2c2c3c(c(-c4ccccc4Cl)cc21)C(=O)NC3=O
CHEMBL270021,24.0,=,IC50,7.62,435715,O=C1NC(=O)c2c1c(-c1ccccc1Cl)cc1c2c2cc(O)c(OCCCN3CCCC3)cc2n1CCO
CHEMBL401776,18.0,=,IC50,7.75,435759,CN(C)CCCOc1cc2c(cc1O)c1c3c(c(-c4ccccc4Cl)cc1n2CCO)C(=O)NC3=O
CHEMBL255427,75.0,=,IC50,7.12,435844,Cn1c2cc(OCCCN3CCCC3)c(O)cc2c2c3c(c(-c4ccccc4Cl)cc21)C(=O)NC3=O
CHEMBL271071,35.0,=,IC50,7.46,436040,O=C1NC(=O)c2c1c(-c1ccccc1Cl)cc1[nH]c3cc(OCCCN4CCCC4)c(O)cc3c21
CHEMBL255565,24.0,=,IC50,7.62,436128,O=C1NC(=O)c2c1c(-c1ccccc1Cl)cc1c2c2cc(O)c(CCCCN3CCCC3)cc2n1CCO
CHEMBL271084,36.0,=,IC50,7.44,435544,Cn1c2cc(CCCCN3CCCC3)c(O)cc2c2c3c(c(-c4ccccc4Cl)cc21)C(=O)NC3=O
CHEMBL272946,50.0,=,IC50,7.3,435624,O=C1NC(=O)c2c1c(-c1ccccc1Cl)cc1[nH]c3cc(CCCCN4CCCC4)c(O)cc3c21
CHEMBL511992,13.0,=,IC50,7.89,451711,O=C(O)CCCn1c2ccc(O)cc2c2c3c(c(-c4ccccc4Cl)cc21)C(=O)NC3=O
CHEMBL472209,19.0,=,IC50,7.72,451645,O=C1NC(=O)c2c1c(-c1ccccc1Cl)cc1c2c2cc(O)ccc2n1CCS(=O)(=O)c1nnc[nH]1
CHEMBL472208,9.0,=,IC50,8.05,451644,O=C1NC(=O)c2c1c(-c1ccccc1Cl)cc1c2c2cc(O)ccc2n1CC[S+]([O-])c1nnc[nH]1
CHEMBL513079,24.0,=,IC50,7.62,451643,O=C1NC(=O)c2c1c(-c1ccccc1Cl)cc1c2c2cc(O)ccc2n1CCSc1nnc[nH]1
CHEMBL462170,23.0,=,IC50,7.64,451518,O=C(O)CCn1c2ccc(O)cc2c2c3c(c(-c4ccccc4)cc21)C(=O)NC3=O
CHEMBL517744,58.0,=,IC50,7.24,451517,CN(C)CC(O)Cn1c2ccc(O)cc2c2c3c(c(-c4ccccc4Cl)cc21)C(=O)NC3=O
CHEMBL516488,57.0,=,IC50,7.24,451516,CNCC(O)Cn1c2ccc(O)cc2c2c3c(c(-c4ccccc4Cl)cc21)C(=O)NC3=O
CHEMBL518048,170.0,=,IC50,6.77,451462,CN(C)CCNC(=O)CCn1c2ccc(O)cc2c2c3c(c(-c4ccccc4)cc21)C(=O)NC3=O
CHEMBL452079,93.0,=,IC50,7.03,451400,O=C1NC(=O)c2c1c(-c1ccccc1)cc1c2c2cc(O)ccc2n1CCCNc1ccccc1
CHEMBL453347,300.0,=,IC50,6.52,451397,CN1CCN(CCCn2c3ccc(O)cc3c3c4c(c(-c5ccccc5)cc32)C(=O)NC4=O)CC1
CHEMBL452829,59.0,=,IC50,7.23,451260,O=C1NC(=O)c2c1c(-c1c(Cl)cccc1Cl)cc1c2c2cc(O)ccc2n1CCCn1ccnc1
CHEMBL486665,54.0,=,IC50,7.27,451197,O=C1NC(=O)c2c1c(-c1ccccc1Cl)cc1c2c2cc(O)ccc2n1CCCn1ccnc1
CHEMBL519238,110.0,=,IC50,6.96,451196,O=C1NC(=O)c2c1c(-c1ccccc1)cc1c2c2cc(O)ccc2n1CCCn1ccnc1
CHEMBL486828,64.0,=,IC50,7.19,451195,O=C1NC(=O)c2c1c(-c1c(Cl)cccc1Cl)cc1c2c2cc(O)ccc2n1CCCN1CCOCC1
