chembl_id,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL342713,12.437172714015768,-0.4932315728357175,12.437172714015768,0.19995007082263538,0.5493128492646412,354.40600000000006,332.23000000000013,354.157957184,136.0,0.0,0.2467445078772206,-0.4889147365617849,0.4889147365617849,0.2467445078772206,0.9615384615384616,1.6153846153846154,2.269230769230769,1.550048975026055,746.1663151766492,18.355160383312143,14.351238552723625,14.351238552723625,12.669035095596021,8.687438749653422,8.687438749653422,6.40784583270701,6.40784583270701,4.669872972330959,4.669872972330959,3.280950574837046,3.280950574837046,-2.859999999999999,1247449.0944615852,17.946842066290348,8.489078486908552,4.401079947253549,151.6867891356891,10.05365155780638,12.356393797796823,0.0,11.814359458703011,0.0,0.0,14.796327392920933,5.480096598121202,0.0,0.0,36.75265696523406,42.67056301139545,11.605292320844956,5.917906046161393,19.533190346720982,17.501745733386574,0.0,5.480096598121202,11.835812092322787,25.869346833290948,5.316788604006331,60.160755107851486,0.0,5.749511833283905,15.533748155927583,5.687386274683562,5.749511833283905,0.0,17.0216124834803,16.19595633265656,11.835812092322787,24.825916360475023,54.59730361615449,0.0,0.0,0.0,87.66000000000001,17.742991821674295,9.589074368143644,0.0,5.907179729351506,30.885423318332403,11.984273114623004,0.0,29.74556487196764,30.33183534230805,5.316788604006331,9.94411597857734,5.721481175216745,0.0,24.094443690141695,11.640426889096013,3.387941946243948,-0.8784692681372033,17.01240723264884,2.0430270636724943,0.4787412711174712,0.0,0.3,26.0,3.0,6.0,1.0,0.0,1.0,2.0,0.0,2.0,4.0,3.0,6.0,6.0,1.0,0.0,1.0,3.0,3.125800000000001,96.60590000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL276119,13.409855045247362,-4.041189378886435,13.409855045247362,0.021431238447832568,0.5073237933648096,434.51400000000024,408.30600000000027,434.151157552,162.0,0.0,0.26477159466109784,-0.4967671315425285,0.4967671315425285,0.26477159466109784,1.0666666666666667,1.7,2.2666666666666666,1.821533950813818,982.8111098243991,21.77781011412251,16.998252993232843,17.81474957416057,14.356852020083387,9.546135318092869,11.029298565687261,7.241860487170789,9.501612997769925,5.603567367597074,8.118787425509883,3.8015398368035536,5.756859678443814,-2.6199999999999997,5093038.202967771,22.07391893551366,9.029816635388507,4.137831514463821,175.83912424793078,9.473725907600098,11.49902366656781,14.584275589635062,0.0,5.907179729351506,0.0,14.90169993969959,13.89789358245014,0.0,0.0,12.13273413692322,54.80329714831868,19.634269217737724,19.11507855807284,27.893313100778148,15.744432865769006,0.0,10.38000632897168,0.0,29.02890558049993,27.30910789438022,54.09438803938988,0.0,11.49902366656781,14.9538225057213,0.0,11.49902366656781,0.0,56.48826981690598,21.1765467264019,0.0,18.405094737549014,53.42642002321065,0.0,0.0,0.0,105.17,20.491455318986567,18.41958719317805,0.0,17.737126721369794,25.383781051021632,11.3129633249809,31.37526581512397,12.589894139398735,24.26546827384644,4.899909730850478,9.473725907600098,35.40915490267555,0.0,14.68636790585023,9.291946876184756,2.6094815655547636,0.3635784414939467,13.569323000126207,0.13437374023683635,1.3855519669223677,-0.94977839904465,0.38095238095238093,30.0,2.0,8.0,0.0,1.0,1.0,2.0,0.0,2.0,7.0,2.0,9.0,7.0,0.0,1.0,1.0,3.0,2.0176999999999987,110.34500000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL343721,12.562287855916209,-0.49649760260852216,12.562287855916209,0.2005968716205353,0.4290958556493719,405.4540000000001,382.2700000000002,405.16885621600005,154.0,0.0,0.24674450787722038,-0.4881437269111817,0.4881437269111817,0.24674450787722038,1.0,1.7333333333333334,2.5,1.3703135810767781,1046.5073887988224,20.924074484064484,16.375802417413208,16.375802417413208,14.652198343190415,9.957919571745377,9.957919571745377,7.421030441707106,7.421030441707106,5.524543550076674,5.524543550076674,3.9464272245284344,3.9464272245284344,-3.449999999999999,11201832.359103648,19.848667834780596,8.919732724552935,4.257631799280935,173.58810164837078,10.05365155780638,12.356393797796823,0.0,11.814359458703011,0.0,0.0,19.78030591386814,5.480096598121202,0.0,0.0,30.686289896772447,48.73693007985706,23.18836010692283,11.434606763777655,19.533190346720982,28.404670665467634,0.0,10.464075119068411,11.835812092322787,25.869346833290948,5.316788604006331,66.35759867946456,0.0,5.749511833283905,15.533748155927583,5.687386274683562,5.749511833283905,0.0,22.005591004427508,16.19595633265656,11.835812092322787,24.825916360475023,60.794147187767564,0.0,10.902924932081056,0.0,100.55000000000001,17.742991821674295,9.589074368143644,0.0,5.907179729351506,25.1359114850485,28.63670987998797,0.0,11.676940169734278,54.59730361615449,10.30076712495354,9.94411597857734,5.964898447120635,0.0,28.631197828783385,12.688225960789074,4.172888448662968,-0.8448687551562971,17.078573054626123,3.7499537042985778,0.39246464420887217,0.0,0.2608695652173913,30.0,3.0,7.0,1.0,0.0,1.0,2.0,1.0,3.0,5.0,3.0,7.0,6.0,1.0,0.0,1.0,4.0,3.674000000000002,111.90690000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL334446,12.698522723557168,-0.49668835237207887,12.698522723557168,0.19252486989968243,0.4131521078979448,419.4810000000001,394.28100000000023,419.18450628000005,160.0,0.0,0.24674450473870485,-0.48889195472196295,0.48889195472196295,0.24674450473870485,1.0,1.7419354838709677,2.4838709677419355,1.3475546449918225,1067.8672878811014,21.63118126525103,17.082909198599758,17.082909198599758,15.135361590784806,10.45193650760167,10.45193650760167,7.806256133485632,7.806256133485632,5.751134267223466,5.751134267223466,4.070834252563261,4.070834252563261,-3.449999999999999,14720573.710652905,20.807898698439143,9.57298118892407,5.003827157019327,179.95304376276744,10.05365155780638,12.356393797796823,0.0,11.814359458703011,0.0,0.0,19.78030591386814,5.480096598121202,0.0,0.0,31.040744451236847,54.80329714831867,23.18836010692283,11.434606763777655,19.533190346720982,28.404670665467634,0.0,10.464075119068411,11.835812092322787,32.29016845621695,5.316788604006331,66.35759867946456,0.0,5.749511833283905,15.533748155927583,5.687386274683562,5.749511833283905,0.0,22.005591004427508,16.19595633265656,11.835812092322787,31.246737983401033,60.794147187767564,0.0,10.902924932081056,0.0,100.55000000000001,17.742991821674295,9.589074368143644,0.0,5.907179729351506,25.1359114850485,35.057531502913974,0.0,11.676940169734278,54.59730361615449,10.30076712495354,9.94411597857734,5.8858347660926675,0.0,28.882183154026645,12.861178042712801,4.252353051015608,-0.8498602539941046,17.119329999207665,4.7781820823685495,0.4041324919035054,0.0,0.2916666666666667,31.0,3.0,7.0,1.0,0.0,1.0,2.0,1.0,3.0,5.0,3.0,7.0,6.0,1.0,0.0,1.0,4.0,4.0641000000000025,116.52390000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL305373,13.021753977232148,-0.5150478169391899,13.021753977232148,0.07921393277006383,0.394556439255624,447.53500000000014,418.3030000000003,447.21580640800005,172.0,0.0,0.24674569065453372,-0.48888922516005723,0.48888922516005723,0.24674569065453372,1.2424242424242424,2.0,2.727272727272727,1.4389458047200814,1145.9870929096496,23.37166824125719,18.95277252491009,18.95277252491009,16.011570350697117,11.34921742371302,11.34921742371302,8.478752307782756,8.478752307782756,6.25194055845785,6.25194055845785,4.63822206803592,4.63822206803592,-3.4499999999999993,37279815.13579278,22.733574366270965,10.000229071220327,4.8299503924266265,192.89289947815593,9.636772684650527,12.356393797796823,0.0,11.814359458703011,0.0,0.0,19.78030591386814,5.480096598121202,0.0,0.0,31.54366002800146,56.163582856312296,28.87574638160639,17.35251280993905,19.533190346720982,28.40467066546763,0.0,10.464075119068411,11.835812092322787,39.71682123267219,11.444666136763054,65.85468310269995,0.0,5.749511833283905,15.116869282771729,5.687386274683562,5.749511833283905,0.0,28.550347410340084,16.19595633265656,18.75954929201341,37.443581555014106,54.59730361615449,0.0,10.902924932081056,0.0,91.75999999999999,17.742991821674295,9.589074368143644,0.0,5.907179729351506,31.742793449561418,34.268512316236084,0.0,10.38000632897168,68.44477801553573,4.9839785209472085,9.94411597857734,6.025025092018238,0.0,31.36172129234968,10.127800861946108,5.466059856649673,-0.7887821139222689,17.494498890974658,1.9131050460701213,4.900571073913797,0.0,0.34615384615384615,33.0,2.0,7.0,0.0,1.0,1.0,2.0,1.0,3.0,5.0,2.0,7.0,8.0,0.0,1.0,1.0,4.0,4.3968200000000035,126.04120000000003,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL312432,13.690782716645359,-4.094450233867394,13.690782716645359,0.011043990547959126,0.3289993183647738,529.0580000000003,499.82600000000036,528.148570708,190.0,0.0,0.26477159466109756,-0.48891596570294243,0.48891596570294243,0.26477159466109756,0.9722222222222222,1.5555555555555556,2.138888888888889,1.4697524079342035,1285.500493665926,25.760937777247946,19.984477033723255,21.556902560669435,17.230332157944996,11.67809255867183,13.539220279275451,9.086947197101749,11.783135488172869,6.6730776720520195,9.44027404530432,4.431654156370601,6.512962155680607,-2.909999999999999,110048731.17565432,26.161487716471267,11.004890116652614,5.569908605586373,216.08593945136954,4.736862953800049,12.356393797796823,14.58427558963506,0.0,5.907179729351506,0.0,14.90169993969959,13.89789358245014,0.0,0.0,53.56259379269917,67.29048583970629,24.65690253147905,4.895483475517775,23.1564501469781,27.345372756001524,0.0,10.38000632897168,0.0,42.55952474470347,13.08951281182515,94.50939261037166,0.0,5.749511833283905,10.216959551921251,0.0,5.749511833283905,11.600939890232516,42.26867473435092,27.783428690914818,6.923737199690624,29.531997720943007,77.6918882970571,5.022633313741326,0.0,0.0,95.94000000000001,20.491455318986567,18.41958719317805,0.0,17.737126721369794,37.013296329275875,11.126902983393991,17.696185628620217,29.74556487196764,43.321939610460284,4.899909730850478,16.337802844032566,31.381762593925004,5.901947711262141,14.901494685825407,10.057548736449874,4.8203673953005675,-0.404603993271089,21.436042568264252,0.14366311837944368,3.8006718621762383,-4.094450233867394,0.2962962962962963,36.0,2.0,7.0,0.0,1.0,1.0,3.0,0.0,3.0,6.0,2.0,9.0,8.0,0.0,1.0,1.0,4.0,4.541320000000003,137.76199999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL306617,13.530953062204935,-4.049345746728951,13.530953062204935,0.03685412884137773,0.2917141423917011,476.5950000000003,444.3390000000003,476.198107744,180.0,0.0,0.264771591157967,-0.49360057987519484,0.49360057987519484,0.264771591157967,1.0,1.606060606060606,2.212121212121212,1.6648705757680777,987.3743274690759,23.735993750865617,18.904030387168657,19.720526968096383,15.925000367505252,11.249858794425084,12.733022042019478,8.11522958213225,10.374982092731386,6.013603327998247,8.528823385911052,3.9418336822739084,5.897153523914168,-2.619999999999999,23943312.173787836,25.011380521837467,11.490729220425687,5.846082109950556,194.93395059112055,9.473725907600098,18.105905631080727,14.584275589635062,0.0,5.907179729351506,0.0,14.90169993969959,13.89789358245014,0.0,0.0,31.54366002800146,55.66066727954768,19.634269217737724,11.502365440030694,27.893313100778148,15.744432865769006,0.0,10.38000632897168,0.0,42.249529620130005,32.84803314676356,54.59730361615449,0.0,11.49902366656781,14.9538225057213,0.0,11.49902366656781,0.0,62.02719506928933,14.631790320489323,0.0,32.60702369139466,59.49278709167226,0.0,0.0,0.0,105.17,20.491455318986567,18.41958719317805,0.0,17.737126721369794,38.597544980047466,18.591155079135923,12.13273413692322,17.612830735044422,30.33183534230805,11.823646930541102,9.473725907600098,36.65426206998781,0.0,14.746085771993442,9.342857720704215,1.5906196650001805,0.4541350761191687,15.577242884492792,2.0525827608099747,4.464893130954712,-4.049345746728951,0.4583333333333333,33.0,2.0,8.0,0.0,1.0,1.0,2.0,0.0,2.0,7.0,2.0,9.0,11.0,0.0,1.0,1.0,3.0,3.058200000000001,124.30200000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CHEMBL78798,13.72280446275602,-4.070270858527971,13.72280446275602,0.04469170540977019,0.21003339377543834,573.7560000000004,530.4120000000004,573.287257096,220.0,0.0,0.26477159466109756,-0.49360057987519484,0.49360057987519484,0.26477159466109756,0.875,1.475,2.075,1.333162073040763,1172.9297052976897,28.4262281951776,23.516534400598267,24.33303098152599,19.37449011028843,14.462779085591828,15.94594233318622,10.782935646944615,13.042688157543749,8.04861431447375,10.56383437238656,5.49191468275314,7.447234524393401,-2.6599999999999997,915129907.570946,30.302075211470967,14.298297465978468,7.342025610613007,237.8776057941744,9.473725907600098,18.105905631080727,14.584275589635062,0.0,5.907179729351506,0.0,19.801609670550068,13.89789358245014,0.0,0.0,31.898114582465862,87.15527482892186,26.1790256236503,11.502365440030694,27.893313100778148,15.744432865769006,0.0,15.279916059822158,0.0,68.05675089482061,45.93754595858871,54.09438803938988,0.0,11.49902366656781,14.9538225057213,0.0,11.49902366656781,0.0,80.01661761196497,21.1765467264019,0.0,57.43294005186969,53.42642002321065,0.0,0.0,0.0,108.41,20.491455318986567,18.41958719317805,0.0,17.737126721369794,38.597544980047466,43.78887578857064,31.395199005701247,17.612830735044422,24.26546827384644,16.72355666139158,9.473725907600098,37.282558177666765,0.0,17.466486698559898,9.477656836836605,2.7142549282515644,0.5358215554406239,14.181143008486517,5.926417770093853,7.98593188319215,-4.070270858527971,0.5666666666666667,40.0,2.0,9.0,0.0,2.0,2.0,2.0,0.0,2.0,8.0,2.0,10.0,13.0,0.0,2.0,2.0,4.0,4.044100000000003,153.42999999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CHEMBL80969,13.342873869857094,-4.010518103846473,13.342873869857094,0.035564235080829176,0.5648493478827159,404.48800000000017,380.2960000000002,404.140592868,150.0,0.0,0.26477159466109756,-0.4967671315425285,0.4967671315425285,0.26477159466109756,1.1071428571428572,1.7142857142857142,2.25,1.8446401195764133,905.3720494642577,20.200459844932887,15.667354971958606,16.483851552886332,13.42500036750525,9.023079279874114,10.506242527468507,6.875930027039018,9.135682537638157,5.312242773496051,7.82746283140886,3.6141453270586807,5.569465168698941,-2.4199999999999995,2091564.5410203761,20.31775754729731,8.29937512281869,3.7554829074871052,164.36063690402727,4.736862953800049,5.749511833283905,14.584275589635062,0.0,5.907179729351506,0.0,14.90169993969959,13.89789358245014,0.0,0.0,30.33183534230805,42.67056301139546,19.634269217737724,12.005281016795308,23.1564501469781,15.744432865769006,0.0,10.38000632897168,0.0,29.02890558049993,20.199310353102685,60.160755107851486,0.0,5.749511833283905,10.216959551921251,0.0,5.749511833283905,0.0,49.37847227562845,21.1765467264019,0.0,18.405094737549014,59.49278709167226,0.0,0.0,0.0,95.94,20.491455318986567,18.41958719317805,0.0,17.737126721369794,25.383781051021632,5.563451491696996,19.242531678200752,17.612830735044422,30.33183534230805,4.899909730850478,4.736862953800049,30.051882240428956,0.0,14.66185306042629,9.248162305083753,2.701820102438755,-0.3611395430588038,15.815591085014091,0.19561397707231132,1.5373466570206291,-2.517796551092643,0.35,28.0,2.0,7.0,0.0,1.0,1.0,2.0,0.0,2.0,6.0,2.0,8.0,6.0,0.0,1.0,1.0,3.0,2.0090999999999988,103.79300000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL78909,13.692324032003935,-4.1237585650013475,13.692324032003935,0.015592106080506207,0.3271300979965451,531.0300000000003,503.8140000000004,530.1278352639999,190.0,0.0,0.2647715946611462,-0.49676820513890796,0.49676820513890796,0.2647715946611462,0.9444444444444444,1.4722222222222223,2.0,1.4992962675240524,1287.7708890227811,25.760937777247946,19.68561854300057,21.258044069946752,17.268336960405783,11.35236061441147,13.213488335015091,8.59026424149238,11.286452532563498,6.442110009108076,9.209306382360376,4.332350657061451,6.413658656371461,-3.109999999999999,114670363.54185386,25.96725216232597,10.877853406083561,5.339895660401867,214.8345425664798,9.473725907600098,17.248535499851716,14.58427558963506,0.0,5.907179729351506,0.0,14.90169993969959,13.89789358245014,0.0,0.0,23.733674027155736,79.06876542216513,24.65690253147905,12.005281016795308,27.893313100778148,27.345372756001524,0.0,10.38000632897168,0.0,29.02890558049993,20.199310353102685,83.38248962697766,0.0,17.248535499851716,14.9538225057213,0.0,17.248535499851716,11.600939890232516,49.37847227562845,21.1765467264019,0.0,18.405094737549014,77.6918882970571,5.022633313741326,0.0,0.0,105.17,20.491455318986567,18.41958719317805,0.0,17.737126721369794,36.15592619804686,11.3129633249809,24.26546827384644,36.855362413245174,24.26546827384644,4.899909730850478,21.074665797832616,36.52660820972103,5.89029653329149,14.84278251440062,9.997104028257255,2.641232829767641,0.8207449782613905,20.30936693675336,0.08513391672142712,1.3516678116874008,-2.520493314417167,0.2692307692307692,36.0,2.0,8.0,0.0,1.0,1.0,3.0,0.0,3.0,7.0,2.0,10.0,8.0,0.0,1.0,1.0,4.0,4.454800000000003,135.31899999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
