chembl_id,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL440560,12.56159232559012,-0.21525396320731738,12.56159232559012,0.01761377382348206,0.3878622551619783,477.56800000000015,450.3520000000003,477.21647510400004,180.0,0.0,0.32621480192766533,-0.3187540277017561,0.32621480192766533,0.3187540277017561,0.8055555555555556,1.5277777777777777,2.3055555555555554,1.1552632069187743,1607.8848662561343,24.484552416379547,19.85392531120473,19.85392531120473,17.652999680989844,12.312275944132955,12.312275944132955,9.358630845128754,9.358630845128754,7.038162879703426,7.038162879703426,5.233612345399825,5.233612345399825,-4.229999999999999,330033264.46282184,22.247691186360928,9.432028244270771,4.292042205587722,207.6291255230147,9.967957041894417,0.0,0.0,0.0,5.559266895052007,5.689743398203474,14.261546562713654,9.77851570501903,0.0,0.0,66.73003775307771,30.537828874472233,36.80301303027968,28.61810099654252,0.0,11.033401435232523,0.0,24.418944941483456,0.0,25.428240480912557,13.08951281182515,111.46115161471018,0.0,22.514758973090913,11.24901029325548,0.0,0.0,0.0,37.50845775330861,6.544756405912575,0.0,24.446935566696975,94.64868982975769,0.0,33.54816040832344,0.0,86.78,0.0,9.589074368143644,0.0,17.29085112240344,0.0,66.02407287191318,11.760295063310071,0.0,59.16440326394584,44.117313567538545,0.0,1.9335127697440384,0.0,37.34142673408057,0.0,6.266997685159709,0.0,26.320778908106433,3.224215223425631,2.7464020128169517,0.0,0.20689655172413793,36.0,2.0,7.0,0.0,1.0,1.0,3.0,2.0,5.0,5.0,2.0,7.0,5.0,0.0,1.0,1.0,6.0,4.584000000000003,141.83639999999983,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL178397,12.5826050570716,-0.16895766691102088,12.5826050570716,0.017394575032854798,0.36644819165158865,491.5950000000002,462.36300000000034,491.23212516800004,186.0,0.0,0.32621480192766533,-0.3185185314479258,0.32621480192766533,0.3185185314479258,0.8378378378378378,1.5405405405405406,2.2972972972972974,1.1718696492420135,1656.8705219074936,25.354795904382627,20.776575042015104,20.776575042015104,18.063683283512805,12.739008717540958,12.739008717540958,9.76251892600235,9.76251892600235,7.325706394337787,7.325706394337787,5.358786474209667,5.358786474209667,-4.229999999999999,485684317.037088,23.185523244553433,9.670989646344884,4.537881943417561,213.99406763741132,9.967957041894417,5.693927994848461,0.0,0.0,5.559266895052008,5.689743398203474,14.261546562713654,9.77851570501903,0.0,0.0,66.73003775307771,37.46156607416286,36.80301303027968,22.421257424929447,0.0,11.033401435232523,0.0,24.418944941483456,0.0,32.351977680603184,13.08951281182515,110.95823603794555,0.0,22.514758973090913,11.24901029325548,0.0,0.0,0.0,37.50845775330861,6.544756405912575,6.923737199690624,30.140863561545437,88.4518462581446,0.0,33.54816040832344,0.0,86.78,0.0,9.589074368143644,0.0,17.290851122403442,5.693927994848461,66.02407287191318,5.563451491696996,6.923737199690624,59.16440326394584,44.117313567538545,0.0,1.9354851563318096,0.0,37.9822578168995,0.0,6.8053543430523895,0.0,26.406905479645243,1.8905734504859684,4.4794237535850865,0.0,0.23333333333333334,37.0,2.0,7.0,0.0,1.0,1.0,3.0,2.0,5.0,5.0,2.0,7.0,5.0,0.0,1.0,1.0,6.0,4.892420000000004,146.57339999999982,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL572629,12.580703643319826,-0.17042959966589977,12.580703643319826,0.019677987781583806,0.36644819165158865,491.59500000000014,462.3630000000003,491.23212516800004,186.0,0.0,0.32621480192766533,-0.31851852928175395,0.32621480192766533,0.31851852928175395,0.8378378378378378,1.5405405405405406,2.2972972972972974,1.1719498003652313,1656.8705219074936,25.354795904382627,20.7765750420151,20.7765750420151,18.063683283512805,12.739008717540958,12.739008717540958,9.762518926002352,9.762518926002352,7.325706394337785,7.325706394337785,5.358786474209671,5.358786474209671,-4.2299999999999995,485684317.037088,23.185523244553433,9.670989646344884,4.537881943417561,213.9940676374113,9.967957041894417,5.693927994848461,0.0,0.0,5.559266895052008,5.689743398203474,14.261546562713654,9.77851570501903,0.0,0.0,66.73003775307771,37.46156607416286,36.80301303027968,22.421257424929443,0.0,11.033401435232523,0.0,24.418944941483456,0.0,32.351977680603184,13.08951281182515,110.95823603794555,0.0,22.514758973090913,11.24901029325548,0.0,0.0,0.0,37.50845775330861,6.544756405912575,6.923737199690624,30.140863561545437,88.4518462581446,0.0,33.54816040832343,0.0,86.78,0.0,9.589074368143644,0.0,17.290851122403442,5.693927994848461,66.02407287191319,5.563451491696996,6.923737199690624,59.16440326394584,44.117313567538545,0.0,1.9327108168129645,0.0,38.03331527501333,0.0,6.786174306121122,0.0,26.409741931814857,1.8820361408647428,4.456021529372986,0.0,0.23333333333333334,37.0,2.0,7.0,0.0,1.0,1.0,3.0,2.0,5.0,5.0,2.0,7.0,5.0,0.0,1.0,1.0,6.0,4.892420000000003,146.57339999999985,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL3143722,13.188018870387573,-0.166861950383965,13.188018870387573,0.02246253135196996,0.24143807020487107,567.6930000000003,534.4290000000004,567.263425296,214.0,0.0,0.32621480192766533,-0.3184983076557965,0.32621480192766533,0.3184983076557965,0.6976744186046512,1.372093023255814,2.116279069767442,1.0907292208766501,1966.8680368385662,29.17478686069153,23.87043316914978,23.87043316914978,21.119326176178628,14.856799101250466,14.856799101250466,11.286177961507557,11.286177961507557,8.44084909211001,8.44084909211001,6.216752093970603,6.216752093970603,-5.009999999999998,12819106378.733397,26.861485857647807,11.701022225914784,5.5922131016495875,249.05116184347528,9.967957041894417,5.693927994848461,0.0,0.0,5.559266895052008,5.689743398203474,14.261546562713654,9.77851570501903,0.0,0.0,97.06187309538579,36.10128036616923,43.223834653205685,22.421257424929447,0.0,11.033401435232523,0.0,24.418944941483456,0.0,31.849062103838566,13.08951281182515,146.8535228719506,0.0,22.514758973090913,11.24901029325548,0.0,0.0,0.0,37.50845775330861,12.965578028838586,0.0,35.70431505324243,118.78368160045268,0.0,33.54816040832344,0.0,86.78,0.0,9.589074368143644,0.0,17.290851122403442,12.114749617774471,71.58752436361017,5.563451491696996,0.0,89.49623860625393,39.133335046591334,4.9839785209472085,1.9362351223685201,0.0,39.35270014596282,0.0,7.842801867682516,0.0,36.50193160153901,2.339166734433495,2.6938311946802935,0.0,0.19444444444444445,43.0,2.0,7.0,0.0,1.0,1.0,4.0,2.0,6.0,5.0,2.0,7.0,7.0,0.0,1.0,1.0,7.0,6.1748000000000065,171.0843999999996,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL178133,13.131496934478106,-0.22629562987398422,13.131496934478106,0.030370104387661856,0.21764526480395452,583.6920000000003,550.4280000000003,583.2583399160001,220.0,0.0,0.32621480192766533,-0.5079666420700251,0.5079666420700251,0.32621480192766533,0.75,1.4318181818181819,2.1818181818181817,1.103311770764672,2018.1273165068494,30.04503034869461,24.240296495460107,24.240296495460107,21.51317302629598,14.991089501523403,14.991089501523403,11.467026582065085,11.467026582065085,8.534364735054437,8.534364735054437,6.2346894530836545,6.2346894530836545,-5.209999999999998,18250913761.142345,27.612863023648202,11.817257385832079,5.593226992993723,253.8453955956713,15.074484436735123,11.443439828132366,0.0,0.0,5.559266895052008,5.689743398203474,14.261546562713654,9.77851570501903,0.0,0.0,78.86277189000094,48.234014503092446,43.223834653205685,22.421257424929443,5.106527394840706,11.033401435232523,0.0,24.418944941483456,0.0,31.849062103838566,13.08951281182515,140.787155803489,0.0,28.264270806374817,11.24901029325548,0.0,5.749511833283905,0.0,42.614985148149316,12.965578028838586,0.0,35.70431505324243,112.71731453199106,0.0,33.54816040832343,0.0,107.01,0.0,14.69560176298435,0.0,23.040362955687346,17.80867761262293,65.89359636876172,5.563451491696996,24.26546827384644,59.16440326394584,39.133335046591334,4.9839785209472085,1.9294661323958442,0.0,39.23283131718621,9.653870137624619,7.355063346710764,0.18514949436635253,33.11894575875949,2.201542031817075,2.656465114472992,0.0,0.19444444444444445,44.0,3.0,8.0,0.0,1.0,1.0,4.0,2.0,6.0,6.0,3.0,8.0,7.0,0.0,1.0,1.0,7.0,5.880400000000006,172.74919999999966,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL3143723,13.20557288273325,-0.22776756262886289,13.20557288273325,0.03145535070193217,0.21764526480395452,583.6920000000003,550.4280000000003,583.2583399160001,220.0,0.0,0.32621480192766533,-0.5079666420700251,0.5079666420700251,0.32621480192766533,0.75,1.4318181818181819,2.1818181818181817,1.0904610414424338,2018.1273165068494,30.04503034869461,24.24029649546011,24.24029649546011,21.51317302629598,14.991089501523403,14.991089501523403,11.467026582065087,11.467026582065087,8.534364735054439,8.534364735054439,6.23468945308365,6.23468945308365,-5.209999999999998,18247077571.837994,27.612863023648202,11.817257385832079,5.593226992993723,253.8453955956713,15.074484436735123,11.443439828132366,0.0,0.0,5.559266895052008,5.689743398203474,14.261546562713654,9.77851570501903,0.0,0.0,78.86277189000094,48.234014503092446,43.223834653205685,22.421257424929447,5.106527394840706,11.033401435232523,0.0,24.418944941483456,0.0,31.849062103838566,13.08951281182515,140.787155803489,0.0,28.264270806374817,11.24901029325548,0.0,5.749511833283905,0.0,42.614985148149316,12.965578028838586,0.0,35.70431505324243,112.71731453199106,0.0,33.54816040832344,0.0,107.01,0.0,14.69560176298435,0.0,23.040362955687346,17.80867761262293,65.8935963687617,5.563451491696996,24.26546827384644,71.29713740086908,27.000600909668115,4.9839785209472085,1.9271584834026845,0.0,39.274383244209766,9.632331560122202,7.344695572864046,0.18624684424076343,33.11949436032288,2.202029095064022,2.646994173106958,0.0,0.19444444444444445,44.0,3.0,8.0,0.0,1.0,1.0,4.0,2.0,6.0,6.0,3.0,8.0,7.0,0.0,1.0,1.0,7.0,5.880400000000006,172.7491999999996,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL3143721,12.984006682178956,-0.12010552559182552,12.984006682178956,0.018679328968022046,0.2647808536843001,533.6760000000003,498.39600000000036,533.27907536,204.0,0.0,0.32621480192766533,-0.31849958693914704,0.32621480192766533,0.31849958693914704,0.875,1.575,2.3,1.192352002154489,1725.3031957238088,27.6392529547588,23.061032092391276,23.061032092391276,19.512371688496547,14.220389192975809,14.220389192975809,10.87164500117783,10.87164500117783,8.261643607431475,8.261643607431475,5.812451675747104,5.812451675747104,-4.2299999999999995,2002688127.3232002,26.016381873006438,11.099420382281318,5.046608061263527,233.08889398060114,9.967957041894417,5.693927994848461,0.0,0.0,5.559266895052008,5.689743398203474,14.261546562713654,9.77851570501903,0.0,0.0,80.57751215245897,36.95865049739824,42.72091907644107,22.421257424929443,0.0,11.033401435232523,0.0,24.418944941483456,0.0,51.61444254938121,13.08951281182515,110.95823603794555,0.0,22.514758973090913,11.24901029325548,0.0,0.0,0.0,37.50845775330861,6.544756405912575,0.0,56.32706563001409,88.4518462581446,0.0,33.54816040832343,0.0,86.78,0.0,9.589074368143644,0.0,23.208757168564834,5.693927994848461,72.44489449483919,5.563451491696996,0.0,66.08814046363646,46.05707224628196,4.9839785209472085,1.9376269047759276,0.0,39.085618428544706,0.0,7.036606715736261,0.08460619808695968,26.613552955976832,2.7356570592751015,6.839665070937543,0.0,0.30303030303030304,40.0,2.0,7.0,0.0,1.0,1.0,3.0,2.0,5.0,5.0,2.0,7.0,7.0,0.0,1.0,1.0,6.0,6.0975000000000055,160.54239999999967,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL178468,10.70777527936001,0.006514844778544804,10.70777527936001,0.006514844778544804,0.24488581248500846,533.6760000000004,498.39600000000036,533.27907536,204.0,0.0,0.29458578475309205,-0.4919628474975344,0.4919628474975344,0.29458578475309205,0.775,1.425,2.15,1.178599511991587,1604.0514798904057,27.6392529547588,23.03338989346338,23.03338989346338,19.457530133630154,14.088903433013355,14.088903433013355,11.129882661967399,11.129882661967399,7.728701762623989,7.728701762623989,5.73709692698047,5.73709692698047,-4.2299999999999995,1807879191.9042027,26.016381873006438,11.099420382281318,5.293440465520827,234.3543172849056,10.213054789681411,11.387855989696922,0.0,5.879988336435371,6.010464839586836,0.0,9.467009378641833,9.967957041894417,4.9839785209472085,0.0,80.57751215245897,42.876556543559644,36.80301303027968,16.727329430080985,10.213054789681411,11.033401435232523,0.0,24.418944941483456,5.917906046161393,45.69653650321982,13.08951281182515,90.12015137654642,0.0,34.405212149113126,0.0,0.0,11.890453176022207,0.0,47.72151254299002,12.965578028838586,5.917906046161393,43.988337960926685,78.86277189000094,0.0,33.54816040832343,0.0,87.30000000000001,0.0,10.213054789681411,0.0,17.932294005170167,23.726583658784325,60.33014487706472,5.563451491696996,0.0,59.16440326394584,52.98080944597258,4.9839785209472085,1.9947225798515134,0.0,16.315301300024235,21.19134049452834,7.097081171059315,0.3713360580640295,26.77713679447711,2.5965431286186202,6.989871806710171,0.0,0.30303030303030304,40.0,2.0,7.0,0.0,1.0,1.0,3.0,2.0,5.0,7.0,2.0,7.0,7.0,0.0,1.0,1.0,6.0,6.607100000000009,158.0565999999997,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL181419,10.539252642534692,0.11097415838695213,10.539252642534692,0.11097415838695213,0.24829649246913385,593.695,562.4470000000002,593.2651566119999,222.0,0.0,0.29458578475309205,-0.4801920318295286,0.4801920318295286,0.29458578475309205,0.7111111111111111,1.4,2.1555555555555554,1.0347069954570802,2128.8975734466762,30.329487399070782,24.82262443715596,24.82262443715596,22.08565267136742,15.18125547853949,15.18125547853949,11.567596651622228,11.567596651622228,8.610974019424093,8.610974019424093,6.345235573709541,6.345235573709541,-5.479999999999999,46289502730.28272,27.096305534135414,11.219988479277934,5.187129391497194,259.1874524829823,5.106527394840706,0.0,0.0,5.824404497999927,6.010464839586836,0.0,9.467009378641833,9.967957041894417,9.780484743446223,10.197363616602075,66.73003775307771,53.950315175511925,42.366464521976674,40.50233084283915,5.106527394840706,22.066802870465047,0.0,44.62619987623942,7.04767198267719,25.428240480912557,13.08951281182515,102.6253245870828,0.0,39.91307980237467,0.0,0.0,6.010464839586836,0.0,62.822240082905275,13.592428388589765,0.0,24.446935566696975,97.06187309538579,0.0,55.96941783325288,0.0,110.67,0.0,5.106527394840706,0.0,12.052305668734796,5.824404497999927,82.6209257988427,10.35995771419601,7.04767198267719,65.23077033240746,61.69283937482429,9.967957041894417,2.0038169174900835,0.0,18.49837458772697,23.003029090526088,9.231031981078434,0.5552989718759771,33.071577696685296,1.9320165135893699,2.7869799461190925,1.751207628242018,0.2,45.0,1.0,10.0,0.0,1.0,1.0,4.0,3.0,7.0,10.0,1.0,10.0,6.0,0.0,1.0,1.0,8.0,6.0467000000000075,173.1477999999996,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CHEMBL180058,10.54480134535699,0.10975166084244359,10.54480134535699,0.10975166084244359,0.24829649246913385,593.6950000000002,562.4470000000002,593.2651566119999,222.0,0.0,0.29458578475309205,-0.4801920318295286,0.4801920318295286,0.29458578475309205,0.7111111111111111,1.4,2.1555555555555554,1.0445207927469538,2128.8975734466762,30.329487399070786,24.822624437155955,24.822624437155955,22.085652671367416,15.181255478539487,15.181255478539487,11.567596651622223,11.567596651622223,8.610974019424097,8.610974019424097,6.345235573709538,6.345235573709538,-5.479999999999999,46287142897.53937,27.096305534135414,11.219988479277934,5.187129391497194,259.18745248298234,5.106527394840706,0.0,0.0,5.824404497999927,6.010464839586836,0.0,9.467009378641833,9.967957041894417,9.780484743446223,10.197363616602075,66.73003775307771,53.950315175511925,42.366464521976674,40.50233084283916,5.106527394840706,22.066802870465047,0.0,44.62619987623942,7.04767198267719,25.428240480912557,13.08951281182515,102.6253245870828,0.0,39.913079802374675,0.0,0.0,6.010464839586836,0.0,62.822240082905275,13.592428388589765,0.0,24.446935566696975,97.06187309538579,0.0,55.96941783325288,0.0,110.67,0.0,5.106527394840706,0.0,12.052305668734796,5.824404497999927,82.6209257988427,10.35995771419601,7.04767198267719,65.23077033240746,61.692839374824295,9.967957041894417,2.0030810840647457,0.0,18.498928266017195,23.03349733849773,9.22277875692977,0.5541211308252896,33.06575316891497,1.9269536033538572,2.7761663170733786,1.7520536676563934,0.2,45.0,1.0,10.0,0.0,1.0,1.0,4.0,3.0,7.0,10.0,1.0,10.0,6.0,0.0,1.0,1.0,8.0,6.046700000000007,173.14779999999962,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
