chembl_id,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL1202230,4.723054101685556,0.8210123558608772,4.723054101685556,0.8210123558608772,0.4203948171634203,514.7220000000002,472.3860000000003,514.3532433440001,202.0,0.0,0.054507704204737585,-0.30988486277478416,0.30988486277478416,0.054507704204737585,0.47368421052631576,0.7894736842105263,1.105263157894737,1.1099058703476372,976.2455203205329,25.832005589113418,22.46185201050775,22.46185201050775,18.797958971132715,14.050942332165276,14.050942332165276,10.31642264196302,10.31642264196302,7.207914584336825,7.207914584336825,5.073156627033691,5.073156627033691,-2.7199999999999993,589612850.3152242,26.86997390918405,14.438145545790631,8.659990762065654,226.80153086285097,21.267154416025324,0.0,0.0,0.0,0.0,0.0,19.76777650359537,0.0,0.0,0.0,36.39820241076966,35.392371257240434,91.62658968277606,22.775711979393844,0.0,0.0,0.0,41.0349309196207,0.0,39.26853843547545,52.358051247300594,94.56628564740396,0.0,0.0,21.267154416025324,0.0,0.0,0.0,72.12582775089598,39.26853843547545,0.0,33.90261496278784,60.6636706846161,0.0,0.0,0.0,80.38000000000001,0.0,0.0,0.0,0.0,0.0,114.40230166216992,11.126902983393991,0.0,0.0,91.7306445623424,9.967957041894417,0.0,0.0,14.522288677969833,14.262915671189436,7.20016873288324,0.0,21.85192665559621,0.0,13.162700262361277,0.0,0.4666666666666667,38.0,4.0,8.0,0.0,2.0,2.0,1.0,2.0,3.0,8.0,4.0,8.0,4.0,0.0,0.0,0.0,5.0,1.8666000000000011,152.2967999999998,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2311089,3.625948321871625,1.039361513506535,3.625948321871625,1.039361513506535,0.35377837598173745,502.7960000000004,448.36400000000026,502.44714372800007,206.0,0.0,0.023378892810542565,-0.31542041102218643,0.31542041102218643,0.023378892810542565,0.3888888888888889,0.7222222222222222,1.1111111111111112,1.4528875864837867,557.9417729250035,24.936818074728013,22.76017745386246,22.76017745386246,17.898979485566358,14.668481269452773,14.668481269452773,10.283005886817447,10.283005886817447,7.072059477261144,7.072059477261144,4.916313528599075,4.916313528599075,-1.1,142431826.12066215,29.455886046665345,19.937785058764078,14.001015803714436,220.26730777121892,31.900731624037984,0.0,0.0,0.0,0.0,0.0,9.799819461700956,0.0,0.0,0.0,24.26546827384644,89.16824072239865,65.44756405912574,0.0,0.0,0.0,0.0,41.700551085738944,0.0,38.7727993035292,104.71610249460122,35.392371257240434,0.0,0.0,31.900731624037984,0.0,0.0,0.0,114.5159219563022,13.08951281182515,0.0,36.81018947509803,24.26546827384644,0.0,0.0,0.0,78.66,0.0,0.0,0.0,0.0,0.0,117.80561530642638,36.81018947509803,0.0,0.0,65.96601935958539,0.0,0.0,0.0,5.228255174905816,21.421048746561404,2.85649699926784,0.0,9.42458133176748,4.795600825357859,19.607350255472937,0.0,0.7857142857142857,36.0,6.0,8.0,0.0,2.0,2.0,1.0,0.0,1.0,8.0,6.0,8.0,4.0,0.0,2.0,2.0,3.0,0.41580000000000644,152.68219999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL543895,3.5731567636990245,1.05331927291884,3.5731567636990245,1.05331927291884,0.35377837598173745,502.7960000000004,448.36400000000026,502.44714372800007,206.0,0.0,0.023325676054525665,-0.31542024278427583,0.31542024278427583,0.023325676054525665,0.3888888888888889,0.6388888888888888,0.9166666666666666,1.4528875864837867,557.9417729250035,24.936818074728013,22.76017745386246,22.76017745386246,17.898979485566358,14.668481269452773,14.668481269452773,10.283005886817447,10.283005886817447,7.06112705493473,7.06112705493473,4.974076053378832,4.974076053378832,-1.1,142431826.12066215,29.455886046665345,19.937785058764078,14.001015803714436,220.26730777121892,31.900731624037984,0.0,0.0,0.0,0.0,0.0,9.799819461700956,0.0,0.0,0.0,24.26546827384644,89.16824072239865,65.44756405912574,0.0,0.0,0.0,0.0,41.700551085738944,0.0,38.7727993035292,104.71610249460122,35.392371257240434,0.0,0.0,31.900731624037984,0.0,0.0,0.0,114.5159219563022,13.08951281182515,0.0,36.81018947509803,24.26546827384644,0.0,0.0,0.0,78.66,0.0,0.0,0.0,0.0,0.0,117.80561530642638,36.81018947509803,0.0,0.0,65.96601935958539,0.0,0.0,0.0,5.275895211636762,21.262608365875664,2.8759275863174745,0.0,9.456831268779322,4.83610531467489,19.625965586049226,0.0,0.7857142857142857,36.0,6.0,8.0,0.0,2.0,2.0,1.0,0.0,1.0,8.0,6.0,8.0,4.0,0.0,2.0,2.0,3.0,0.41580000000000644,152.68219999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL538038,6.311106231581331,0.7500142677616576,6.311106231581331,0.7500142677616576,0.3265989654572564,639.7199999999998,591.336,638.3378988960001,238.0,0.0,0.05598799953803234,-0.3111186061871039,0.3111186061871039,0.05598799953803234,0.5,0.7954545454545454,1.0909090909090908,1.0953276223848183,1125.7712417948178,30.400919689865763,25.891507542893144,27.403365434930052,21.585652671367416,16.250274010220423,17.006202956238873,12.026188741204637,12.899060302148607,8.163814608586682,8.600250389058669,5.963055401690101,6.466842116203992,-2.1399999999999997,7980317058.286282,33.22980921285492,18.117552397849128,11.656507867874641,272.86783177420074,21.267154416025324,0.0,0.0,0.0,0.0,0.0,19.76777650359537,0.0,0.0,0.0,47.46734805431147,113.4337089962451,49.313805062958096,22.775711979393844,0.0,23.20187978046503,0.0,41.0349309196207,0.0,64.9518249271795,52.358051247300594,92.47881813796339,0.0,0.0,21.267154416025324,0.0,0.0,23.20187978046503,72.12582775089598,39.26853843547545,0.0,59.585901454491875,48.53093654769288,10.045266627482652,0.0,0.0,80.38000000000001,0.0,0.0,0.0,0.0,0.0,150.13085478135662,11.126902983393991,0.0,24.26546827384644,55.33244215157272,33.16983682235945,0.0,12.622212463162661,14.66972145403589,15.71973020330795,6.803709797281083,0.0,17.170730681447107,4.419713036851644,13.149737919469214,0.0,0.5294117647058824,44.0,4.0,8.0,0.0,2.0,2.0,1.0,2.0,3.0,8.0,4.0,10.0,4.0,0.0,0.0,0.0,5.0,4.733800000000003,180.7847999999995,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL1202231,4.807727259392925,0.9756970942509899,4.807727259392925,0.9756970942509899,0.3797753183272672,570.8300000000002,520.4300000000004,570.4158436000001,226.0,0.0,0.04191079357118516,-0.3150707346118644,0.3150707346118644,0.04191079357118516,0.42857142857142855,0.7380952380952381,1.0476190476190477,1.0915374588099198,1033.169245180536,28.660432713859606,25.29027913525394,25.29027913525394,20.797958971132715,16.050942332165278,16.050942332165278,11.609315860776473,11.609315860776473,8.215109173732253,8.215109173732253,5.736280614713068,5.736280614713068,-2.7199999999999993,4145295360.7563148,30.72846266071252,17.409554893283712,10.84022995103785,252.2612993204374,21.267154416025324,0.0,0.0,0.0,0.0,0.0,19.76777650359537,0.0,0.0,0.0,36.39820241076966,35.392371257240434,140.08558815387397,0.0,0.0,0.0,0.0,41.0349309196207,0.0,38.7727993035292,78.5370768709509,94.56628564740396,0.0,0.0,21.267154416025324,0.0,0.0,0.0,98.3048533745463,38.7727993035292,0.0,33.90261496278784,60.6636706846161,0.0,0.0,0.0,80.38000000000001,0.0,0.0,0.0,0.0,0.0,117.30987617448011,33.90261496278784,0.0,0.0,91.7306445623424,9.967957041894417,0.0,0.0,14.758993409795186,14.525316341399947,7.530651317461947,0.0,22.20023578481998,3.9345231890716503,14.050279957451286,0.0,0.5294117647058824,42.0,4.0,8.0,0.0,2.0,2.0,1.0,2.0,3.0,8.0,4.0,8.0,4.0,0.0,0.0,0.0,5.0,2.0366000000000035,171.76479999999955,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL266632,15.889357767803082,-1.8328304749809987,15.889357767803082,0.010186849472745507,0.008211102257406759,1989.4900000000023,1847.3619999999994,1988.0396184319989,764.0,0.0,0.3116730521825315,-0.5079666451556014,0.5079666451556014,0.3116730521825315,0.42028985507246375,0.8333333333333334,1.3115942028985508,2.1409277145386834,4564.079289174641,102.02257134989101,77.60154494869833,80.0510346914815,65.74645581829911,45.2585111671038,48.90124557719563,32.52758395659533,36.11012546481812,21.034729770285043,24.563218283816106,13.538147200703028,16.882439553476754,-13.34,2.1023212700730514e+39,116.9703869751945,65.40500314551728,48.9120057802015,813.0084714637269,165.33631879919648,77.95927278719536,29.797772843719173,76.79333648156958,0.0,6.031114512338072,87.29100705611204,4.794537184071822,11.761884949391115,0.0,95.26087698228633,169.6201247734308,81.16343693746259,11.959746875309353,77.33657536668693,145.9719047397914,0.0,69.11825185208231,116.88494186677251,219.63695404388113,69.61661206754097,107.70516657875972,0.0,11.49902366656781,155.12326400951508,4.794537184071822,11.49902366656781,33.349680902164565,270.9958214737727,80.9234802455325,5.917906046161393,139.18888088744984,115.97683576684705,0.0,0.0,0.0,887.93,185.21281665541207,34.18574071004052,43.150834656646396,207.8937009378974,30.38936785217202,27.151247444470442,73.2925788036085,24.27512131221871,12.13273413692322,94.08027551526065,86.00501215743277,0.0,1.175255738634986,227.1568580340009,56.094644805476065,87.53238074771666,-16.325194429533937,-0.526008371973554,3.3739773373590625,1.6129657530081798,1.571787051978343,0.5465116279069767,138.0,45.0,49.0,0.0,1.0,1.0,3.0,0.0,3.0,27.0,30.0,52.0,49.0,0.0,0.0,0.0,4.0,-6.991599999999923,531.968700000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,14.0,0.0,0.0,5.0,5.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
CHEMBL440998,15.982324695323962,-1.8616771728658452,15.982324695323962,0.005143103073626865,0.006423543211893734,1982.4330000000023,1841.3129999999992,1981.0627963999987,766.0,0.0,0.3116730521825315,-0.5079666451556014,0.5079666451556014,0.3116730521825315,0.4316546762589928,0.8561151079136691,1.3525179856115108,1.8358796993323778,4852.264087560099,102.47016510708372,77.98618987704792,79.61918303890337,66.2296190658935,45.67517783377047,48.16321170548305,33.09047848738125,35.64276323721203,21.73761564905294,24.159611090289893,14.2160689047964,16.543947468440813,-14.149999999999997,9.742513484218015e+41,115.34843929968235,62.56155932101562,45.1325186691177,812.4112442767147,170.32029732014368,77.95927278719536,29.797772843719173,76.79333648156958,0.0,6.031114512338072,87.29100705611204,4.794537184071822,0.0,0.0,83.12814284536312,175.6864918418924,93.17831985058916,11.959746875309353,77.33657536668693,145.11294472248133,0.0,74.10223037302953,116.88494186677251,220.30492206006036,63.86375846079417,107.83564308191119,0.0,11.49902366656781,155.12326400951508,4.794537184071822,11.49902366656781,21.587795952773448,270.22694638797316,81.59144826171172,5.917906046161393,139.18888088744984,116.10731226999852,0.0,10.902924932081056,0.0,903.7199999999999,185.21281665541207,29.3912035259687,47.94537184071822,202.80881534732984,46.85574427595007,21.587795952773448,61.53069385421738,36.5383319522934,0.0,99.06425403620787,86.00501215743277,0.0,0.0,231.12521730200075,56.77042959190602,87.91254219178094,-16.50293708934547,-2.775312235614221,4.503864136394137,1.5751027489452751,1.557760020599254,0.5287356321839081,139.0,46.0,50.0,0.0,1.0,1.0,3.0,1.0,4.0,26.0,31.0,52.0,47.0,0.0,0.0,0.0,5.0,-7.200999999999918,531.367400000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,14.0,14.0,0.0,0.0,5.0,5.0,14.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
CHEMBL2370108,16.018765044497183,-1.9114421270371833,16.018765044497183,0.008557923181930605,0.008459877197115988,2038.4490000000014,1897.3289999999993,2037.0413922599985,786.0,0.0,0.3256967093997982,-0.5079666451556014,0.5079666451556014,0.3256967093997982,0.4195804195804196,0.8321678321678322,1.3216783216783217,1.6191305511924607,5029.923675881744,105.03907920783608,79.71651985865603,81.34951302051148,68.21278231348789,47.12169169152713,49.60972556323972,34.294969857214454,36.84725460704526,22.928002747186547,25.349998188423513,15.377030904384029,17.704909468028454,-14.479999999999997,1.3620057316876825e+44,117.22889669980304,62.639173803683775,43.65847771324497,834.1026677749614,169.19220957456963,90.04295444549128,23.83821827497534,76.79333648156958,0.0,18.031534312627993,82.29860232347639,14.383611552215466,0.0,0.0,88.31783370585117,193.2342164482124,76.58146692365963,6.041840829147961,92.0321771296713,151.02333345087595,0.0,79.33495018693912,94.50729613365108,232.26466893536968,70.40851486670674,107.68586050201517,0.0,11.49902366656781,148.97271765919703,9.589074368143644,11.49902366656781,21.587795952773448,293.8768674593237,86.38598544578356,0.0,145.10678693361123,110.96512495746683,0.0,10.772448428929591,0.0,893.1700000000001,203.75799286161455,34.4977309208094,57.53444620886186,221.79911192204762,29.354770443710805,26.974020167238244,53.430846278543356,36.39820241076966,6.06636706846161,94.40465938663132,74.5376772031084,0.0,0.0,253.71895705975928,70.10530101652155,75.27621587790999,-17.539640120075592,-1.5786800915798553,-1.6797881171580302,-0.4338046135965379,1.4647723215525361,0.5333333333333333,143.0,43.0,51.0,0.0,2.0,2.0,4.0,0.0,4.0,27.0,30.0,53.0,47.0,0.0,2.0,2.0,6.0,-6.73619999999992,538.7984000000009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,16.0,15.0,0.0,0.0,4.0,5.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0
CHEMBL3038228,15.908934110186062,-1.8650217443618076,15.908934110186062,0.02725547661673655,0.008485220363206198,1952.3550000000016,1817.282999999999,1950.9933794479984,752.0,0.0,0.3254033882255815,-0.5079666451556014,0.5079666451556014,0.3254033882255815,0.45985401459854014,0.8905109489051095,1.3941605839416058,1.5861722228786848,4831.227459725083,100.63330181390025,76.60960095544289,78.24259411729834,65.31893546337056,45.194440999832885,47.68247487154546,33.03081584534436,35.58310059517515,22.073801559300396,24.49579700053737,14.705279114413424,17.033157678057833,-13.749999999999998,2.294091786195058e+40,111.98759447351321,59.19251444497735,40.761393032603195,799.956566451107,158.1417534934011,90.04295444549128,23.83821827497534,76.79333648156958,0.0,12.000419800289922,87.0931395075482,4.794537184071822,0.0,0.0,88.31783370585119,187.31631040205102,70.03671051774705,6.041840829147961,87.23763994559947,144.99221893853792,0.0,74.01816158293279,88.7736286564889,226.34676288920832,63.863758460794166,107.68586050201517,0.0,11.49902366656781,137.92226157802853,4.794537184071822,11.49902366656781,21.587795952773448,281.30099654107306,86.38598544578355,0.0,139.1888808874498,110.96512495746686,0.0,10.772448428929591,0.0,838.0500000000001,191.30605672635048,34.4977309208094,52.73990902479004,208.833533893209,29.354770443710805,33.897757366928865,53.430846278543356,36.39820241076966,6.06636706846161,89.08787078262499,68.80400972594622,0.0,0.0,239.50219946338694,67.0930418041802,70.07308152850506,-16.947963945253377,0.1771886958703961,-0.7559218481078567,1.0010075241606757,1.5240334439246286,0.5287356321839081,137.0,40.0,48.0,0.0,2.0,2.0,4.0,0.0,4.0,26.0,28.0,50.0,43.0,0.0,2.0,2.0,6.0,-6.164799999999948,517.6523000000009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,15.0,14.0,0.0,0.0,4.0,5.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0
CHEMBL2370135,16.044435980167723,-1.9171654665282316,16.044435980167723,0.025156062080450292,0.008453415119427985,2066.463000000001,1925.3429999999994,2065.047540259998,796.0,0.0,0.3256967093997982,-0.5079666451556014,0.5079666451556014,0.3256967093997982,0.41379310344827586,0.8206896551724138,1.303448275862069,1.6290003701662241,5160.148409486331,106.6164294770257,80.53397694215906,82.16697010401451,69.06862436114446,47.33062823401972,49.8186621057323,34.45932756919859,37.011612319029396,22.92637006967308,25.348365510910046,15.387799249084534,17.71567781272896,-15.169999999999996,1.0132743101210863e+45,118.53210624888634,62.97782620784361,44.48743538569194,844.3378809578342,174.9258770517318,90.04295444549128,29.797772843719173,76.79333648156958,0.0,18.031534312627993,87.29100705611205,14.383611552215466,0.0,0.0,88.31783370585117,180.26863841937381,83.12622332957221,6.041840829147961,92.0321771296713,156.9828880196198,0.0,79.33495018693912,105.23336834344893,225.84384731244367,70.40851486670674,107.68586050201517,0.0,11.49902366656781,154.70638513635922,9.589074368143644,11.49902366656781,21.587795952773448,299.83642202806755,86.38598544578356,0.0,138.68596531068522,115.9575296901025,0.0,10.772448428929591,0.0,931.5500000000001,203.75799286161455,34.4977309208094,57.53444620886186,234.17948811371747,16.513127197858786,26.974020167238244,53.430846278543356,36.39820241076966,6.06636706846161,99.39706411926699,80.27134468027059,0.0,0.0,258.0228239817216,70.01769498661423,80.75039980566488,-18.225273372886175,-1.999965346768576,-2.721448983204839,-0.8026197423358044,1.4583886711946485,0.5222222222222223,145.0,45.0,53.0,0.0,2.0,2.0,4.0,0.0,4.0,27.0,31.0,55.0,47.0,0.0,2.0,2.0,6.0,-7.8115999999999115,545.8038000000013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,16.0,15.0,0.0,0.0,5.0,6.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0
