chembl_id,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL2373350,13.413287693163685,-0.4504977307344735,13.413287693163685,0.08340558835622769,0.31375086899363636,539.5550000000004,497.2190000000004,539.310141604,206.0,0.0,0.48118558285315677,-0.4040535926650016,0.48118558285315677,0.4040535926650016,1.263157894736842,2.0526315789473686,2.763157894736842,1.288180434281106,1115.1636334792056,26.91563831562721,23.18944794012014,24.005944521047866,18.239698526943037,14.024029367712474,15.417876217829825,11.992850792946417,12.858876196730852,9.177061797709024,9.723935822050999,6.8965981904706,7.277081829573513,-1.8750649350649353,353863310.28861666,27.682763981732933,11.314880110533936,5.419001443933532,230.89080707235,20.359172349219207,12.369160903912501,5.824404497999927,5.907179729351506,0.0,7.118392334224363,4.794537184071822,9.665781456092393,16.860566757692155,0.0,50.60013136461531,68.2218033342352,6.4208216229260096,23.399063403344577,14.103253452122514,24.787457012966986,0.0,20.08125186839976,22.98447003888175,89.23996114588509,12.80052558942398,47.5440958300049,0.0,0.0,11.050456081168516,0.0,0.0,11.761884949391115,58.236770713991056,32.821685087707884,17.250802561719567,70.08758020139877,30.33183534230805,0.0,0.0,0.0,104.29,7.118392334224363,4.794537184071822,0.0,35.51313640125865,30.55424372790816,42.89554697940089,6.4208216229260096,16.4436878845363,24.454870388896232,43.319416148302466,20.026362266160085,15.00479868889284,1.6710302601636613,18.151171262012017,7.913710505080004,6.890958163577432,3.0814365448558174,10.17329258570508,7.544154351472372,7.686612035641913,-0.4504977307344735,0.6785714285714286,38.0,3.0,8.0,3.0,1.0,4.0,1.0,1.0,2.0,8.0,2.0,10.0,12.0,3.0,1.0,4.0,6.0,3.6132000000000017,151.43709999999982,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CHEMBL2373559,13.402871026497019,-0.4965162492529922,13.402871026497019,0.008721917779457744,0.20262950858666529,536.4860000000002,495.1580000000003,536.328234192,210.0,0.0,0.4811855828531569,-0.4040535926650016,0.4811855828531569,0.4040535926650016,1.2564102564102564,2.051282051282051,2.769230769230769,1.2917534534355015,1160.1769804928256,27.622745096813745,23.266798209309766,23.266798209309766,18.739698526943034,14.205036728237399,14.205036728237399,12.058590061780517,12.058590061780517,9.247134074495747,9.247134074495747,6.914193940314769,6.914193940314769,-2.7550649350649343,582993824.9722458,27.798303586261913,11.388022790620203,5.621239055896618,230.47908133063643,25.675960953225534,12.369160903912501,5.824404497999927,12.317275035467627,0.0,7.118392334224363,9.589074368143644,9.665781456092393,5.098681808301038,0.0,50.60013136461531,61.966034150723786,6.4208216229260096,24.190966202510367,18.897790636194337,19.43566736969199,0.0,25.39804047240609,22.984470038881753,90.03186394505089,6.544756405912575,47.5440958300049,0.0,0.0,16.367244685174846,0.0,0.0,0.0,58.39109683659578,38.408125070945495,17.250802561719567,70.08758020139878,30.33183534230805,0.0,0.0,0.0,133.39000000000001,7.118392334224363,9.589074368143644,0.0,42.05789280717122,42.86029442327735,31.246737983401033,6.4208216229260096,4.681802935145185,30.33183534230805,41.487449136332785,15.042383745212875,14.823651803809893,0.0,28.78744594464201,10.303621282935788,6.7365603270894425,1.7606535702306612,9.911964830033892,5.820609533065463,7.685342290779176,-0.4965162492529922,0.6428571428571429,39.0,4.0,10.0,3.0,1.0,4.0,1.0,1.0,2.0,8.0,3.0,11.0,13.0,3.0,1.0,4.0,6.0,1.9962000000000033,147.12179999999987,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CHEMBL2373397,13.427610609830353,-3.3328644794407825,13.427610609830353,0.02271018511274736,0.2924702688642698,571.5530000000002,529.2170000000002,571.299970844,218.0,0.0,0.48118558285315677,-0.4040535926650016,0.48118558285315677,0.4040535926650016,1.225,1.975,2.65,1.313856596325124,1319.5974570854742,28.708531534440652,24.005944521047866,24.822441101975592,18.886145136349757,14.357362701045805,16.417876217829825,12.629927768419236,14.770107123149327,9.294912927906775,10.077489212644263,7.002007445809544,7.59330959559035,-2.2750649350649343,611134089.5476642,29.225317305802168,11.188211971507474,6.001113536060879,237.39309542877126,20.359172349219207,18.12201451065929,15.661657634417429,5.907179729351506,0.0,7.118392334224363,4.794537184071822,18.08357844042133,5.098681808301038,0.0,50.60013136461531,61.966034150723786,12.676590806437414,17.646209796597788,22.521050436451453,22.86282519999337,0.0,20.08125186839976,22.984470038881753,89.23996114588509,12.80052558942398,47.5440958300049,0.0,0.0,11.050456081168516,0.0,0.0,0.0,66.65456769832001,42.65893822412539,17.250802561719567,70.08758020139878,30.33183534230805,0.0,0.0,0.0,138.42999999999998,16.955645470641866,13.212334168400758,0.0,47.09039450600536,37.04661624208731,37.50250716691244,4.681802935145185,0.0,30.33183534230805,36.17066053232645,15.042383745212875,38.50830501434826,0.0,17.902785845345353,7.554213977302226,6.61289334708542,0.9158683345195977,9.704180622214961,6.098298694613969,7.32131361992454,-3.8678594553543193,0.6785714285714286,40.0,3.0,10.0,3.0,1.0,4.0,1.0,1.0,2.0,9.0,2.0,12.0,12.0,3.0,1.0,4.0,6.0,2.294800000000003,152.7658999999998,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CHEMBL2373341,13.28645513143529,-0.48665475552786197,13.28645513143529,0.007641277189888385,0.3135410859397123,509.46000000000026,469.14000000000027,509.31733515999997,200.0,0.0,0.4811855828531569,-0.4040535926650016,0.4811855828531569,0.4040535926650016,1.2702702702702702,2.054054054054054,2.7567567567567566,1.2825749722762678,1095.7205674901033,26.208531534440652,22.228413245156236,22.228413245156236,17.739698526943034,13.643333708670633,13.643333708670633,11.71795197406261,11.71795197406261,9.04504614177534,9.04504614177534,6.773334486580154,6.773334486580154,-2.2650649350649346,223702683.42630187,26.346357700856725,10.478759192849939,5.085570306655825,219.19698868478403,25.46569974405991,18.97604286842542,5.824404497999927,5.907179729351506,0.0,7.118392334224363,4.794537184071822,9.665781456092393,5.098681808301038,0.0,50.60013136461531,61.966034150723786,6.4208216229260096,17.646209796597788,19.20978084696322,13.025572063575868,0.0,20.08125186839976,22.984470038881753,90.09398950365123,6.544756405912575,47.5440958300049,0.0,0.0,11.050456081168516,0.0,0.0,0.0,57.08752892532036,33.67571344547402,17.250802561719567,70.08758020139878,30.33183534230805,0.0,0.0,0.0,124.52000000000001,7.118392334224363,9.901064578912528,0.0,42.120018365771564,36.45019911716123,31.246737983401033,6.4208216229260096,4.681802935145185,30.33183534230805,36.17066053232645,15.042383745212875,14.748428165476867,0.0,17.723922033616958,17.132265605757702,6.738562605584348,1.6090639973632168,9.898536927268868,5.249353014302986,7.219855739490254,-0.48665475552786197,0.6666666666666666,37.0,4.0,9.0,3.0,1.0,4.0,1.0,1.0,2.0,8.0,3.0,10.0,11.0,3.0,1.0,4.0,6.0,2.2425000000000015,140.1408999999999,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CHEMBL2373349,13.260626049802639,-0.4461609283673682,13.260626049802639,0.08669035234903366,0.38959688382808716,493.46100000000035,453.14100000000025,493.32242054,194.0,0.0,0.48118558285315677,-0.4040535926650016,0.48118558285315677,0.4040535926650016,1.25,2.0277777777777777,2.75,1.270583312485832,1076.6163483876273,25.501424753254113,22.07409286846973,22.07409286846973,17.20169372448225,13.473552552060521,13.473552552060521,11.690823920537317,11.690823920537317,8.965660564790163,8.965660564790163,6.779511612985859,6.779511612985859,-2.2250649350649354,127740123.29923731,25.425573030762678,9.913619620201398,4.728746615608652,214.40275493258807,20.359172349219207,18.19356540191243,0.0,5.907179729351506,0.0,7.118392334224363,4.794537184071822,9.665781456092393,5.098681808301038,0.0,50.60013136461531,68.88977135041442,6.4208216229260096,17.646209796597788,14.103253452122514,13.025572063575868,0.0,20.08125186839976,22.98447003888175,90.41084473882893,6.544756405912575,47.5440958300049,0.0,0.0,11.050456081168516,0.0,0.0,0.0,51.98100153047966,27.068831480961094,24.17453976141019,70.08758020139877,30.33183534230805,0.0,0.0,0.0,104.29,7.118392334224363,4.794537184071822,0.0,35.51313640125865,30.625794619161297,37.07114248140096,6.4208216229260096,4.681802935145185,25.122838405075452,48.30339466924967,15.042383745212875,14.90850047952645,0.0,17.83003739642875,7.718444695052289,6.870484586298161,2.2769681000975233,10.120096356596155,5.523918802543433,9.531043845157942,-0.4461609283673682,0.6666666666666666,36.0,3.0,8.0,3.0,1.0,4.0,1.0,1.0,2.0,7.0,2.0,9.0,10.0,3.0,1.0,4.0,6.0,3.0586200000000012,138.9550999999999,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CHEMBL2375178,13.353488310447636,-0.49022224864080965,13.353488310447636,0.013026764718233164,0.3458790941092818,518.4710000000002,479.1590000000003,518.317669508,202.0,0.0,0.48118558285315677,-0.4040535926650016,0.48118558285315677,0.4040535926650016,1.2894736842105263,2.0789473684210527,2.789473684210526,1.2930038769900385,1180.996786871835,26.9156383156272,22.728413245156236,22.728413245156236,18.239698526943034,13.904266130997048,13.904266130997048,11.894728669359246,11.894728669359246,9.140795610050658,9.140795610050658,6.8519508588492295,6.8519508588492295,-2.7350649350649343,353863310.28861666,26.855494129470383,10.795124300238436,5.117039298618271,225.16027672845337,20.359172349219207,12.369160903912501,5.824404497999927,5.907179729351506,0.0,7.118392334224363,4.794537184071822,9.665781456092393,10.360573363039524,0.0,50.60013136461531,61.966034150723786,6.4208216229260096,30.136252732316073,14.103253452122514,13.025572063575868,5.261891554738487,20.08125186839976,22.984470038881753,89.90792916206432,6.544756405912575,47.5440958300049,0.0,6.069221312792274,11.050456081168516,0.0,0.0,0.0,51.98100153047966,33.48965310388711,28.581915429250326,70.08758020139878,30.33183534230805,0.0,0.0,0.0,128.08,7.118392334224363,4.794537184071822,0.0,41.933958024184655,36.45019911716123,31.246737983401033,6.4208216229260096,4.681802935145185,30.33183534230805,42.239881845118724,20.304275299951364,14.800446071812953,0.0,17.889705212629302,16.794207287284245,6.744196176073688,1.7410295679986592,12.015613619317081,5.337778581603671,7.500579065254547,-0.49022224864080965,0.6428571428571429,38.0,3.0,9.0,3.0,1.0,4.0,1.0,1.0,2.0,8.0,2.0,10.0,11.0,3.0,1.0,4.0,6.0,2.8162800000000026,143.53509999999983,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CHEMBL2373347,13.651250787351977,-0.5399639014166502,13.651250787351977,0.017095662804293976,0.13521708886520614,600.5290000000002,559.2010000000002,600.3231488120001,232.0,0.0,0.4811855828531707,-0.4040535926650016,0.4811855828531707,0.4040535926650016,1.1818181818181819,1.9772727272727273,2.7045454545454546,1.219856299013447,1515.7525708630305,31.06190268556917,25.647204121655914,25.647204121655914,21.078703822193997,15.633674926526531,15.633674926526531,13.274655255908298,13.274655255908298,10.174930550572947,10.174930550572947,7.535476762906159,7.535476762906159,-3.605064935064934,7641839042.25146,30.4223594855599,12.059594815224596,5.7781800974278275,257.74788274675524,20.359172349219207,12.369160903912501,5.824404497999927,5.907179729351506,5.687386274683562,7.118392334224363,14.908855452837393,9.665781456092393,5.098681808301038,0.0,62.73286550153853,61.966034150723786,24.117007251546227,22.56952084541546,19.026564500940182,18.71295833825943,0.0,20.08125186839976,22.984470038881753,83.48710753913831,6.544756405912575,76.099477874617,0.0,11.387855989696924,11.050456081168516,5.687386274683562,0.0,0.0,56.90431257929733,27.0688314809611,27.36512083048514,64.26317570339884,54.59730361615449,0.0,11.387855989696924,0.0,147.42999999999998,12.041703383042034,14.908855452837393,0.0,41.20052267594221,48.43447223178423,31.246737983401033,12.13273413692322,16.814537072068404,30.33183534230805,31.18668201137924,20.026362266160085,14.848967199092822,0.0,29.304428370414662,19.223437381974513,7.116111488720264,1.3970668364003196,16.009983401683847,4.955215394761467,7.351420495035422,-0.5399639014166502,0.53125,44.0,3.0,11.0,3.0,1.0,4.0,2.0,1.0,3.0,9.0,2.0,12.0,12.0,3.0,1.0,4.0,7.0,4.325400000000003,166.30849999999958,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CHEMBL2373555,13.447373341311835,-0.5126893438351776,13.447373341311835,0.032862076929537354,0.2338434057339817,551.4970000000004,509.1610000000004,551.3278998440001,216.0,0.0,0.48118558285315677,-0.46866527727643403,0.48118558285315677,0.46866527727643403,1.225,2.0,2.7,1.3024228137694382,1206.67654777814,28.492988584816832,24.097696230584003,24.097696230584003,19.133545377060386,14.497155914174797,14.497155914174797,12.312747399510911,12.312747399510911,9.433747136474603,9.433747136474603,6.98250840925286,6.98250840925286,-2.7550649350649357,847549515.7373359,28.762102197745868,11.620711493502238,5.687903770690199,236.40770649093196,25.096035303019256,18.78998252683851,5.824404497999927,5.907179729351506,0.0,13.087697622176211,9.589074368143644,9.665781456092393,5.098681808301038,0.0,50.60013136461531,61.9660341507238,6.4208216229260096,24.756007337875317,23.63465358999438,18.99487735152772,0.0,20.08125186839976,22.98447003888175,89.9079291620643,13.65455394719011,47.5440958300049,0.0,0.0,11.050456081168516,0.0,0.0,0.0,65.06010435970904,43.02105324175898,17.250802561719567,70.08758020139877,30.33183534230805,0.0,0.0,0.0,130.59,13.087697622176211,9.589074368143644,0.0,41.933958024184655,42.87102074008723,24.825916360475023,13.530619164203543,4.681802935145185,30.33183534230805,36.17066053232645,19.779246699012926,19.568398053460562,0.0,29.875128759756564,7.665435042117041,6.692266203511894,1.0750410529398722,9.840069976617574,5.044303007156957,7.4221448672410215,0.8172130371985156,0.6551724137931034,40.0,3.0,10.0,3.0,1.0,4.0,1.0,1.0,2.0,9.0,2.0,11.0,12.0,3.0,1.0,4.0,6.0,2.465700000000002,149.93809999999982,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CHEMBL2373348,13.631250787351977,-0.48679164632131844,13.631250787351977,0.037716390568573566,0.1805315504209013,570.5470000000003,527.2030000000003,570.348969636,222.0,0.0,0.4811855828531707,-0.4040535926650016,0.4811855828531707,0.4040535926650016,1.1428571428571428,1.9523809523809523,2.6904761904761907,1.2062171838881075,1414.2422888435958,29.484552416379543,24.960844214417858,24.960844214417858,20.168020219671035,15.333594891701257,15.333594891701257,13.092679914409423,13.092679914409423,10.004585096406545,10.004585096406545,7.454673008811774,7.454673008811774,-3.205064935064934,3106464741.4471254,28.893121431552952,11.468922583313233,5.474981477568902,248.43479772126815,26.092839826381393,12.369160903912501,5.824404497999927,5.907179729351506,0.0,7.118392334224363,4.794537184071822,9.665781456092393,5.098681808301038,0.0,62.73286550153853,74.09876828764702,17.67165938930657,17.646209796597788,14.103253452122514,18.71295833825943,0.0,20.08125186839976,22.984470038881753,83.48710753913831,12.27842388307476,65.98515960585141,0.0,11.387855989696924,16.784123558330702,5.687386274683562,0.0,0.0,51.98100153047966,27.0688314809611,17.250802561719567,64.26317570339884,54.59730361615449,0.0,11.387855989696924,0.0,130.31,7.118392334224363,4.794537184071822,0.0,35.51313640125865,42.137585391844794,36.81018947509803,6.4208216229260096,4.681802935145185,54.59730361615449,26.088000203078202,30.85871155162331,15.012160804937526,0.0,18.456032504348457,8.002703691860887,14.301142280249422,1.9501486902774687,17.564719737608993,5.298436602699882,7.568114001005348,-0.48679164632131844,0.53125,42.0,5.0,9.0,3.0,1.0,4.0,2.0,1.0,3.0,8.0,3.0,10.0,11.0,3.0,1.0,4.0,7.0,3.9994000000000023,164.06649999999965,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CHEMBL2373401,13.618942568941666,-0.46754473837588684,13.618942568941666,0.07085253853669427,0.2485463690306045,569.5590000000002,525.2070000000003,569.3537206679999,222.0,0.0,0.48118558285315677,-0.4040535926650016,0.48118558285315677,0.4040535926650016,1.0476190476190477,1.7380952380952381,2.4047619047619047,1.1794762833586527,1366.5203808593546,29.32141570956301,25.167950995604407,25.167950995604407,20.257336617148074,15.591342935770031,15.591342935770031,13.222213346004317,13.222213346004317,10.108687475855866,10.108687475855866,7.559676067939077,7.559676067939077,-3.005064935064934,3439906697.8612914,29.084007814010356,11.939579553496078,5.78882764778708,249.45984913865203,20.359172349219207,12.369160903912501,5.824404497999927,5.907179729351506,0.0,7.118392334224363,4.794537184071822,9.665781456092393,5.098681808301038,0.0,80.93196670692338,67.52948564242078,12.841643245852019,17.646209796597788,14.103253452122514,13.025572063575868,0.0,20.08125186839976,22.984470038881753,89.90792916206432,6.544756405912575,83.43938266400997,0.0,0.0,11.050456081168516,0.0,0.0,0.0,51.98100153047966,33.48965310388711,17.250802561719567,75.65103169309577,60.6636706846161,0.0,0.0,0.0,104.29,7.118392334224363,4.794537184071822,0.0,35.51313640125865,37.04661624208731,42.63459397309795,6.4208216229260096,4.681802935145185,36.39820241076966,50.35346847692464,25.125044074461123,15.085862590858342,0.0,18.483206523277527,8.06300012814533,8.0206884470392,2.258900533871972,20.361301958024928,6.040839534809222,7.653745022349361,-0.46754473837588684,0.5454545454545454,42.0,3.0,8.0,3.0,1.0,4.0,2.0,1.0,3.0,7.0,2.0,9.0,12.0,3.0,1.0,4.0,7.0,4.341000000000004,163.4660999999996,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
