chembl_id,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL121553,11.143417422524564,-1.2454554043839756,11.143417422524564,0.046100718065004154,0.5479878242919569,326.05000000000007,318.9940000000001,325.9512027039999,82.0,0.0,0.3443835816972574,-0.48003482490281096,0.48003482490281096,0.3443835816972574,1.6666666666666667,2.2666666666666666,2.8,3.062635456075106,492.6406409737161,11.585421958697399,7.30615745046649,9.463655741642812,6.913591357920931,3.7686595898591926,4.847408735447353,2.6769268176043273,3.698732674439397,1.5375995394849644,2.243235402262497,0.7981703494720562,1.193447074438309,-1.2300000000000002,1641.1746778827317,11.84262164124909,4.526166066568778,2.8569079174629954,96.24412733091006,10.84019487200289,6.041840829147961,3.700658774216862,0.0,5.559266895052007,11.659048686155323,14.573052889090853,9.476340119217006,5.098681808301038,0.0,0.0,22.590870627068057,0.0,6.544756405912575,9.901064578912528,28.560175915019904,0.0,14.76446326439343,5.733667477162185,12.586597235060536,0.0,24.538743435615984,0.0,0.0,16.982677770417666,0.0,0.0,22.590870627068057,31.882136776333944,11.339293589984397,3.700658774216862,0.0,9.589074368143644,0.0,0.0,0.0,131.07,23.260156410355286,14.383611552215466,0.0,10.245415180129438,0.0,4.681802935145185,0.0,22.590870627068057,4.9839785209472085,5.098681808301038,10.84019487200289,0.853600718065004,1.6279149092970524,34.478199326026704,12.114517510707987,3.8209284580498872,-1.2454554043839756,-1.238979591836735,0.0,-0.29072592592592605,0.0,0.3333333333333333,15.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,3.0,9.0,3.0,0.0,0.0,0.0,1.0,-2.0519,57.44589999999999,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL122005,11.057028533635677,-1.2054629629629627,11.057028533635677,0.17564814814814822,0.5173242724305781,199.16599999999997,190.09399999999997,199.059305768,76.0,0.0,0.3278738666109055,-0.4800356702828022,0.4800356702828022,0.3278738666109055,1.6428571428571428,2.2857142857142856,2.7857142857142856,2.9315961940005124,446.73839631807283,10.71517847069432,7.135679920336556,7.135679920336556,6.502907755397973,3.786277913279908,3.786277913279908,2.7072336395213568,2.7072336395213568,1.6074388424234478,1.6074388424234478,0.8780017379000875,0.8780017379000875,-1.8900000000000001,1093.6085000312462,10.192576383154416,3.8789693771624525,2.2975582741247687,77.79418766051518,10.84019487200289,6.041840829147961,0.0,0.0,5.559266895052007,11.659048686155323,19.140152536882205,4.794537184071822,0.0,0.0,0.0,0.0,12.263210640074686,6.544756405912575,9.901064578912528,5.969305287951849,0.0,9.551078168738563,5.733667477162185,12.586597235060536,0.0,33.10129530147381,0.0,0.0,16.982677770417666,0.0,0.0,0.0,26.66875168067908,11.339293589984397,0.0,0.0,21.852285008218328,0.0,0.0,0.0,118.17999999999999,23.260156410355286,14.383611552215466,0.0,6.544756405912575,0.0,10.633466716252965,6.196843571613076,0.0,4.9839785209472085,0.0,10.84019487200289,1.0279629629629627,0.0,34.05871141975309,8.4764879377677,3.9998611111111124,-1.2054629629629627,-0.04695861678004576,1.1983796296296294,-0.17564814814814822,0.0,0.2857142857142857,14.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,7.0,3.0,0.0,0.0,0.0,1.0,-2.0515,46.933899999999994,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL122656,10.994528533635677,-1.2454629629629628,10.994528533635677,0.2867592592592594,0.48773363601952663,200.15399999999997,192.08999999999997,200.054554736,76.0,0.0,0.3443191946226564,-0.4800348249192912,0.4800348249192912,0.3443191946226564,1.7142857142857142,2.357142857142857,2.857142857142857,2.9315961940005124,447.63499327031263,10.71517847069432,7.005543246646888,7.005543246646888,6.502907755397973,3.652944579946574,3.652944579946574,2.5658129985948834,2.5658129985948834,1.4657686172381161,1.4657686172381161,0.7712217858929558,0.7712217858929558,-1.96,1093.6085000312462,10.123056478405315,3.8326337366924554,2.263271661605818,76.98228920986641,10.84019487200289,12.238684400761038,0.0,0.0,5.559266895052007,11.659048686155323,14.573052889090853,9.476340119217006,5.098681808301038,0.0,0.0,0.0,0.0,6.544756405912575,9.901064578912528,5.969305287951849,0.0,14.76446326439343,5.733667477162185,12.586597235060536,0.0,27.034928233012202,0.0,0.0,16.982677770417666,0.0,0.0,0.0,31.882136776333944,11.339293589984397,0.0,0.0,15.785917939756718,0.0,0.0,0.0,131.07,23.260156410355286,14.383611552215466,0.0,6.544756405912575,0.0,10.878646506758262,0.0,0.0,4.9839785209472085,5.098681808301038,10.84019487200289,0.777962962962963,0.0,33.84343364197531,11.86597867850844,3.737638888888889,-1.2454629629629628,-1.2304610733182166,0.8710024565381707,-0.2867592592592594,0.0,0.3333333333333333,14.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,3.0,8.0,3.0,0.0,0.0,0.0,1.0,-2.6565000000000003,44.72889999999999,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL120808,11.146750755857898,-1.2430064247921389,11.146750755857898,0.07610071806500396,0.5159448357874528,214.181,204.10099999999997,214.0702048,82.0,0.0,0.3443361695251378,-0.4800348249147536,0.4800348249147536,0.3443361695251378,1.6666666666666667,2.2666666666666666,2.8,3.0626354560751055,488.4989315236399,11.585421958697399,7.928192977457263,7.928192977457263,6.913591357920933,4.07967735335458,4.07967735335458,2.971527071629147,2.971527071629147,1.741043768183331,1.741043768183331,0.9121339001859305,0.9121339001859305,-1.9599999999999997,1641.1746778827317,11.11668711656442,4.0479090459713305,2.498450400361001,83.347231324263,10.84019487200289,11.735768823996422,0.0,0.0,5.559266895052008,11.659048686155323,14.573052889090853,9.476340119217006,5.098681808301038,0.0,0.0,6.923737199690624,0.0,6.544756405912575,9.901064578912528,5.969305287951849,0.0,14.76446326439343,5.733667477162185,19.51033443475116,0.0,26.532012656247584,0.0,0.0,16.982677770417666,0.0,0.0,0.0,31.882136776333947,11.339293589984397,6.923737199690624,5.693927994848461,9.589074368143644,0.0,0.0,0.0,131.07,23.26015641035529,14.383611552215466,0.0,12.238684400761036,0.0,4.681802935145185,6.923737199690624,0.0,4.9839785209472085,5.098681808301038,10.84019487200289,0.815,0.0,34.49840765936004,12.129725844041321,3.917611489040061,-1.2430064247921389,-1.2356462585034016,0.0,1.1179076908541195,0.0,0.42857142857142855,15.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,3.0,8.0,3.0,0.0,0.0,0.0,1.0,-2.3480799999999986,49.4659,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL331696,11.088108780549256,-1.2942882338120436,11.088108780549256,0.37037037037037046,0.5541533471631274,234.599,227.54299999999998,234.015582384,82.0,0.0,0.344410095035737,-0.48003482489598726,0.48003482489598726,0.344410095035737,1.6666666666666667,2.2666666666666666,2.8,3.062635456075106,492.6406409737161,11.585421958697399,7.30615745046649,8.062086396484943,6.913591357920931,3.7686595898591926,4.14662406286842,2.6769268176043273,3.034939905054644,1.5375995394849644,1.7848352273201626,0.7981703494720562,0.9366646042816174,-1.67,1641.1746778827317,11.405018754688673,4.236031571349469,2.638677254768025,87.2855554367481,10.84019487200289,6.041840829147961,0.0,5.153109816892792,5.559266895052007,11.659048686155323,14.573052889090853,9.476340119217006,5.098681808301038,0.0,11.600939890232516,0.0,0.0,6.544756405912575,9.901064578912528,17.570245178184365,0.0,14.76446326439343,5.733667477162185,12.586597235060536,0.0,25.991194478291916,0.0,0.0,16.982677770417666,0.0,0.0,11.600939890232516,31.882136776333944,11.339293589984397,0.0,0.0,9.589074368143644,5.153109816892792,0.0,0.0,131.07,28.41326622724808,14.383611552215466,0.0,6.544756405912575,4.681802935145185,0.0,0.0,0.0,4.9839785209472085,5.098681808301038,22.441134762235407,0.6830555555555555,5.346004503653313,34.142890684051395,11.410494771982867,3.4794145250692887,-1.2860903250188962,-1.2942882338120436,0.0,-0.37037037037037046,0.0,0.3333333333333333,15.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,3.0,9.0,3.0,0.0,0.0,0.0,1.0,-2.0031,49.73889999999999,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL331644,11.125917422524566,-1.2583125472411185,11.125917422524566,0.11139928193499604,0.5922443090676653,279.05,271.99399999999997,277.965066804,82.0,0.0,0.3443879280198838,-0.480034824901698,0.480034824901698,0.3443879280198838,1.6666666666666667,2.2666666666666666,2.8,3.062635456075106,492.6406409737161,11.585421958697399,7.30615745046649,8.892153989581194,6.913591357920931,3.7686595898591926,4.5616578594165444,2.6769268176043273,3.4280655597369916,1.5375995394849644,2.056318854729568,0.7981703494720562,1.0887418508971007,-1.48,1641.1746778827317,11.593964497041421,4.360634238108036,2.7321153803684273,90.84983681550777,10.84019487200289,6.041840829147961,4.60319601898388,0.0,5.559266895052007,11.659048686155323,14.573052889090853,9.476340119217006,5.098681808301038,0.0,0.0,15.929943897949348,0.0,6.544756405912575,9.901064578912528,21.899249185901198,0.0,14.76446326439343,5.733667477162185,12.586597235060536,0.0,25.441280680383002,0.0,0.0,16.982677770417666,0.0,0.0,15.929943897949348,31.882136776333944,11.339293589984397,0.0,0.0,14.192270387127522,0.0,0.0,0.0,131.07,23.260156410355286,14.383611552215466,0.0,11.147952424896456,0.0,4.681802935145185,0.0,0.0,4.9839785209472085,21.028625706250388,10.84019487200289,0.6567257180650039,2.804341695011338,34.372105576026705,12.034673760707987,3.7128713151927446,-1.2583125472411185,-1.256479591836735,0.0,-0.31592592592592617,0.0,0.3333333333333333,15.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,3.0,9.0,3.0,0.0,0.0,0.0,1.0,-1.8940000000000001,52.428899999999985,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL333964,11.188417422524566,-1.2183125472411185,11.188417422524566,0.13860071806500396,0.635443312289397,278.062,269.998,276.969817836,82.0,0.0,0.3279424582363674,-0.48003567026462796,0.48003567026462796,0.3279424582363674,1.6666666666666667,2.2666666666666666,2.8,3.062635456075106,491.7440440214763,11.585421958697399,7.4362941241561575,9.022290663270862,6.913591357920931,3.891926816451188,4.68492508600854,2.8334062250167955,3.687743124191316,1.6780121766612957,2.242883110765557,0.9083249815349803,1.2546064150482545,-1.4100000000000001,1641.1746778827317,11.663583517292127,4.40680395009382,2.766847281083722,91.66173526615654,10.84019487200289,6.041840829147961,0.0,0.0,5.559266895052007,11.659048686155323,19.140152536882205,4.794537184071822,0.0,0.0,0.0,15.929943897949348,6.196843571613076,11.017475921744989,9.901064578912528,21.899249185901198,0.0,9.551078168738563,5.733667477162185,12.586597235060536,0.0,31.50764774884461,0.0,0.0,16.982677770417666,0.0,0.0,15.929943897949348,26.66875168067908,11.339293589984397,0.0,0.0,20.25863745558913,0.0,0.0,0.0,118.17999999999999,23.260156410355286,14.383611552215466,0.0,11.017475921744989,0.0,4.567099647791355,6.196843571613076,0.0,4.9839785209472085,15.929943897949348,10.84019487200289,1.156725718065004,2.915452806122449,34.58738335380448,8.534071908856134,3.975093537414968,-1.2183125472411185,-1.193979591836735,1.1983796296296294,-0.204814814814815,0.0,0.2857142857142857,15.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,8.0,3.0,0.0,0.0,0.0,1.0,-1.2890000000000001,54.63389999999999,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL121191,11.209250755857898,-1.4044387755102046,11.209250755857898,0.48037037037037056,0.40151705290776524,244.16299999999998,236.09899999999996,244.044383976,92.0,0.0,0.3495923823935137,-0.48003567016391907,0.48003567016391907,0.3495923823935137,1.6470588235294117,2.235294117647059,2.7058823529411766,3.2153124387922984,572.4620307846312,13.162772227887025,8.322039827574613,8.322039827574613,7.8242749604438915,4.291699749366664,4.291699749366664,3.127818790480111,3.127818790480111,1.8993723974688876,1.8993723974688876,1.053496412568551,1.053496412568551,-2.49,4002.1752553071824,12.578917987594762,4.569715341117978,2.7503317290042832,92.44716338301498,10.84019487200289,6.041840829147961,0.0,0.0,0.0,22.90570185589089,29.254470805647777,4.794537184071822,0.0,0.0,0.0,0.0,0.0,17.664911026343322,14.824375627730198,11.656691562635412,0.0,9.551078168738563,5.733667477162185,12.586597235060536,0.0,37.149246501777775,0.0,0.0,16.982677770417666,5.687386274683562,0.0,0.0,31.592062729496746,11.339293589984397,10.114318268765572,0.0,15.785917939756718,0.0,0.0,0.0,161.31999999999996,40.4156101397691,24.497929820981035,0.0,0.0,10.763943219404432,0.0,0.0,4.9839785209472085,0.0,0.0,10.84019487200289,0.665,0.0,43.796182287729906,18.948651423532375,2.187935563114136,-1.3696730914588058,-1.4044387755102046,0.6567129629629629,-0.48037037037037056,0.0,0.2857142857142857,17.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,3.0,10.0,4.0,0.0,0.0,0.0,1.0,-2.1433,53.5883,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL298800,10.676287792894936,-1.1936054421768703,10.676287792894936,0.05083333333333351,0.5606672669098255,201.222,186.10199999999998,201.10010796,80.0,0.0,0.33081661611106083,-0.4800776745337331,0.4800776745337331,0.33081661611106083,1.3571428571428572,1.8571428571428572,2.142857142857143,4.545458289894466,257.53756901265297,11.300964908321225,8.227431629872694,8.227431629872694,6.3411117128495,4.265981041256502,4.265981041256502,3.389929460272329,3.389929460272329,1.5662426224252854,1.5662426224252854,0.9532427738037237,0.9532427738037237,-1.36,671.7879981750904,12.639999999999999,5.387195531164762,4.613319597479769,82.22058731231044,15.946722266843596,6.041840829147961,0.0,0.0,0.0,11.938610575903699,4.794537184071822,4.794537184071822,0.0,0.0,19.92349450621513,5.917906046161393,11.993926152995277,0.0,19.802129157825057,11.938610575903699,0.0,0.0,11.651573523323577,26.31013685145522,0.0,11.64912463690315,0.0,0.0,5.733667477162185,0.0,0.0,0.0,28.193506194733068,9.589074368143644,5.917906046161393,20.268296022307258,11.64912463690315,0.0,0.0,0.0,100.62000000000002,17.98045140505166,9.589074368143644,0.0,17.91183219915667,0.0,0.0,6.076020106833881,0.0,13.847474399381248,0.0,15.946722266843596,0.0,0.0,21.07428665910809,17.237662509448224,5.278021541950113,-2.2514805366591077,-1.1563888888888891,1.355138888888889,3.62942649281935,0.0,0.5555555555555556,14.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.4553999999999998,50.78500000000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL51660,10.938232237339381,-1.1598639455782307,10.938232237339381,0.08333333333333326,0.5978901197839266,213.23299999999995,198.11299999999994,213.10010796,84.0,0.0,0.3310854693693699,-0.4800776734977202,0.4800776734977202,0.3310854693693699,1.2666666666666666,1.8,2.2,2.792297225996143,300.54424922924045,11.422285251880869,8.401158216239633,8.401158216239633,7.019744507803582,4.946378816135653,4.946378816135653,3.74322101229649,3.74322101229649,2.6332766926720614,2.6332766926720614,1.7936503121081773,1.7936503121081773,-1.3599999999999999,2498.61004137587,11.713313782991202,4.929027243087918,3.0557359035946994,87.57969827317783,15.946722266843596,6.041840829147961,0.0,0.0,0.0,11.938610575903699,4.794537184071822,4.794537184071822,0.0,0.0,5.573104530069267,25.683286491704038,11.993926152995277,0.0,19.802129157825057,11.938610575903699,0.0,0.0,5.733667477162185,38.14594894377801,0.0,11.146209060138535,0.0,0.0,5.733667477162185,0.0,0.0,0.0,28.193506194733068,9.589074368143644,0.0,32.10410811463005,11.146209060138535,0.0,0.0,0.0,100.62000000000002,17.98045140505166,9.589074368143644,0.0,11.993926152995277,0.0,31.256391021773304,0.0,0.0,0.0,0.0,15.946722266843596,0.0,0.0,21.469958900226757,17.572926587301588,6.382781557067272,-2.198197278911563,-1.1211111111111112,3.3936413454270595,0.0,0.0,0.6,15.0,4.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,5.0,4.0,1.0,0.0,1.0,1.0,0.7435999999999996,53.35800000000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
