chembl_id,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL13076,13.918723608684749,-4.887399936587165,13.918723608684749,0.1133044624594044,0.15614659507958834,546.4180000000002,529.2820000000003,546.1110815440001,202.0,0.0,0.4180004274121803,-0.4799135995055989,0.4799135995055989,0.4180004274121803,1.1025641025641026,1.794871794871795,2.41025641025641,1.622096903017472,1721.5349814942265,28.48239870526642,19.482603528890422,19.482603528890422,18.328426161532786,10.896662714100684,10.896662714100684,8.162109296353181,8.162109296353181,5.512537515185199,5.512537515185199,3.76059722204324,3.76059722204324,-5.409999999999999,324706268.2196437,26.647342611796102,10.15556813875072,5.7874829105172285,213.80999444230685,25.29118277159193,6.544756405912575,0.0,0.0,5.687386274683562,29.29525210783741,29.06502946877239,4.794537184071822,13.171245143024459,0.0,0.0,35.89528683400505,36.758563960745505,27.20755025043075,32.79015795482648,34.40859378488957,0.0,19.43496642053625,0.0,19.265811329268626,5.316788604006331,96.80708603286465,0.0,5.687386274683562,21.752110998116674,29.340554876463404,0.0,0.0,36.14843606047822,24.060348513340447,10.114318268765572,11.126902983393991,64.44733099060107,0.0,16.720787709916088,0.0,181.35999999999999,52.014157328948215,42.46371214807732,0.0,28.952930390512222,16.19691820794996,10.633466716252965,42.7255224855342,0.0,0.0,15.617555728959871,5.106527394840706,43.397890376254324,0.0,59.69816808701378,24.79600241637178,-4.272046441438928,-1.479837718108995,7.3370706769194705,-2.330985238100997,-1.0629288255770946,0.0,0.13043478260869565,39.0,4.0,13.0,0.0,0.0,0.0,2.0,2.0,4.0,8.0,4.0,16.0,7.0,0.0,0.0,0.0,4.0,2.8138000000000014,129.74829999999997,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CHEMBL293613,12.01572546264195,-1.3907125899793653,12.01572546264195,0.06187499999999968,0.32119950672272757,374.2650000000001,364.1850000000002,374.04986327999995,138.0,0.0,0.33674855943958826,-0.4799135995051801,0.4799135995051801,0.33674855943958826,1.2222222222222223,1.9259259259259258,2.4814814814814814,2.392833998595912,1232.8232651027722,19.877950698581344,13.279415847417647,13.279415847417647,12.684448305750033,7.274848816104358,7.274848816104358,5.466943352133963,5.466943352133963,3.779327904497453,3.779327904497453,2.61512614573158,2.61512614573158,-4.22,1042398.6494615249,17.598143976924298,6.25364684773152,3.058945068729601,147.22091918365086,19.764132958419978,12.232142680596137,0.0,0.0,5.687386274683562,23.057144366007712,29.06502946877239,4.794537184071822,0.0,0.0,0.0,12.13273413692322,18.460054211687762,21.520163975747188,24.725440206642723,28.659398285819783,0.0,14.118177816529919,0.0,6.544756405912575,0.0,66.97816626732121,0.0,5.687386274683562,11.118533790104014,5.687386274683562,0.0,0.0,41.1931542309327,11.339293589984397,10.114318268765572,10.357988675768818,40.18186271675463,0.0,16.720787709916088,0.0,177.53,40.21259809542152,29.29246700505286,0.0,22.284239201613083,4.567099647791355,22.89667735632765,12.263210640074686,0.0,0.0,4.9839785209472085,10.213054789681411,1.8264384920634917,0.0,58.65831053634851,29.407701861647116,-3.149037629871862,-2.6367237603132265,3.330484483917023,2.393620874275636,-0.8307948580666835,0.0,0.06666666666666667,27.0,3.0,12.0,0.0,0.0,0.0,1.0,2.0,3.0,8.0,3.0,12.0,5.0,0.0,0.0,0.0,3.0,0.17150000000000015,89.40520000000002,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL303415,12.219988851323418,-1.3067733955481635,12.219988851323418,0.015737336473718333,0.344228509199325,427.4170000000003,406.24900000000025,427.14918339200005,162.0,0.0,0.3231618497411104,-0.4799135995051801,0.4799135995051801,0.3231618497411104,1.1935483870967742,1.935483870967742,2.6129032258064515,1.8264988756101115,1281.4329166863827,22.12059138570062,16.61380824407307,16.61380824407307,14.8294075958929,9.899354561766232,9.899354561766232,7.618171987132667,7.618171987132667,5.448496778406821,5.448496778406821,4.002102886162704,4.002102886162704,-3.7299999999999995,11410658.129454406,20.539054230459072,8.185582078791029,4.121960870992212,174.84387642006828,14.65760556357927,12.232142680596137,0.0,0.0,5.687386274683562,17.087839078055865,33.96493919962287,0.0,0.0,0.0,6.4208216229260096,43.627341686297385,25.004810617600338,15.956712484050195,14.824375627730198,22.690092997867936,0.0,19.018087547380397,0.0,32.35197768060318,13.08951281182515,66.97816626732121,0.0,5.687386274683562,11.118533790104014,5.687386274683562,0.0,0.0,48.106744090815766,17.884049995896973,10.114318268765572,24.825916360475023,40.18186271675463,0.0,16.720787709916088,0.0,143.47000000000003,28.555906532786107,24.49792982098104,0.0,22.40817398459965,0.0,48.67283067153971,12.487188691387619,16.960786791017508,6.06636706846161,9.883888251797686,5.106527394840706,2.38830556258316,0.0,51.08715128014183,20.846219656607047,-1.076924290124318,-1.3067733955481635,4.381262910837226,7.000127884985631,2.01396372385092,0.0,0.35,31.0,2.0,11.0,0.0,1.0,1.0,1.0,2.0,3.0,8.0,2.0,11.0,6.0,0.0,1.0,1.0,4.0,1.4591999999999994,111.57390000000002,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL268284,11.950012440161249,-1.3149380091542795,11.950012440161249,0.0032001133786849767,0.40467959234204676,330.25600000000003,320.1760000000001,330.06003404,122.0,0.0,0.3231618497411104,-0.4799135995051801,0.4799135995051801,0.3231618497411104,1.25,1.9166666666666667,2.5,2.441172868728054,1077.073114434331,17.43035694138864,12.001304230643452,12.001304230643452,11.37991785310972,6.686434270599487,6.686434270599487,4.94465425288349,4.94465425288349,3.4439583087125487,3.4439583087125487,2.4373826079211915,2.4373826079211915,-3.6899999999999995,304486.0322918735,15.215118194159517,5.499428072826149,2.4511877862214813,131.9002212170145,14.65760556357927,12.232142680596137,0.0,0.0,5.687386274683562,17.087839078055865,29.06502946877239,0.0,0.0,0.0,0.0,18.19910120538483,18.460054211687762,15.956712484050195,14.824375627730198,22.690092997867936,0.0,14.118177816529919,0.0,6.544756405912575,0.0,67.48108184408582,0.0,5.687386274683562,11.118533790104014,5.687386274683562,0.0,0.0,30.117321548140144,11.339293589984397,10.114318268765572,0.0,46.24822978521623,0.0,16.720787709916088,0.0,140.23000000000002,28.555906532786107,24.49792982098104,0.0,22.40817398459965,0.0,10.633466716252965,10.633466716252965,24.52642128014937,0.0,4.9839785209472085,5.106527394840706,2.227668178382464,0.0,47.533815638909886,20.265173506130846,-2.165102618207775,-1.3149380091542795,5.716115415301923,3.137880133534895,-0.7339455782312925,0.0,0.07142857142857142,24.0,2.0,10.0,0.0,0.0,0.0,1.0,2.0,3.0,7.0,2.0,10.0,4.0,0.0,0.0,0.0,3.0,0.47329999999999967,82.44590000000001,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL305534,12.097457640463592,-1.131595962459057,12.097457640463592,0.08110638699924433,0.3995137639159866,344.2830000000001,332.1870000000001,344.075684104,128.0,0.0,0.3162395150879611,-0.4811813015707797,0.4811813015707797,0.3162395150879611,1.24,1.92,2.52,2.3519196279597785,1093.6424525272078,18.137463722575188,12.70841101183,12.70841101183,11.87991785310972,7.186434270599487,7.186434270599487,5.26014716762505,5.26014716762505,3.699859693264609,3.699859693264609,2.5745904712886745,2.5745904712886745,-3.6899999999999995,503645.51859703904,16.177773454646044,6.074059415970262,2.917511234304463,138.2651633314111,19.224705211370622,5.687386274683562,0.0,0.0,5.687386274683562,17.087839078055865,24.49792982098104,0.0,0.0,0.0,0.0,18.19910120538483,25.004810617600338,22.377534106976206,14.824375627730198,22.690092997867936,0.0,14.118177816529919,0.0,12.965578028838586,0.0,67.48108184408582,0.0,5.687386274683562,11.118533790104014,5.687386274683562,0.0,0.0,30.117321548140144,11.339293589984397,10.114318268765572,6.4208216229260096,46.24822978521623,0.0,16.720787709916088,0.0,140.23000000000002,22.011150126873535,24.49792982098104,0.0,35.37375201343823,0.0,10.633466716252965,10.633466716252965,24.52642128014937,0.0,4.9839785209472085,5.106527394840706,2.5076436130007558,0.0,47.759383701432306,20.20046750531148,-1.6661921033845621,-1.131595962459057,5.894870254371517,2.826775977366255,-0.22468631897203317,0.0,0.13333333333333333,25.0,2.0,10.0,0.0,0.0,0.0,1.0,2.0,3.0,7.0,2.0,10.0,5.0,0.0,0.0,0.0,3.0,0.8633999999999995,87.06290000000001,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL67828,12.352886119515263,-1.3126703021193065,12.352886119515263,0.008161869355436169,0.18858809487029088,532.5570000000004,504.3330000000004,532.2070326160001,202.0,0.0,0.3231618497411104,-0.4799135995051801,0.4799135995051801,0.3231618497411104,1.0,1.7179487179487178,2.41025641025641,1.3308943886101987,1632.272372040476,27.51793261119915,21.154879966707703,21.154879966707703,18.778897338676074,12.612274852932982,12.612274852932982,9.634751161506209,9.634751161506209,7.024255505987789,7.024255505987789,4.987491984914688,4.987491984914688,-4.549999999999999,724613540.6396371,26.072866573886344,11.053444420821235,5.811910709368706,222.02574641073227,19.55751529442975,12.232142680596137,0.0,0.0,5.687386274683562,17.087839078055865,33.96493919962287,0.0,0.0,0.0,30.33183534230805,29.68045874324322,57.72859264716321,15.956712484050195,14.824375627730198,22.690092997867936,0.0,23.917997278230875,0.0,19.510334434751158,32.72378202956288,102.87345310132628,0.0,5.687386274683562,11.118533790104014,5.687386274683562,0.0,0.0,72.64092303940397,24.304871618822983,10.114318268765572,11.126902983393991,70.51369805906268,0.0,16.720787709916088,0.0,146.71000000000004,28.555906532786107,29.604457215821743,0.0,22.40817398459965,6.544756405912575,55.341521860438846,11.629818560158606,16.960786791017508,12.13273413692322,39.049266256494604,0.0,2.397939582575051,0.0,54.11125808153943,21.111685698401615,0.1788210779544892,-1.3126703021193065,14.821256300707196,4.50855497947221,4.68315458146931,0.0,0.2962962962962963,39.0,2.0,12.0,0.0,1.0,1.0,2.0,2.0,4.0,9.0,2.0,12.0,9.0,0.0,1.0,1.0,5.0,1.833600000000001,144.3088999999998,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL429540,12.257918175369493,-1.3189890059804152,12.257918175369493,0.0011459870079544299,0.13698095351593212,477.47700000000026,454.29300000000035,477.16483345600005,180.0,0.0,0.3231618497411104,-0.4799135995051801,0.4799135995051801,0.3231618497411104,1.1142857142857143,1.8857142857142857,2.6,1.57700330469339,1502.6109605874876,24.949018510446805,18.63913243214815,18.63913243214815,16.8294075958929,10.922015038018504,10.922015038018504,8.047292589137932,8.047292589137932,5.584586524565421,5.584586524565421,3.9323449264956767,3.9323449264956767,-4.509999999999999,81913480.75675024,23.64158961896703,10.180176385195452,5.358453895482192,197.96694606427295,19.9743941675856,12.232142680596137,0.0,0.0,5.687386274683562,17.087839078055865,29.06502946877239,0.0,0.0,0.0,30.33183534230805,42.64603677208181,25.004810617600338,15.956712484050195,14.824375627730198,22.690092997867936,0.0,19.43496642053625,0.0,25.931156057677168,6.544756405912575,102.87345310132628,0.0,5.687386274683562,16.435322394110344,5.687386274683562,0.0,0.0,36.66207795405272,24.304871618822983,10.114318268765572,17.54772460632,70.51369805906268,0.0,16.720787709916088,0.0,152.26000000000002,28.555906532786107,24.49792982098104,0.0,22.40817398459965,6.544756405912575,35.583317859714555,11.629818560158606,16.960786791017508,24.26546827384644,22.43350126187676,5.106527394840706,2.3349951340757062,0.0,48.887979631428465,24.263970307465797,-0.022237730228742425,-1.3189890059804152,14.457276420529222,5.294257276352056,0.60274796635791,0.0,0.20833333333333334,35.0,3.0,11.0,0.0,0.0,0.0,2.0,2.0,4.0,8.0,3.0,11.0,10.0,0.0,0.0,0.0,4.0,2.1956999999999995,128.91559999999998,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
CHEMBL416685,12.333639570053176,-1.311862833738109,12.333639570053176,0.009228337040611878,0.22418681988526876,503.5150000000003,478.3150000000004,503.18048352000005,190.0,0.0,0.3231618497411104,-0.4799135995051801,0.4799135995051801,0.3231618497411104,1.1081081081081081,1.837837837837838,2.5135135135135136,1.4251623469162693,1595.4921594255452,26.103719048826058,19.870803078024277,19.870803078024277,17.795734091081684,11.915209879811734,11.915209879811734,9.242469112124107,9.242469112124107,6.858368339398706,6.858368339398706,5.034203146400369,5.034203146400369,-4.509999999999999,280033398.48965025,24.196207814662355,9.85947734815647,4.9354443254809315,209.90097062613228,14.65760556357927,12.232142680596137,0.0,0.0,5.687386274683562,17.087839078055865,33.96493919962287,0.0,0.0,0.0,30.33183534230805,55.10869922415577,25.004810617600338,15.956712484050195,14.824375627730198,22.690092997867936,0.0,19.018087547380397,0.0,31.84906210383856,13.08951281182515,102.87345310132628,0.0,5.687386274683562,11.118533790104014,5.687386274683562,0.0,0.0,48.106744090815766,17.884049995896973,10.114318268765572,29.886452275407404,70.51369805906268,0.0,16.720787709916088,0.0,143.47000000000003,28.555906532786107,29.604457215821743,0.0,22.40817398459965,12.462662452073968,42.12807426562713,11.629818560158606,16.960786791017508,12.13273413692322,34.14935652564412,0.0,2.398154749582454,0.0,51.593056138282954,21.0750525274349,0.22305289530903094,-0.7728416109251227,14.886941734121754,5.605827101620891,1.824089797906479,0.0,0.2692307692307692,37.0,2.0,11.0,0.0,1.0,1.0,2.0,2.0,4.0,8.0,2.0,11.0,7.0,0.0,1.0,1.0,5.0,2.852900000000001,136.1398999999999,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL63861,12.342032297860928,-1.313871454493446,12.342032297860928,0.006530775378266629,0.20391124316193418,518.5300000000003,492.3220000000004,518.191382552,196.0,0.0,0.3231618497411104,-0.4799135995051801,0.4799135995051801,0.3231618497411104,0.9736842105263158,1.631578947368421,2.263157894736842,1.3764791247662103,1614.9866042230246,26.810825830012604,20.447773185521157,20.447773185521157,18.278897338676074,12.112274852932982,12.112274852932982,9.31925824676465,9.31925824676465,6.713730190086182,6.713730190086182,4.83172722071057,4.83172722071057,-4.549999999999999,437681604.9424744,25.11434640936469,10.438855832393543,5.260970172579666,215.66080429633564,14.65760556357927,12.232142680596137,0.0,0.0,5.687386274683562,17.087839078055865,38.86484893047334,0.0,0.0,0.0,30.33183534230805,23.259637120317212,57.72859264716321,15.956712484050195,14.824375627730198,22.690092997867936,0.0,23.917997278230875,0.0,19.634269217737724,26.1790256236503,102.87345310132628,0.0,5.687386274683562,11.118533790104014,5.687386274683562,0.0,0.0,66.09616663349139,24.42880640180955,10.114318268765572,11.126902983393991,70.51369805906268,0.0,16.720787709916088,0.0,146.71000000000004,28.555906532786107,29.604457215821743,0.0,22.40817398459965,6.544756405912575,48.92070023751283,11.629818560158606,16.960786791017508,24.26546827384644,26.916532119571382,0.0,2.3911862733542093,0.0,54.0110499418875,21.090512838553245,0.1177633350318843,-1.313871454493446,14.729604624579885,3.482453677458638,4.491300763628086,0.0,0.2692307692307692,38.0,2.0,12.0,0.0,1.0,1.0,2.0,2.0,4.0,9.0,2.0,12.0,8.0,0.0,1.0,1.0,5.0,1.7911000000000006,139.44189999999986,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL63927,12.417366135529342,-1.1369067589332198,12.417366135529342,0.07445629867295045,0.21409783461310972,477.47700000000026,454.29300000000023,477.16483345599994,180.0,0.0,0.3162395150879695,-0.4811813015707797,0.4811813015707797,0.3162395150879695,1.1142857142857143,1.8285714285714285,2.5142857142857142,1.7248001256428762,1519.187321680397,25.11215521726335,18.879239246461555,18.879239246461555,16.723254446010248,10.794577384365587,10.794577384365587,8.254745513790066,8.254745513790066,5.597341478837748,5.597341478837748,4.026266276722439,4.026266276722439,-4.510000000000001,71292859.68084882,23.64158961896702,9.772929444692293,5.196061364671426,198.17691755086835,19.224705211370626,5.687386274683562,0.0,0.0,5.687386274683562,17.087839078055865,29.397839551831513,0.0,0.0,0.0,30.33183534230805,30.3073091029944,38.094323429425486,22.377534106976203,14.824375627730198,22.690092997867936,0.0,19.018087547380397,0.0,26.055090840663734,7.04767198267719,102.87345310132626,0.0,5.687386274683562,11.118533790104014,5.687386274683562,0.0,0.0,42.06490326166781,24.428806401809545,10.114318268765572,17.547724606320003,70.51369805906268,0.0,16.720787709916088,0.0,143.46999999999997,22.01115012687353,24.497929820981035,0.0,35.373752013438235,6.544756405912575,22.23875903709792,12.13273413692322,16.960786791017508,43.44587439344685,9.883888251797686,5.106527394840706,2.6189923020401915,0.0,51.23971794098989,20.84971690870701,0.3787783341771558,-1.1369067589332198,14.427582393950187,3.0679277416843758,1.0816658893383555,1.9725252480460467,0.20833333333333334,35.0,2.0,11.0,0.0,0.0,0.0,2.0,2.0,4.0,8.0,2.0,11.0,9.0,0.0,0.0,0.0,4.0,2.4954,128.6759000000001,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
