chembl_id,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL318730,9.987479987378077,0.06526775216259373,9.987479987378077,0.06526775216259373,0.7477370268289635,292.38200000000006,272.222,292.15756325999996,112.0,0.0,0.23464200140520167,-0.49179836488066664,0.49179836488066664,0.23464200140520167,1.0454545454545454,1.8181818181818181,2.590909090909091,1.8134102995272592,811.6393989584724,15.526733258565956,12.92744290689002,12.92744290689002,10.669035095596021,7.581321756308143,7.581321756308143,5.492681257231991,5.492681257231991,3.975539445365269,3.975539445365269,2.668122789588698,2.668122789588698,-2.55,128540.10756585693,14.389899261577582,6.059163046907228,2.8859591798692383,130.19367423163322,10.423315998847038,0.0,0.0,5.879988336435371,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,43.321939610460284,47.376644371863435,12.238684400761036,5.687386274683562,5.106527394840706,16.459834703613154,0.0,4.9839785209472085,0.0,26.813052428219834,5.316788604006331,65.35176752593533,0.0,5.879988336435371,5.316788604006331,5.687386274683562,5.879988336435371,0.0,10.090505915787915,12.965578028838586,6.923737199690624,23.744568177933076,48.53093654769288,0.0,10.772448428929591,0.0,45.15,0.0,5.106527394840706,0.0,5.879988336435371,12.232142680596137,17.678201109471466,16.335899920626588,0.0,25.122838405075456,47.55633966695221,0.0,0.0,0.0,4.199623484813781,15.73071853459525,3.9049987961973898,0.06526775216259373,16.686795356636175,0.9065157610080049,4.672746981253475,0.0,0.21052631578947367,22.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,2.0,3.0,4.0,0.0,0.0,0.0,3.0,4.423320000000004,91.29150000000004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL68175,12.119189342403628,-0.007291666666666252,12.119189342403628,0.007291666666666252,0.8385534802924461,257.337,238.18499999999997,257.152812228,100.0,0.0,0.3262597067030647,-0.3055187980493867,0.3262597067030647,0.3055187980493867,1.5263157894736843,2.3157894736842106,3.0526315789473686,2.15182622134194,694.9688658232633,13.568549621822843,11.440503682968474,11.440503682968474,9.0585506480638,6.648495595819169,6.648495595819169,5.589209108599066,5.589209108599066,3.6715599008962254,3.6715599008962254,3.0647461493324606,3.0647461493324606,-1.81,24168.955144259267,12.23544093091737,4.3842388535215,2.018253095631036,111.89730603949481,4.9839785209472085,0.0,0.0,0.0,0.0,5.689743398203474,9.467009378641833,4.794537184071822,0.0,0.0,24.284774350590983,25.477292959539852,25.676110046885686,11.033401435232523,0.0,11.033401435232523,0.0,14.450987899589041,0.0,26.434071634441786,13.08951281182515,46.39887349302489,0.0,0.0,5.689743398203474,0.0,0.0,0.0,27.540500711414193,6.544756405912575,0.0,25.452766720226204,35.145678603124416,0.0,11.033401435232523,0.0,41.03,0.0,4.794537184071822,0.0,11.731584227351433,0.0,36.24077518303951,5.563451491696996,0.0,23.623570984405198,29.452928203548417,0.0,1.8919529478458048,0.0,17.418497968631897,0.0,4.351093395691612,0.0,6.254252960443437,0.0,10.750869394053918,0.0,0.4,19.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,3.0,2.2823,77.36070000000004,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL69775,12.423633786848072,0.007708333333333428,12.423633786848072,0.007708333333333428,0.8809684947410817,285.391,262.207,285.184112356,112.0,0.0,0.32627906355191705,-0.30551850244544676,0.32627906355191705,0.30551850244544676,1.4761904761904763,2.238095238095238,2.9047619047619047,2.18563343516594,738.0634443963888,15.14589989101247,13.0178539521581,13.0178539521581,9.96923425058676,7.559179198342128,7.559179198342128,6.551552323139836,6.551552323139836,4.254814196943944,4.254814196943944,3.3604580006308042,3.3604580006308042,-1.81,58266.1116132152,14.14094585695257,5.187313539396647,2.4416217975199266,124.62719026828802,4.9839785209472085,0.0,0.0,0.0,0.0,5.689743398203474,9.467009378641833,4.794537184071822,0.0,0.0,38.132248749972234,24.471461806010623,19.634269217737724,17.075242264380485,0.0,11.033401435232523,0.0,14.450987899589041,5.917906046161393,33.35780883413241,13.08951281182515,46.39887349302489,0.0,0.0,5.689743398203474,0.0,0.0,0.0,27.540500711414193,6.544756405912575,5.917906046161393,32.37650391991683,35.145678603124416,0.0,11.033401435232523,0.0,41.03,0.0,4.794537184071822,0.0,11.731584227351433,5.917906046161393,36.24077518303951,5.563451491696996,0.0,16.699833784714574,43.300402602929665,0.0,1.966027021919879,0.0,17.819053524187453,0.0,4.402302768329555,0.4032199546485259,6.323413958175863,0.0,13.085982772738726,0.0,0.47058823529411764,21.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,3.0,2.918400000000001,86.52470000000005,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL431274,9.938508440413203,0.0470473251028809,9.938508440413203,0.0470473251028809,0.76731967029466,299.39900000000006,282.26300000000003,299.10923316400005,108.0,0.0,0.23464342092771664,-0.4917983572733111,0.4917983572733111,0.23464342092771664,1.2380952380952381,2.0476190476190474,2.8095238095238093,1.8065966633754738,749.2881789296756,14.819626477379408,12.050853985284963,12.86735056621269,10.169035095596021,6.948749770559379,7.7652463514871055,4.8865069928191796,6.001706864108425,3.446942182370729,4.48332569221756,2.288469691624675,3.195512112255556,-2.1399999999999997,92518.59302383936,13.825345374220134,5.693993779409964,2.827569131196518,127.05368548299121,10.423315998847038,5.007623696852765,0.0,5.879988336435371,0.0,0.0,0.0,9.967957041894417,0.0,11.336785877934737,19.056471336613843,37.10711151969846,5.693927994848461,22.4487633146815,5.106527394840706,27.240792786703665,0.0,9.967957041894417,0.0,26.813052428219834,5.316788604006331,46.59683852570627,0.0,5.879988336435371,5.316788604006331,5.687386274683562,5.879988336435371,11.336785877934737,15.074484436735123,12.965578028838586,6.923737199690624,23.188740383088845,30.33183534230805,0.0,10.216620634085363,0.0,58.040000000000006,0.0,5.106527394840706,0.0,5.879988336435371,12.232142680596137,28.20252552394049,4.699919916469101,11.336785877934737,31.189205473537065,28.27484991405298,0.0,1.1757410031914002,1.659829170865877,8.747014282564878,14.160697593852356,3.6913364623091365,0.0470473251028809,10.042145755812783,0.8977490429010091,4.5784393633996805,0.0,0.25,21.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,2.0,5.0,4.0,0.0,0.0,0.0,3.0,3.8798200000000023,86.96350000000002,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CHEMBL68933,4.618258849836231,0.41194444444444445,4.618258849836231,0.41194444444444445,0.8535595500483109,287.4320000000001,266.26399999999995,287.145618672,106.0,0.0,0.1657269579997445,-0.3144648417756705,0.3144648417756705,0.1657269579997445,1.25,2.05,2.8,1.8485569608418657,659.0308916539998,13.853006672199017,12.08138312188378,12.975810312883695,9.647867045540844,7.577236369831636,8.024449965331593,6.4207004815808695,6.82070048158087,5.019556714893822,5.335026768731748,3.467604645730327,3.8574763931538825,-1.0,85919.51009413398,12.71900826446281,4.5,1.8888888888888888,124.93956459590444,4.567099647791355,0.0,5.156436481820707,0.0,0.0,0.0,4.899909730850478,4.9839785209472085,0.0,12.628789148012991,12.13273413692322,44.23684225155327,25.17319447012107,11.033401435232523,0.0,23.66219058324551,0.0,14.450987899589041,5.917906046161393,50.47399219126247,6.544756405912575,23.762552697081826,0.0,0.0,0.0,0.0,0.0,12.628789148012991,27.03758513464958,6.544756405912575,5.917906046161393,38.29440996607822,23.355537687205537,0.0,11.033401435232523,0.0,21.060000000000002,0.0,0.0,0.0,0.0,12.083681658295921,23.135799651510936,30.466551861077853,0.0,0.0,59.12635265236811,0.0,2.3247445830183926,4.610487755801909,7.2683823066263535,0.8472888321995466,3.7658508125472414,0.9258446712018139,7.403453798185941,2.8204132898015173,6.922422839506173,0.0,0.5625,20.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,4.0,2.0,1.0,0.0,1.0,4.0,3.5001000000000024,84.29200000000003,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL69566,6.251032095965957,0.5046995464852605,6.251032095965957,0.5046995464852605,0.8560666207569353,307.85000000000014,289.706,307.090996256,106.0,0.0,0.16547268321072012,-0.3173086575033726,0.3173086575033726,0.16547268321072012,1.4,2.2,2.95,1.8238201836534313,677.2987296076076,13.853006672199017,11.511753837700303,13.162109974718673,9.614193540729628,7.232495773069788,8.057673841578975,6.1768943350049845,7.013330115476969,4.4985098673036115,5.0581491137769135,3.2292388129431018,3.7536791217013055,-0.7100000000000001,79417.75016476403,12.987916911964941,4.650168841050988,2.141227440295457,128.87788870838946,4.567099647791355,0.0,5.156436481820707,0.0,0.0,0.0,4.899909730850478,4.9839785209472085,0.0,12.628789148012991,11.600939890232516,43.37947212032425,30.698743360627013,11.033401435232523,0.0,35.26313047347803,0.0,14.450987899589041,5.917906046161393,44.05317056833647,6.544756405912575,22.71881894236154,0.0,0.0,0.0,0.0,0.0,24.22972903824551,27.03758513464958,13.08951281182515,5.917906046161393,25.328831937239638,17.289170618743928,5.022633313741326,11.033401435232523,0.0,21.060000000000002,0.0,0.0,0.0,0.0,6.041840829147961,34.70318937116484,30.466551861077853,0.0,6.06636706846161,40.06988131575427,11.600939890232516,2.2377692743764173,10.79333296590241,7.13052736835475,1.5648582766439914,3.465573034769464,0.9010964663643233,4.537487717309146,2.777506981187537,5.425181248425296,0.0,0.5333333333333333,20.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,5.0,2.0,1.0,0.0,1.0,4.0,3.592500000000002,84.59100000000004,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL67451,5.450916503947258,0.5306018518518514,5.450916503947258,0.5306018518518514,0.8385728000691454,261.394,242.24199999999996,261.129968608,96.0,0.0,0.17763354168648518,-0.3305572892111674,0.3305572892111674,0.17763354168648518,1.4444444444444444,2.2777777777777777,3.0555555555555554,2.168052778667122,625.4910792068977,12.698306133819765,10.940503682968474,11.7570002638962,8.702708600407234,6.648495595819169,7.056743886283032,5.173558894593907,5.5602572256608935,3.8306558748298776,4.153104485236951,2.937953065870309,3.2137323594446916,-1.13,17943.08600737085,11.93232670527069,4.517778417634079,1.799581083341528,112.41922510444357,9.551078168738563,0.0,4.771065770590158,0.0,0.0,0.0,4.899909730850478,0.0,0.0,0.0,19.056471336613843,43.73700723173451,19.13135364097311,11.033401435232523,0.0,23.25127487827922,0.0,14.450987899589041,0.0,39.39964966328037,6.544756405912575,28.533618467671985,0.0,0.0,0.0,0.0,0.0,12.217873443046695,27.03758513464958,13.08951281182515,4.771065770590158,25.831747514004253,18.19910120538483,0.0,11.033401435232523,0.0,23.96,0.0,0.0,0.0,0.0,6.041840829147961,24.405334988327883,23.017674549855528,0.0,0.0,46.497563504355114,12.217873443046695,3.113887471655329,5.450916503947258,5.865354150919627,0.0,3.8552328987150424,0.0,6.989748441043083,1.1964885676492818,7.695038632737044,0.0,0.5,18.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,3.0,3.312990000000002,77.28570000000003,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL121835,9.95891660367851,0.0748251028806588,9.95891660367851,0.0748251028806588,0.7459227930939599,298.41100000000006,280.267,298.113984196,108.0,0.0,0.23464246775710693,-0.49179836238842006,0.49179836238842006,0.23464246775710693,1.2380952380952381,2.0476190476190474,2.8095238095238093,1.8065966633754738,746.5561981305833,14.819626477379408,12.18099065897463,12.997487239902357,10.169035095596021,7.078886444249047,7.895383025176773,5.061716850960841,6.230044796810549,3.6083222521338274,4.724397873821349,2.4284048659347954,3.4325308879152594,-2.07,92518.59302383936,13.892254679614824,5.73694613302517,2.8537322338886435,127.8340375020447,10.423315998847038,0.0,0.0,5.879988336435371,0.0,0.0,0.0,4.9839785209472085,0.0,11.336785877934737,25.122838405075452,42.49333573416325,21.815751510931438,5.687386274683562,5.106527394840706,27.110316283552194,0.0,4.9839785209472085,0.0,26.813052428219834,5.316788604006331,52.532729091016414,0.0,5.879988336435371,5.316788604006331,5.687386274683562,5.879988336435371,11.336785877934737,10.090505915787915,12.965578028838586,6.923737199690624,23.058263879937382,36.39820241076966,0.0,10.086144130933896,0.0,45.15,0.0,5.106527394840706,0.0,5.879988336435371,12.232142680596137,17.678201109471466,14.963291324635195,11.336785877934737,12.990104268152233,47.55633966695221,0.0,1.2868521143025113,1.7709402819769882,5.440504850088184,14.512658362727809,2.7536656594200792,0.0748251028806588,12.53293775316728,0.9133740429010091,4.714241832535483,0.0,0.23529411764705882,21.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,2.0,4.0,4.0,0.0,0.0,0.0,3.0,4.484820000000004,89.16850000000004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CHEMBL125510,9.971854987378077,0.04485958889728758,9.971854987378077,0.04485958889728758,0.7675190186998289,293.37000000000006,274.218,293.152812228,112.0,0.0,0.23464200869208068,-0.4917983648619236,0.4917983648619236,0.23464200869208068,1.1818181818181819,2.0,2.8181818181818183,1.8134102995272592,814.5364841857754,15.526733258565956,12.797306233200352,12.797306233200352,10.669035095596021,7.441118975877137,7.441118975877137,5.347445423430317,5.347445423430317,3.808772627654033,3.808772627654033,2.5326619900383665,2.5326619900383665,-2.6199999999999997,128540.10756585693,14.322848067093643,6.015469265537555,2.859861081979736,129.41332221257974,10.423315998847038,0.0,0.0,5.879988336435371,0.0,0.0,4.9839785209472085,4.9839785209472085,0.0,0.0,25.122838405075452,42.67056301139546,23.82175218683891,11.204086992299825,5.106527394840706,16.59031120676462,0.0,9.967957041894417,0.0,26.813052428219834,5.316788604006331,59.415876960625184,0.0,5.879988336435371,5.316788604006331,5.687386274683562,5.879988336435371,0.0,15.074484436735123,12.965578028838586,6.923737199690624,23.744568177933076,42.595045982382736,0.0,10.902924932081056,0.0,58.040000000000006,0.0,5.106527394840706,0.0,5.879988336435371,12.232142680596137,34.14457753324952,0.0,0.0,43.45241611361175,28.27484991405298,0.0,0.0,0.0,8.629583067412252,14.32845554272367,4.723666109056623,0.04485958889728758,12.099800705380611,2.7500546719427494,4.590246981253475,0.0,0.2222222222222222,22.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,2.0,4.0,4.0,0.0,0.0,0.0,3.0,3.8183200000000026,89.08650000000003,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL125873,10.028992346938775,0.06475618333753275,10.028992346938775,0.06475618333753275,0.7477370268289635,292.38200000000006,272.222,292.15756325999996,112.0,0.0,0.23464200421172232,-0.4917983648734529,0.4917983648734529,0.23464200421172232,1.0454545454545454,1.8181818181818181,2.6363636363636362,1.8834180027739365,806.3893989584723,15.526733258565956,12.92744290689002,12.92744290689002,10.685871848001629,7.58730482045185,7.58730482045185,5.449450563693239,5.449450563693239,4.02792496867668,4.02792496867668,2.7591810981163127,2.7591810981163127,-2.55,131184.40610559052,14.389899261577582,6.059163046907228,2.748388774825715,130.19367423163322,10.423315998847038,0.0,0.0,5.879988336435371,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,49.38830667892189,41.31027730340182,12.238684400761036,5.687386274683562,5.106527394840706,16.459834703613154,0.0,4.9839785209472085,0.0,26.813052428219834,5.316788604006331,65.35176752593533,0.0,5.879988336435371,5.316788604006331,5.687386274683562,5.879988336435371,0.0,10.090505915787915,12.965578028838586,6.923737199690624,23.744568177933076,48.53093654769288,0.0,10.772448428929591,0.0,45.15,0.0,5.106527394840706,0.0,5.879988336435371,12.232142680596137,17.678201109471466,16.335899920626588,0.0,25.122838405075456,47.55633966695221,0.0,0.0,0.0,4.212017195767196,15.793572294658604,3.930961375418447,0.06475618333753275,16.588522776075536,0.904822375129013,4.672014466280339,0.0,0.21052631578947367,22.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,2.0,3.0,4.0,0.0,0.0,0.0,3.0,4.423320000000004,91.29150000000004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
