chembl_id,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL2368961,11.945235103300579,-0.8919426335348948,11.945235103300579,0.10031320861678084,0.6661016493839426,374.14700000000005,362.051,372.990947204,118.0,0.0,0.3299841813732767,-0.3935688359788784,0.3935688359788784,0.3299841813732767,1.5,2.272727272727273,2.8636363636363638,2.025925745578358,796.6446610987349,15.853006672199017,11.100776925185738,12.686773464300442,10.490402300641938,6.417475018094137,7.21047328765149,4.838016368903862,5.650493740653696,3.4090043243507666,3.7827042199817305,2.3055784776550285,2.585884167782711,-1.7499999999999996,130679.95196422661,15.157461179144047,5.799267906608627,2.6521855254723605,130.8145822829236,19.473012680454808,22.498515069164046,5.760247418874442,0.0,5.559266895052008,5.689743398203474,14.345615352810384,4.794537184071822,0.0,0.0,5.156663257125445,15.929943897949348,18.684032263000695,12.71084835226122,19.473012680454808,15.929943897949348,0.0,14.707741425864008,0.0,24.856655569157482,6.606881964512918,37.70449132045769,0.0,11.323698910571437,11.24901029325548,0.0,0.0,15.929943897949348,43.73561095555494,4.736862953800049,0.0,12.64872279366088,30.97857596417556,0.0,11.323698910571437,0.0,130.58,29.684844239486956,14.69560176298435,0.0,24.351402498010366,4.60319601898388,4.567099647791355,12.263210640074686,0.0,0.0,26.070585676022002,14.366485285614104,11.955387042277374,3.1071561178419946,26.00906171264802,22.458324025010985,-1.2003586519484333,0.17974870349374328,1.4863781809019905,-1.0489494756235815,-0.36341432126875794,0.0,0.4166666666666667,22.0,3.0,9.0,0.0,1.0,1.0,0.0,2.0,2.0,8.0,3.0,10.0,3.0,0.0,1.0,1.0,3.0,-0.4051999999999998,76.13929999999999,0.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL3143229,11.921571239606953,-0.8558495265390105,11.921571239606953,0.1659797808012098,0.6898495970201656,311.319,298.2149999999999,311.057591516,112.0,0.0,0.32998162403513787,-0.3935688359788785,0.3935688359788785,0.32998162403513787,1.5238095238095237,2.3333333333333335,2.9523809523809526,2.021448802202749,738.0914399665647,14.982763184195939,10.800162721366137,11.616659302293863,10.096555450524585,6.307743072325226,7.0811397344591995,4.700815013730099,5.534034115870494,3.365427332453837,4.14524502624097,2.279713027541539,2.880458469708464,-1.8099999999999998,94693.94838044333,14.14094585695257,5.525272514507111,2.5559949326036726,121.982802366793,14.94991774348146,12.331867558483172,0.0,0.0,5.559266895052008,5.689743398203474,14.345615352810384,9.16807716548827,0.0,0.0,0.0,17.598853680028284,18.814508766152162,23.151447037659516,14.94991774348146,11.532486611566675,0.0,13.924618150155013,0.0,24.856655569157482,6.606881964512918,39.298138873086884,0.0,10.440598685398296,11.24901029325548,0.0,0.0,11.532486611566675,42.952487679845945,4.736862953800049,0.0,12.64872279366088,28.049128579831407,0.0,10.440598685398296,0.0,117.44000000000001,29.684844239486956,14.69560176298435,0.0,13.027703587438928,10.440598685398296,11.532486611566675,10.763943219404432,12.263210640074686,0.0,9.357518502363657,9.843390348640755,10.572100088096661,1.1373135025615182,26.64566667716469,18.821748763185003,-0.8153268822961273,0.0,1.6715633660871756,0.8027754296035319,-0.33584094440245194,0.0,0.4166666666666667,21.0,3.0,8.0,0.0,1.0,1.0,0.0,2.0,2.0,8.0,3.0,9.0,3.0,0.0,1.0,1.0,3.0,-0.6991999999999998,74.05030000000001,0.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2367583,11.903182634164775,-0.8695455141933317,11.903182634164775,0.14759117535903288,0.6979973702595212,294.26300000000003,280.15099999999995,294.08518616799995,112.0,0.0,0.3299841572528942,-0.4641026834341256,0.4641026834341256,0.3299841572528942,1.4285714285714286,2.238095238095238,2.857142857142857,2.021448802202749,731.8600266116578,14.982763184195939,10.930299395055805,10.930299395055805,10.096555450524585,6.436005590471858,6.436005590471858,4.801431450389227,4.801431450389227,3.448781663044725,3.448781663044725,2.3568089092106224,2.3568089092106224,-2.1599999999999997,94693.94838044333,13.806232072531417,5.319248571346861,2.438968999364451,117.77603039056642,19.367068680534807,18.092114977357614,0.0,0.0,5.559266895052008,5.689743398203474,14.345615352810384,4.794537184071822,0.0,0.0,0.0,12.13273413692322,12.617665194539086,24.53746283959727,19.367068680534807,0.0,0.0,9.551078168738563,0.0,24.856655569157482,6.606881964512918,45.43082536557448,0.0,11.323698910571437,11.24901029325548,0.0,0.0,0.0,38.578947698429495,4.736862953800049,0.0,12.64872279366088,38.59896600937235,0.0,11.323698910571437,0.0,117.69000000000001,29.684844239486956,14.69560176298435,0.0,18.591155079135923,5.760247418874442,0.0,17.02710621504349,12.13273413692322,0.0,4.9839785209472085,14.260541285694103,11.74670414462081,0.0,25.922413627488034,18.802770427641008,-1.0280668671789692,0.32153111090115094,3.224309768647792,0.5234215306365368,-0.34641707608969474,0.0,0.38461538461538464,21.0,3.0,8.0,0.0,1.0,1.0,0.0,2.0,2.0,7.0,3.0,8.0,3.0,0.0,1.0,1.0,3.0,-0.5627,70.64430000000002,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL1231486,11.994873708742755,-0.853555287855883,11.994873708742755,0.17138101536911088,0.7159896214427358,389.22700000000003,376.12299999999993,387.97285461600006,118.0,0.0,0.3299816114775792,-0.3935688359788785,0.3935688359788785,0.3299816114775792,1.4545454545454546,2.227272727272727,2.8181818181818183,2.025925745578358,798.2135168036082,15.853006672199017,11.230913598875405,13.633406718917836,10.490402300641938,6.548751513074367,8.158246363559446,4.927887956553072,7.390902445828676,3.5008076673695614,5.157745443502224,2.3840416047566864,3.7769911345475493,-1.2599999999999996,130679.95196422661,15.628673846603688,6.08970373886715,2.8189313335254176,136.48961200254243,14.94991774348146,12.331867558483172,0.0,0.0,5.559266895052008,5.689743398203474,14.345615352810384,4.794537184071822,0.0,11.336785877934737,0.0,28.06267803487257,17.494812388240383,22.060715061794934,14.94991774348146,27.266729775884087,0.0,9.551078168738563,0.0,24.856655569157482,6.606881964512918,42.95407758777214,0.0,10.440598685398296,11.24901029325548,0.0,0.0,27.266729775884087,38.578947698429495,4.736862953800049,0.0,12.64872279366088,31.70506729451666,0.0,10.440598685398296,0.0,104.55000000000001,29.684844239486956,14.69560176298435,0.0,13.027703587438928,10.440598685398296,3.7864152178367183,22.10072909733917,6.06636706846161,6.06636706846161,20.913922418896558,9.843390348640755,7.568153324716276,4.699330731514624,26.955115688250608,18.895530328841566,-0.7418023405349785,0.0,3.584842176055199,-0.7116650525951123,-0.33283818958151534,0.0,0.38461538461538464,22.0,3.0,7.0,0.0,1.0,1.0,0.0,2.0,2.0,7.0,3.0,9.0,3.0,0.0,1.0,1.0,3.0,0.6683000000000003,83.95530000000001,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CHEMBL2367580,11.960860103300579,-0.8795969545225495,11.960860103300579,0.13736740992693397,0.7077084705644043,373.15900000000005,360.05499999999995,371.995698236,118.0,0.0,0.32998415730904906,-0.44911343299649514,0.44911343299649514,0.32998415730904906,1.4090909090909092,2.1818181818181817,2.772727272727273,2.025925745578358,794.313382273718,15.853006672199017,11.230913598875405,12.81691013799011,10.490402300641938,6.548751513074367,7.3417497826317195,4.927887956553072,5.709465908836508,3.5008076673695614,3.927010517832474,2.3840416047566864,2.6905987723003433,-1.6799999999999995,130679.95196422661,15.22472887038964,5.840473735712772,2.6757247900387093,131.64357799620777,19.367068680534807,18.092114977357614,4.66951544300986,0.0,5.559266895052008,5.689743398203474,14.345615352810384,4.794537184071822,0.0,0.0,0.0,28.06267803487257,12.617665194539086,18.274299843958214,19.367068680534807,15.929943897949348,0.0,9.551078168738563,0.0,24.856655569157482,6.606881964512918,43.837177812945285,0.0,11.323698910571437,11.24901029325548,0.0,0.0,15.929943897949348,38.578947698429495,4.736862953800049,0.0,12.64872279366088,37.005318456743154,0.0,11.323698910571437,0.0,117.69000000000001,29.684844239486956,14.69560176298435,0.0,18.591155079135923,10.429762861884303,0.0,10.763943219404432,12.13273413692322,0.0,20.913922418896558,14.260541285694103,12.373211116351449,3.145350562286439,26.080242268203577,18.858287530487658,-1.0774504886831269,0.29085981460485444,3.2144718056848287,-0.948224954333585,-0.35341432126875816,0.0,0.38461538461538464,22.0,3.0,8.0,0.0,1.0,1.0,0.0,2.0,2.0,7.0,3.0,9.0,3.0,0.0,1.0,1.0,3.0,0.19980000000000026,78.3443,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL1791154,11.887557634164775,-0.881891193205677,11.887557634164775,0.1228132086167808,0.650071360969851,295.25100000000003,282.14699999999993,295.080435136,112.0,0.0,0.3299841813350804,-0.3935688359788784,0.3935688359788784,0.3299841813350804,1.4761904761904763,2.2857142857142856,2.9047619047619047,2.021448802202749,734.1913054366746,14.982763184195939,10.800162721366137,10.800162721366137,10.096555450524585,6.307743072325226,6.307743072325226,4.700815013730099,4.700815013730099,3.365427332453837,3.365427332453837,2.279713027541539,2.279713027541539,-2.23,94693.94838044333,13.739348359697157,5.2783545725786505,2.4158630639528957,116.94703467728226,19.473012680454808,17.895319050180166,5.760247418874442,0.0,5.559266895052008,5.689743398203474,14.345615352810384,4.794537184071822,0.0,0.0,5.156663257125445,0.0,18.684032263000695,18.907691923874296,19.473012680454808,0.0,0.0,14.707741425864008,0.0,24.856655569157482,6.606881964512918,39.298138873086884,0.0,11.323698910571437,11.24901029325548,0.0,0.0,0.0,43.73561095555494,4.736862953800049,0.0,12.64872279366088,32.572223516804755,0.0,11.323698910571437,0.0,130.58,29.684844239486956,14.69560176298435,0.0,24.351402498010366,0.0,4.567099647791355,18.460054211687762,0.0,0.0,10.140641778072654,14.366485285614104,11.453301366843032,0.0,25.851233071932477,22.291695811053224,-1.1509750304442756,0.21041999979003978,1.4863781809019905,0.3810303426798738,-0.35641707608969453,0.0,0.4166666666666667,21.0,3.0,9.0,0.0,1.0,1.0,0.0,2.0,2.0,8.0,3.0,9.0,3.0,0.0,1.0,1.0,3.0,-1.1676999999999995,68.43930000000002,0.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL3143224,12.125331002771478,-0.8658366664567063,12.125331002771478,0.15865248645754626,0.632920169989117,468.12300000000005,456.027,465.88336668400007,124.0,0.0,0.32998162072546894,-0.3935688359788785,0.3935688359788785,0.32998162072546894,1.434782608695652,2.1739130434782608,2.739130434782609,2.0642707538420026,845.6209166382328,16.723250160202095,11.531527802695006,15.520017461852142,10.901085903164898,6.654400416245648,9.05689353628808,5.051703196305656,8.337476469592195,3.5634553354856764,6.122657319534649,2.435742765733328,5.0778634209916715,-0.7799999999999998,183768.06024184494,17.056367157374492,6.613186798511215,3.235705055757257,150.35715960818382,14.94991774348146,12.331867558483172,0.0,0.0,5.559266895052008,5.689743398203474,14.345615352810384,4.794537184071822,0.0,11.336785877934737,0.0,37.92625486436031,17.0903847103715,26.937862255496235,14.94991774348146,43.19667367383344,0.0,9.551078168738563,0.0,24.856655569157482,6.606881964512918,41.36043003514295,0.0,10.440598685398296,11.24901029325548,0.0,0.0,43.19667367383344,38.578947698429495,4.736862953800049,0.0,12.64872279366088,30.11141974188746,0.0,10.440598685398296,0.0,104.55000000000001,29.684844239486956,14.69560176298435,0.0,13.027703587438928,10.440598685398296,8.259134733669132,22.10072909733917,0.0,6.06636706846161,36.843866316845904,9.843390348640755,8.275988434840572,8.0807569390436,27.12906540007978,18.962338392644583,-0.8078232211094305,0.0,1.8120056618198754,-0.7777753107415815,-0.34122296324406665,0.0,0.38461538461538464,23.0,3.0,7.0,0.0,1.0,1.0,0.0,2.0,2.0,7.0,3.0,10.0,3.0,0.0,1.0,1.0,3.0,1.4308,91.65530000000001,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CHEMBL2367579,11.944056262422663,-0.8932080656336605,11.944056262422663,0.10836876417233632,0.7347353580802461,328.7080000000001,315.6039999999999,328.046213816,118.0,0.0,0.3299841573257128,-0.4444562397423336,0.4444562397423336,0.3299841573257128,1.4090909090909092,2.1818181818181817,2.772727272727273,2.025925745578358,794.313382273718,15.853006672199017,11.230913598875405,11.986842544893861,10.490402300641938,6.548751513074367,6.926715986083595,4.927887956553072,5.300409196751157,3.5008076673695614,3.70394750002035,2.3840416047566864,2.530155061400818,-1.8699999999999994,130679.95196422661,15.042183664330786,5.728853367752768,2.612052267548818,128.0792966174481,19.367068680534807,18.092114977357614,5.219429240918773,0.0,5.559266895052008,5.689743398203474,14.345615352810384,4.794537184071822,0.0,0.0,0.0,23.733674027155736,12.617665194539086,18.274299843958214,19.367068680534807,11.600939890232516,0.0,9.551078168738563,0.0,24.856655569157482,6.606881964512918,44.38709161085419,0.0,11.323698910571437,11.24901029325548,0.0,0.0,11.600939890232516,38.578947698429495,4.736862953800049,0.0,12.64872279366088,32.33580301373329,5.219429240918773,11.323698910571437,0.0,117.69000000000001,29.684844239486956,14.69560176298435,0.0,29.570831738929137,0.0,4.567099647791355,18.329577708536295,0.0,0.0,4.9839785209472085,25.861481175926617,11.725975354133421,5.684860869482982,26.007882871770104,18.948728315719208,-1.190970936213991,0.20579037016041024,2.97816779333915,-1.0513270205201422,-0.3646631734267012,0.0,0.38461538461538464,22.0,3.0,8.0,0.0,1.0,1.0,0.0,2.0,2.0,7.0,3.0,9.0,3.0,0.0,1.0,1.0,3.0,0.09070000000000011,75.6543,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL1791157,11.936399045729402,-0.8440504010246073,11.936399045729402,0.18080758692365895,0.7345057552159306,310.331,296.21899999999994,310.062342548,112.0,0.0,0.3299807763407855,-0.3935688359788786,0.3935688359788786,0.3299807763407855,1.4761904761904763,2.2857142857142856,2.9047619047619047,2.021448802202749,735.7601611415479,14.982763184195939,10.930299395055805,11.746795975983531,10.096555450524585,6.422925506896922,7.3657345484789865,4.836155155297656,5.616188469644989,3.4943271786199,4.177561439545198,2.3728308863268683,3.0287176973168735,-1.7399999999999998,94693.94838044333,14.207946359590396,5.566784490511342,2.57969775373624,122.62206439690107,14.94991774348146,12.331867558483172,0.0,0.0,5.559266895052008,5.689743398203474,14.345615352810384,4.794537184071822,11.336785877934737,0.0,0.0,22.389944101090435,12.617665194539086,18.274299843958214,14.94991774348146,11.336785877934737,0.0,9.551078168738563,0.0,24.856655569157482,6.606881964512918,43.861420842405636,0.0,11.126902983393991,11.24901029325548,0.0,0.0,11.336785877934737,38.578947698429495,4.736862953800049,0.0,12.64872279366088,32.61241054915016,0.0,11.126902983393991,0.0,104.55000000000001,29.684844239486956,14.69560176298435,0.0,13.027703587438928,11.126902983393991,0.0,22.10072909733917,11.446429838927525,5.380062770465915,4.9839785209472085,9.843390348640755,6.68881212207105,1.445370026147894,26.084889298311918,22.48030945860897,0.009550789451584052,0.0,1.7826744771982868,-0.6653742808851937,-0.32623189090450966,0.0,0.38461538461538464,21.0,3.0,7.0,0.0,1.0,1.0,0.0,2.0,2.0,7.0,3.0,8.0,3.0,0.0,1.0,1.0,3.0,-0.09419999999999984,76.2553,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CHEMBL1791149,11.937196239606953,-0.8435038475266652,11.937196239606953,0.1816047808012098,0.7345057552159305,310.331,296.21899999999994,310.062342548,112.0,0.0,0.3299816114423619,-0.3935688359788785,0.3935688359788785,0.3299816114423619,1.4761904761904763,2.2857142857142856,2.9047619047619047,2.021448802202749,735.7601611415479,14.982763184195939,10.930299395055805,11.746795975983531,10.096555450524585,6.436005590471858,7.315658401726753,4.801431450389227,5.749125643388099,3.448781663044725,4.351929126783746,2.3568089092106224,3.0900566691007727,-1.7399999999999995,94693.94838044333,14.207946359590396,5.566784490511342,2.57969775373624,122.6220643969011,14.94991774348146,12.331867558483172,0.0,0.0,5.559266895052008,5.689743398203474,14.345615352810384,4.794537184071822,0.0,11.336785877934737,6.06636706846161,11.446429838927525,17.494812388240383,18.274299843958214,14.94991774348146,11.336785877934737,0.0,9.551078168738563,0.0,24.856655569157482,6.606881964512918,44.54772514040133,0.0,10.440598685398296,11.24901029325548,0.0,0.0,11.336785877934737,38.578947698429495,4.736862953800049,0.0,12.64872279366088,33.29871484714585,0.0,10.440598685398296,0.0,104.55000000000001,29.684844239486956,14.69560176298435,0.0,13.027703587438928,5.563451491696996,4.877147193701299,22.10072909733917,6.06636706846161,11.446429838927525,4.9839785209472085,9.843390348640755,6.6916463529856385,1.3873135025615182,26.82795834383136,20.675167035962943,-0.6924187190308209,0.0,3.594680139018162,-0.658505710926347,-0.3258409444024519,0.0,0.38461538461538464,21.0,3.0,7.0,0.0,1.0,1.0,0.0,2.0,2.0,7.0,3.0,8.0,3.0,0.0,1.0,1.0,3.0,-0.09420000000000006,76.2553,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
