chembl_id,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL68958,12.507523423977386,-1.0747102564007343,12.507523423977386,0.06756273644418531,0.5858821743473078,375.4240000000001,354.2560000000001,375.147058152,142.0,0.0,0.33520246526564107,-0.4889170675021331,0.4889170675021331,0.33520246526564107,0.8571428571428571,1.5357142857142858,2.2142857142857144,1.5902689842414168,951.8510485623323,19.932510652501772,15.246426067109034,15.246426067109034,13.524877143252588,8.91543592023394,8.91543592023394,6.479049390036914,6.479049390036914,4.358103685331516,4.358103685331516,2.828864343214959,2.828864343214959,-3.439999999999999,2335435.813342339,19.32514642908986,8.971005080225428,5.052067884509696,162.94101598241124,15.57705782580294,12.356393797796823,5.783244946364939,0.0,0.0,5.969305287951849,4.794537184071822,4.794537184071822,0.0,0.0,54.59730361615449,41.81319288016644,5.563451491696996,11.605292320844956,19.432464716784395,11.75255023431679,0.0,0.0,5.733667477162185,19.06954441658689,0.0,101.11657785678894,0.0,5.749511833283905,10.470530430962235,0.0,5.749511833283905,0.0,22.900918458305455,13.027703587438928,0.0,31.842880334931625,78.86277189000094,0.0,0.0,0.0,89.62,12.011146117099809,9.589074368143644,0.0,11.346696438061935,18.591155079135923,16.876414816677897,12.13273413692322,12.13273413692322,54.59730361615449,0.0,15.57705782580294,5.750594213581504,0.0,23.565486538678677,9.052905870203082,8.41146991371231,-0.6217801399380042,22.500845448241954,0.3562476659243434,0.48423048959613046,0.0,0.13043478260869565,28.0,3.0,5.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,2.0,5.0,8.0,0.0,0.0,0.0,3.0,3.7165000000000026,106.62720000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL70658,11.991793745275888,-0.4235128495842784,11.991793745275888,0.08801209372637975,0.8700880499713346,239.31799999999996,222.18199999999993,239.131014164,92.0,0.0,0.15371627716271485,-0.3212225352576167,0.3212225352576167,0.15371627716271485,0.8888888888888888,1.3888888888888888,1.9444444444444444,1.933611694608608,493.0201144215984,12.794682450997078,10.250665083112471,10.250665083112471,8.75402019542349,6.11640828044968,6.11640828044968,4.424903874856756,4.424903874856756,2.9331832014332924,2.9331832014332924,1.9100031923168492,1.9100031923168492,-1.9299999999999997,15790.096734408253,12.524930917834109,6.124868668685892,3.536414888127609,107.44967858020394,5.733667477162185,0.0,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,60.6636706846161,17.54772460632,6.4208216229260096,6.041840829147961,4.794537184071822,5.783244946364939,0.0,0.0,5.733667477162185,18.88348407499998,0.0,71.7905736680101,0.0,0.0,5.733667477162185,0.0,0.0,0.0,11.8250857755129,17.63618042992384,0.0,11.126902983393991,60.6636706846161,0.0,0.0,0.0,43.09,6.041840829147961,4.794537184071822,0.0,5.783244946364939,12.841643245852019,11.126902983393991,0.0,0.0,60.6636706846161,0.0,5.733667477162185,0.0,0.0,11.991793745275888,0.0,8.070155790711347,0.08801209372637975,19.168146363483665,1.015225340136054,0.0,0.0,0.1875,18.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,2.0,2.3682000000000007,73.27440000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL444791,5.870076804805097,0.11057450037202887,5.870076804805097,0.11057450037202887,0.7934311835925326,273.40099999999995,254.24899999999994,273.118735228,100.0,0.0,0.11933013097835898,-0.48891706751468433,0.48891706751468433,0.11933013097835898,0.9473684210526315,1.631578947368421,2.263157894736842,1.8822165992281836,483.8619367481901,13.501789232183626,10.827635190609351,11.722062381609266,9.275188245478667,6.398014548860067,7.030470080893743,4.565002231560511,4.930150603230622,2.904078307172619,3.3730957075976726,1.8299629564343198,1.9590624013079005,-1.4499999999999997,26628.569111564208,13.969642403063043,7.215674965403149,4.616159202374169,119.55676837306878,10.470530430962235,12.356393797796823,0.0,0.0,0.0,0.0,0.0,0.0,12.628789148012991,0.0,42.46456947923127,29.680458743243218,11.79469443589475,0.0,4.736862953800049,12.628789148012991,0.0,0.0,5.733667477162185,19.06954441658689,5.752853606746789,65.72420659954848,0.0,5.749511833283905,10.470530430962235,0.0,5.749511833283905,12.628789148012991,11.79469443589475,13.027703587438928,0.0,11.126902983393991,54.59730361615449,0.0,0.0,0.0,35.25,0.0,0.0,0.0,6.041840829147961,12.359735571259707,12.170333456209914,11.126902983393991,0.0,30.33183534230805,36.89425742185943,10.470530430962235,5.732010468281963,4.190321735021665,0.0,0.0,8.256450654837408,1.5821792626750169,18.351333690835823,0.849667922916029,0.5935918209876543,0.0,0.25,19.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,2.0,3.0,6.0,0.0,0.0,0.0,2.0,3.0652000000000017,82.74840000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL68478,12.049815474993283,-1.3817412940515192,12.049815474993283,0.10803915719487112,0.5474464136921176,391.46700000000016,366.2670000000001,391.17835828,150.0,0.0,0.33644211244235733,-0.48891706751452135,0.48891706751452135,0.33644211244235733,0.7931034482758621,1.3448275862068966,1.9310344827586208,1.4601037038080058,881.7738178431196,20.47648072687178,16.108233386674833,16.108233386674833,14.114193540729628,9.514906268229584,9.514906268229584,6.8243495988779035,6.8243495988779035,4.514045926496447,4.514045926496447,2.8353307092314806,2.8353307092314806,-3.149999999999999,4311093.265889475,20.5808323314499,10.409459394774002,6.4502107856113975,170.25798122627094,20.313920779602988,18.963275762309742,6.103966387748303,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,72.79640482153933,35.243910234940216,6.041840829147961,0.0,19.374790486512627,5.969305287951849,0.0,0.0,5.733667477162185,31.780392768848113,0.0,101.61949343355356,0.0,5.749511833283905,10.470530430962235,0.0,5.749511833283905,0.0,23.221639899688817,29.165985689823717,0.0,16.690354475090988,84.92913895846256,0.0,0.0,0.0,81.78000000000002,18.115112504848113,9.901064578912528,0.0,6.606881964512918,13.027703587438928,22.439866308374892,0.0,0.0,84.92913895846256,0.0,15.207393384762284,10.909805560806365,0.0,12.049815474993283,10.166192120854749,8.859689291248118,0.02607540073886383,25.92260194903216,-1.033954669951313,0.5997748722777685,0.0,0.20833333333333334,29.0,3.0,5.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,2.0,5.0,9.0,0.0,0.0,0.0,3.0,3.239700000000002,111.14020000000002,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL302371,12.630885875056695,-4.436486411533787,12.630885875056695,0.16047647063062231,0.5667123684231109,399.41200000000003,379.252,399.14461354,150.0,0.0,0.41591024743882005,-0.4889170675021331,0.4889170675021331,0.41591024743882005,0.8620689655172413,1.4827586206896552,2.0689655172413794,1.5670415778734101,936.6118970969286,20.855160383312146,15.524857600172894,15.524857600172894,13.825518406134815,9.05465168676587,9.05465168676587,6.668201570977119,6.668201570977119,4.460809044983424,4.460809044983424,2.846848106187147,2.846848106187147,-3.1199999999999983,3029903.4778989903,20.610070871474182,8.920901038119375,5.681383855070706,166.48186633895017,10.470530430962235,12.356393797796823,5.783244946364939,0.0,0.0,6.176298517443475,4.794537184071822,0.0,13.171245143024459,0.0,54.59730361615449,41.81319288016644,5.563451491696996,11.605292320844956,22.702645280896327,5.783244946364939,0.0,0.0,5.733667477162185,25.245842934030364,0.0,101.11657785678894,0.0,5.749511833283905,10.470530430962235,13.171245143024459,5.749511833283905,0.0,11.8250857755129,19.204002104882402,0.0,27.048343150859804,78.86277189000094,0.0,0.0,0.0,52.32,23.56483578465337,17.96578232709628,0.0,11.984273114623004,12.356393797796823,35.392371257240434,0.0,12.13273413692322,42.46456947923127,0.0,10.470530430962235,43.610019368175216,0.0,12.405364977265368,0.0,7.231856578455312,0.29478620726300186,20.25068110978758,-4.15987841397679,0.45050350636365266,0.0,0.17391304347826086,29.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,6.0,7.0,0.0,0.0,0.0,3.0,5.037100000000004,104.66990000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL307799,11.6109481292517,-0.8801566643900698,11.6109481292517,0.017655738221214357,0.7478048076540303,235.2829999999999,218.14699999999993,235.120843404,92.0,0.0,0.30285336591107387,-0.4812302414270225,0.4812302414270225,0.30285336591107387,1.1764705882352942,1.8235294117647058,2.411764705882353,2.343869077029232,375.5107816340442,12.673362107437434,9.633589185501258,9.633589185501258,8.092224152875016,5.633455620908633,5.633455620908633,4.009820553723258,4.009820553723258,2.525822039856805,2.525822039856805,1.5811030136799267,1.5811030136799267,-1.6800000000000002,5759.307433018823,13.38527415143603,6.806709617684502,5.264013888027776,100.4431665695695,10.84019487200289,5.783244946364939,0.0,0.0,0.0,5.969305287951849,9.589074368143644,0.0,0.0,0.0,30.33183534230805,18.405094737549014,12.841643245852019,6.041840829147961,14.69560176298435,11.75255023431679,0.0,0.0,5.733667477162185,31.725127320852,0.0,35.89528683400505,0.0,0.0,5.733667477162185,0.0,0.0,0.0,22.900918458305455,16.00989599106965,0.0,24.825916360475023,30.33183534230805,0.0,0.0,0.0,80.39,12.011146117099809,9.589074368143644,0.0,18.624888192216957,12.841643245852019,5.563451491696996,0.0,0.0,30.33183534230805,0.0,10.84019487200289,0.0,0.0,21.910071063179377,8.457626447209329,6.789138689426388,-0.9541353114044306,9.012082511060234,1.1185499338624338,0.0,0.0,0.38461538461538464,17.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,4.0,7.0,0.0,0.0,0.0,1.0,1.3804000000000003,64.61520000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL68679,11.580494890341711,-0.916375381221229,11.580494890341711,0.2707327377308437,0.6235020487691839,313.353,294.201,313.131408088,120.0,0.0,0.3755323822572131,-0.48891706750213265,0.48891706750213265,0.3755323822572131,1.0,1.6521739130434783,2.260869565217391,1.890183558071637,652.481619998317,16.656489770562878,12.898059685314434,12.898059685314434,11.096555450524587,7.232834353133836,7.232834353133836,5.084673856542052,5.084673856542052,3.350644102785653,3.350644102785653,2.061262347346127,2.061262347346127,-2.6599999999999993,163764.6553199109,16.70609927719987,8.099448355959916,4.931216547397312,134.56817536805465,15.207393384762284,12.356393797796823,0.0,0.0,5.783244946364939,5.969305287951849,4.794537184071822,4.794537184071822,0.0,0.0,42.46456947923127,29.680458743243218,0.0,13.151638370425495,19.06280027574374,11.75255023431679,0.0,0.0,5.733667477162185,19.06954441658689,7.109797541277533,65.72420659954848,0.0,5.749511833283905,10.470530430962235,0.0,5.749511833283905,0.0,24.904188604742284,27.35364090938262,0.0,11.126902983393991,54.59730361615449,0.0,0.0,0.0,78.62,17.79439106346475,9.589074368143644,0.0,6.4208216229260096,6.606881964512918,23.986212357955427,0.0,0.0,54.59730361615449,4.736862953800049,10.470530430962235,10.058256159761253,0.0,22.726205584533787,0.0,7.651176465434846,-0.9141780981428462,16.229285407883648,0.2707327377308437,0.48663407007788306,1.1585543393872562,0.2222222222222222,23.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,1.0,5.0,7.0,0.0,0.0,0.0,2.0,1.8774999999999995,85.91840000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL71853,11.961270313681027,-1.1606659236493286,11.961270313681027,0.07823543511629683,0.6137000668545551,306.362,284.186,306.15795718399994,120.0,0.0,0.32571663332485473,-0.4797172276862271,0.4797172276862271,0.32571663332485473,1.1818181818181819,1.7727272727272727,2.272727272727273,2.6281999342136095,528.2071605523503,16.698306133819763,12.782324451971277,12.782324451971277,10.307438208038286,7.179020373450619,7.179020373450619,5.654300896083006,5.654300896083006,3.169529998020898,3.169529998020898,2.0513691981615456,2.0513691981615456,-2.21,50667.61330230821,17.84053057099545,8.28577715941709,5.651143479347038,129.24937719641116,16.156983476009223,6.041840829147961,0.0,5.783244946364939,5.907179729351506,5.969305287951849,9.589074368143644,4.794537184071822,0.0,0.0,44.179309741689295,24.323000783710405,0.0,6.041840829147961,19.490138947056174,17.659729963668294,0.0,5.316788604006331,11.651573523323577,38.77279930352918,0.0,35.89528683400505,0.0,0.0,11.050456081168516,0.0,0.0,0.0,34.84993901680492,20.804433175141476,5.917906046161393,25.831747514004253,30.33183534230805,0.0,0.0,0.0,109.49,29.743411621964214,14.383611552215466,0.0,18.75954929201341,0.0,5.563451491696996,0.0,0.0,44.179309741689295,5.316788604006331,10.84019487200289,0.0,0.0,34.92500713019878,11.315573190721548,6.58628293755774,-2.8367450199011324,7.0164273841104645,0.4834213085295338,3.6766997354497355,0.0,0.4375,22.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,6.0,8.0,0.0,0.0,0.0,1.0,0.7410000000000008,82.14990000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL67657,11.795794438145629,-1.325075585789872,11.795794438145629,0.13372055303602903,0.7917663204986092,285.34299999999996,266.1909999999999,285.136493468,110.0,0.0,0.3364421124420678,-0.458856292972245,0.458856292972245,0.3364421124420678,1.0,1.5238095238095237,2.0952380952380953,1.837652272703162,556.7626081333631,15.079139501373252,11.683477238265919,11.683477238265919,10.164703797946448,6.847186392763645,6.847186392763645,4.8917239134237125,4.8917239134237125,3.1851919395045205,3.1851919395045205,1.9867602400522155,1.9867602400522155,-2.1699999999999995,65814.7541619952,15.223256955427235,7.5695622139397125,4.7007388376655435,123.72239967630343,15.577057825802939,6.606881964512918,6.103966387748303,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,60.6636706846161,17.54772460632,6.041840829147961,0.0,14.637927532712578,5.969305287951849,0.0,0.0,5.733667477162185,25.17351080433519,0.0,71.7905736680101,0.0,0.0,5.733667477162185,0.0,0.0,0.0,23.221639899688817,22.5591037253108,0.0,11.126902983393991,60.6636706846161,0.0,0.0,0.0,72.55,18.115112504848113,9.901064578912528,0.0,6.606881964512918,6.4208216229260096,11.126902983393991,0.0,0.0,60.6636706846161,0.0,10.470530430962235,5.079766156462585,0.0,11.795794438145629,9.926005920886874,7.710494179408322,-0.6923294595616014,18.119199540672305,-0.9059846623834722,0.13372055303602903,0.0,0.23529411764705882,21.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,4.0,6.0,0.0,0.0,0.0,2.0,1.6607,80.36620000000003,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL68518,11.278873299319727,-0.8903415532879813,11.278873299319727,0.3420370370370369,0.5691062596592079,207.229,194.12499999999997,207.089543276,80.0,0.0,0.3755323822569192,-0.463236531866861,0.463236531866861,0.3755323822569192,1.3333333333333333,1.9333333333333333,2.466666666666667,2.5992831957548748,348.11048355835163,11.259148545064338,8.473303536905519,8.473303536905519,7.147065707741407,4.565114477667901,4.565114477667901,3.1520481710878614,3.1520481710878614,2.021790115793729,2.021790115793729,1.2126918781668634,1.2126918781668634,-1.6799999999999997,2397.8038779451026,11.395075075075077,5.262689971144975,3.177771715543431,88.03259381808715,10.470530430962235,0.0,0.0,0.0,5.783244946364939,5.969305287951849,4.794537184071822,4.794537184071822,0.0,0.0,30.33183534230805,11.984273114623004,0.0,13.151638370425495,14.325937321943691,11.75255023431679,0.0,0.0,5.733667477162185,12.462662452073971,7.109797541277533,35.89528683400505,0.0,0.0,5.733667477162185,0.0,0.0,0.0,24.904188604742284,20.7467589448697,0.0,5.563451491696996,30.33183534230805,0.0,0.0,0.0,69.39,17.79439106346475,9.589074368143644,0.0,0.0,6.4208216229260096,12.673249032974528,0.0,0.0,30.33183534230805,4.736862953800049,5.733667477162185,4.302358749055178,0.0,22.170562956664146,0.0,6.49410619803477,-1.583533163265304,8.445628464348701,0.3420370370370369,0.0,1.1621730914588055,0.2727272727272727,15.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,1.0,0.29849999999999954,55.144400000000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
