chembl_id,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL3706774,9.069396625934324,0.3006509826152688,9.069396625934324,0.3006509826152688,0.5297119644349325,252.27699999999996,240.18099999999995,252.101111004,94.0,0.0,0.1346804311426092,-0.4566105142876736,0.4566105142876736,0.1346804311426092,1.105263157894737,1.894736842105263,2.6315789473684212,2.1835471800508865,731.2014277528644,13.568549621822843,10.10402055147775,10.10402055147775,9.096555450524587,5.77037141408704,5.77037141408704,4.488960909213541,4.488960909213541,3.250648180774552,3.250648180774552,2.283820780874327,2.283820780874327,-2.8699999999999997,24825.24637829394,11.23353946143088,3.8175416799939437,1.6196831373292215,109.73834740283874,21.937865385286603,17.568244979360085,0.0,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,0.0,18.19910120538483,29.301477949465173,16.93822404106412,4.736862953800049,17.062158824050687,5.261891554738487,0.0,0.0,6.4208216229260096,17.201002431486554,40.95582274893743,0.0,17.568244979360085,21.937865385286603,17.062158824050687,11.49902366656781,0.0,0.0,6.4208216229260096,11.33111286753076,16.690354475090988,24.26546827384644,0.0,0.0,0.0,111.08,0.0,0.0,0.0,0.0,34.795943771957596,16.876414816677897,0.0,12.13273413692322,18.201955449715495,0.0,27.199756940025093,5.768609221466365,0.0,0.0,9.069396625934324,20.967390426849754,1.3439621126228272,9.104113835348954,0.579861111111111,0.0,0.0,0.07142857142857142,19.0,6.0,5.0,0.0,1.0,1.0,2.0,0.0,2.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,2.00138,73.7162,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL3706775,9.045281399596876,0.33030659486016667,9.045281399596876,0.33030659486016667,0.5878180074625751,237.26199999999997,226.17399999999995,237.090211972,88.0,0.0,0.1346803896239334,-0.45661320837567065,0.45661320837567065,0.1346803896239334,1.1666666666666667,1.9444444444444444,2.7222222222222223,2.2001423120111414,686.1689515135588,12.698306133819765,9.60402055147775,9.60402055147775,8.702708600407233,5.571012676969268,5.571012676969268,4.229523521375886,4.229523521375886,3.138712899152085,3.138712899152085,2.196170933172367,2.196170933172367,-2.6699999999999995,17597.337936484928,10.481837202480344,3.6728633535991584,1.3793632915413396,104.39845670582602,16.20419790812442,17.568244979360085,0.0,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,18.19910120538483,11.629818560158606,18.050640183084617,16.93822404106412,4.736862953800049,11.374772549367124,5.261891554738487,0.0,0.0,6.4208216229260096,11.46733495432437,47.02218981739904,0.0,17.568244979360085,16.20419790812442,11.374772549367124,11.49902366656781,0.0,0.0,6.4208216229260096,11.33111286753076,16.690354475090988,30.33183534230805,0.0,0.0,0.0,85.06,0.0,0.0,0.0,0.0,29.108557497274035,16.876414816677897,0.0,6.06636706846161,30.334689586638714,0.0,21.466089462862907,5.7691647770219205,0.0,0.0,9.045281399596876,14.780478395061728,1.4548219009826155,11.45789241622575,0.6590277777777777,0.0,0.0,0.07142857142857142,18.0,4.0,4.0,0.0,1.0,1.0,2.0,0.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,2.4191800000000008,69.30380000000001,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL3706777,9.864221545099522,-0.09788065843621374,9.864221545099522,0.08297902494331022,0.46116068522042575,269.26,258.17199999999997,269.080041212,100.0,0.0,0.13786531730755672,-0.5076786309318316,0.5076786309318316,0.13786531730755672,1.1,1.8,2.5,2.2125230908101465,778.4543130902862,14.438793109825921,10.343747204098415,10.343747204098415,9.507239053047545,5.845576541658852,5.845576541658852,4.563386093404718,4.563386093404718,3.32262817983922,3.32262817983922,2.318308408982725,2.318308408982725,-3.07,35509.34710443772,11.989119300986285,3.963893317618602,1.5719555580732105,113.98692421021805,26.41725269780583,29.067268645927893,0.0,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,0.0,0.0,35.74682581170483,16.93822404106412,14.94991774348146,11.374772549367124,5.261891554738487,0.0,0.0,6.4208216229260096,11.46733495432437,34.88945568047582,0.0,29.067268645927893,16.20419790812442,11.374772549367124,22.99804733313562,0.0,10.213054789681411,6.4208216229260096,11.33111286753076,16.690354475090988,18.19910120538483,0.0,0.0,0.0,125.52000000000001,0.0,10.213054789681411,0.0,28.43724770763193,29.04674827288781,0.0,18.19910120538483,0.0,6.069221312792274,0.0,21.466089462862907,5.610831443688586,0.0,0.0,28.394002556269424,13.490928392962124,0.5922955509364249,6.108793907995297,0.30314814814814794,0.0,0.0,0.07142857142857142,20.0,6.0,6.0,0.0,1.0,1.0,2.0,0.0,2.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,3.0,1.83038,72.63340000000001,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL3706783,9.652270696858992,-0.270883402628983,9.652270696858992,0.09668092836563247,0.36670164217746515,313.313,298.19300000000004,313.10625596,118.0,0.0,0.1606751992787714,-0.5042500007569534,0.5042500007569534,0.1606751992787714,1.2173913043478262,1.9565217391304348,2.652173913043478,2.1353499749119793,827.2957777797295,16.560113453385565,12.127824092781843,12.127824092781843,11.045243855508332,6.976682563674151,6.976682563674151,5.182154323721369,5.182154323721369,3.6946875333507188,3.6946875333507188,2.6249335986385733,2.6249335986385733,-3.11,167191.89703868784,14.811777373933083,5.588881379569313,2.4509293445803038,131.7210136778026,31.10690121949068,17.568244979360085,11.49902366656781,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,0.0,6.06636706846161,36.225215149155794,23.54510600557704,20.056445138322168,11.374772549367124,5.261891554738487,0.0,0.0,6.4208216229260096,24.20209445159401,34.88945568047582,0.0,29.067268645927893,15.787319034968565,11.374772549367124,22.99804733313562,0.0,28.471220554947607,6.4208216229260096,11.33111286753076,16.690354475090988,18.19910120538483,0.0,0.0,0.0,131.76000000000002,0.0,15.474946344419898,0.0,35.90149980337386,34.73413454757137,0.0,12.13273413692322,6.06636706846161,0.0,11.386009916798605,15.577057825802939,5.75119638133031,0.0,0.0,40.5904662741793,8.347533646174519,0.38297260119229937,6.3722432970101615,0.39010770975056674,0.16548009036284683,0.0,0.1875,23.0,6.0,7.0,0.0,1.0,1.0,2.0,0.0,2.0,7.0,5.0,7.0,3.0,0.0,0.0,0.0,3.0,1.6523799999999997,83.79650000000001,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL3706768,9.68532854809866,-0.23782555138931372,9.68532854809866,0.19924162257495537,0.4367285990976114,311.341,294.20500000000004,311.12699140399997,118.0,0.0,0.1606751992787714,-0.5042500007569534,0.5042500007569534,0.1606751992787714,1.2608695652173914,2.0,2.6956521739130435,2.1353499749119798,825.0540219763103,16.560113453385565,12.680610497281885,12.680610497281885,11.045243855508332,7.367561578843861,7.367561578843861,5.45854752597139,5.45854752597139,3.8328841344757296,3.8328841344757296,2.6940318992010788,2.6940318992010788,-3.07,167191.89703868784,14.85016445810978,5.612130118189583,2.463561575697768,133.2917220400032,26.000373824649976,17.568244979360085,11.49902366656781,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,6.923737199690624,12.487188691387619,36.225215149155794,16.93822404106412,14.94991774348146,11.374772549367124,5.261891554738487,0.0,0.0,19.765380445542643,17.595212487081092,34.88945568047582,0.0,29.067268645927893,15.787319034968565,11.374772549367124,22.99804733313562,0.0,16.757811195593987,6.4208216229260096,11.33111286753076,30.034913297707618,18.19910120538483,0.0,0.0,0.0,111.53000000000002,0.0,15.474946344419898,0.0,11.49902366656781,41.40282573647051,17.54772460632,12.13273413692322,6.06636706846161,6.923737199690624,11.386009916798605,10.470530430962235,5.81369638133031,0.0,0.0,31.94329427742171,8.936388521457966,0.587045821542576,6.605758666120769,1.3750594344461586,2.7387568976805086,0.0,0.23529411764705882,23.0,5.0,6.0,0.0,1.0,1.0,2.0,0.0,2.0,6.0,4.0,6.0,3.0,0.0,0.0,0.0,3.0,3.070080000000001,87.00170000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL3706769,9.64727069685899,-0.24007073045267457,9.64727069685899,0.20208112874779505,0.4272247307614477,297.314,282.19399999999996,297.11134133999997,112.0,0.0,0.1606751992787714,-0.5042500007569534,0.5042500007569534,0.1606751992787714,1.2727272727272727,2.0,2.6818181818181817,2.1792139730501954,809.5040471552998,15.853006672199017,11.973503716095337,11.973503716095337,10.54524385550833,6.867561578843861,6.867561578843861,5.062100916564664,5.062100916564664,3.6346608297723666,3.6346608297723666,2.6208085944977157,2.6208085944977157,-3.07,101048.89367299774,13.892254679614824,5.0407640431342084,2.036552540763264,126.9267799256066,26.000373824649976,17.568244979360085,11.49902366656781,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,0.0,12.990104268152233,36.225215149155794,16.93822404106412,14.94991774348146,11.374772549367124,5.261891554738487,0.0,0.0,13.344558822616634,17.595212487081092,34.88945568047582,0.0,29.067268645927893,15.787319034968565,11.374772549367124,22.99804733313562,0.0,16.757811195593987,6.4208216229260096,11.33111286753076,23.61409167478161,18.19910120538483,0.0,0.0,0.0,111.53000000000002,0.0,15.474946344419898,0.0,11.49902366656781,41.40282573647051,11.126902983393991,12.13273413692322,6.06636706846161,6.923737199690624,11.386009916798605,10.470530430962235,5.780054799697657,0.0,0.0,31.7138167798111,8.843454375577393,0.5711776948433707,6.5574762744604005,0.46805555555555545,2.565964520054527,0.0,0.1875,22.0,5.0,6.0,0.0,1.0,1.0,2.0,0.0,2.0,6.0,4.0,6.0,2.0,0.0,0.0,0.0,3.0,2.6799800000000005,82.38470000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL360278,9.098393644494834,0.18516770597127774,9.098393644494834,0.18516770597127774,0.7443154635408137,251.29299999999995,238.18899999999996,251.11709541599998,94.0,0.0,0.1454629948260674,-0.3972001775409778,0.3972001775409778,0.1454629948260674,1.3157894736842106,2.0526315789473686,2.789473684210526,2.269137699722229,714.506755143287,13.568549621822843,10.512849182824178,10.512849182824178,9.1302289553358,5.9270549038156535,5.9270549038156535,4.564188553070641,4.564188553070641,3.496574685794929,3.496574685794929,2.508082675666576,2.508082675666576,-2.7400000000000007,26891.032015838784,11.35607003139512,3.885521081415166,1.5023896958610845,110.6293352418656,16.36724468517485,23.268398360159324,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,5.261891554738487,0.0,18.19910120538483,11.629818560158606,24.719331371983756,5.687386274683562,0.0,23.01049810503718,5.261891554738487,4.9839785209472085,0.0,6.4208216229260096,23.41491666785204,40.95582274893743,0.0,6.069221312792274,16.36724468517485,23.01049810503718,0.0,0.0,12.031650503624398,6.4208216229260096,11.33111286753076,16.690354475090988,24.26546827384644,0.0,0.0,0.0,91.96,0.0,0.0,0.0,11.381314269532023,12.10820789760957,17.068700544215588,5.563451491696996,0.0,36.21590423170477,11.050345589408819,16.72922650906286,0.0,0.0,6.286784769463341,9.098393644494834,15.692725182665658,0.9145195578231298,10.078614260519021,0.6702777777777778,0.0,1.9253514739229025,0.14285714285714285,19.0,4.0,5.0,0.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,1.7897799999999997,75.0878,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL3706788,9.433653864323507,-1.0071645880574456,9.433653864323507,0.11013080540858344,0.8051408948140042,331.33500000000004,318.23100000000005,331.10692465600005,122.0,0.0,0.14405668781703634,-0.4966240387812014,0.4966240387812014,0.14405668781703634,1.12,1.84,2.44,2.333339631633684,980.4820720611594,18.13746372257519,13.27693952094461,13.27693952094461,12.04877381535847,7.322209401214018,7.322209401214018,5.497443114656703,5.497443114656703,4.210255536761725,4.210255536761725,3.0291756163241206,3.0291756163241206,-3.8900000000000006,462144.4350415636,15.984994218945344,5.957606103647397,2.338279210476113,143.75692975585676,20.94106086192447,29.235662858805384,0.0,0.0,0.0,0.0,0.0,0.0,15.78567466421546,0.0,6.06636706846161,6.06636706846161,29.177543166478607,36.1864642079262,9.473725907600098,11.374772549367124,15.78567466421546,0.0,5.917906046161393,5.917906046161393,18.577132495601905,40.95582274893743,0.0,35.45619943822854,20.94106086192447,11.374772549367124,17.248535499851716,0.0,7.109797541277533,0.0,39.91124464875368,22.608260521252383,24.26546827384644,0.0,0.0,0.0,141.87,11.835812092322787,15.78567466421546,0.0,16.93822404106412,28.375438483245706,0.0,13.176164609739143,18.19910120538483,18.20766393837682,0.0,20.94106086192447,11.080392372411671,0.0,0.0,28.173604121247518,13.485533509700176,-0.31320992903334255,12.547375701632557,0.0,0.0,1.5263042240414173,0.16666666666666666,25.0,4.0,7.0,0.0,1.0,1.0,2.0,0.0,2.0,7.0,2.0,7.0,2.0,0.0,0.0,0.0,3.0,2.6322399999999995,89.60880000000002,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL3706789,9.66436733644075,-1.0477683295540448,9.66436733644075,0.01758870832283499,0.6818409902329658,317.30800000000005,306.22,317.091274592,116.0,0.0,0.14405668780933645,-0.5078224246317263,0.5078224246317263,0.14405668780933645,1.0833333333333333,1.7916666666666667,2.4166666666666665,2.3599895320669044,964.4314772955928,17.43035694138864,12.315904825980704,12.315904825980704,11.510769012897683,6.933443763268202,6.933443763268202,5.3158155987764175,5.3158155987764175,3.986671651210138,3.986671651210138,2.9105639095217324,2.9105639095217324,-3.8899999999999997,263263.18362239585,15.022975519589668,5.38684089990813,2.029582490392029,137.0726761641493,21.310725302965125,29.23566285880538,0.0,0.0,0.0,0.0,0.0,0.0,15.78567466421546,0.0,6.06636706846161,6.06636706846161,29.177543166478603,29.076666666648666,9.843390348640755,11.374772549367124,15.78567466421546,0.0,5.917906046161393,5.917906046161393,11.46733495432437,40.95582274893743,0.0,35.45619943822854,16.20419790812442,11.374772549367124,17.248535499851716,0.0,5.106527394840706,0.0,39.91124464875368,22.60826052125238,24.26546827384644,0.0,0.0,0.0,152.86999999999998,11.835812092322787,20.892202059056167,0.0,28.43724770763193,16.876414816677897,0.0,18.19910120538483,6.06636706846161,18.20766393837682,0.0,16.20419790812442,5.740596182917612,0.0,0.0,37.64780412782397,13.149826887545142,-1.2031740257831531,11.664946827496431,0.0,0.0,0.0,0.11764705882352941,24.0,5.0,7.0,0.0,1.0,1.0,2.0,0.0,2.0,7.0,3.0,7.0,1.0,0.0,0.0,0.0,3.0,2.3292400000000004,84.7216,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL3706784,9.452829270597128,-1.0222467876039307,9.452829270597128,0.1049312116822041,0.8051408948140042,331.3350000000001,318.23100000000005,331.10692465600005,122.0,0.0,0.1440590632957048,-0.4967527718552852,0.4967527718552852,0.1440590632957048,1.12,1.84,2.44,2.3503944752224433,980.4820720611594,18.137463722575188,13.27693952094461,13.27693952094461,12.04877381535847,7.322209401214018,7.322209401214018,5.497443114656702,5.497443114656702,4.2064796418752195,4.2064796418752195,3.0316970128567875,3.0316970128567875,-3.89,463834.635898104,15.984994218945344,5.957606103647397,2.338279210476113,143.75692975585673,20.94106086192447,29.23566285880538,0.0,0.0,0.0,0.0,0.0,0.0,15.78567466421546,0.0,0.0,18.19910120538483,23.111176098016994,36.1864642079262,9.473725907600098,11.374772549367124,15.78567466421546,0.0,5.917906046161393,5.917906046161393,18.577132495601905,40.95582274893743,0.0,35.45619943822854,20.94106086192447,11.374772549367124,17.248535499851716,0.0,7.109797541277533,0.0,39.91124464875368,22.60826052125238,24.26546827384644,0.0,0.0,0.0,141.87,11.835812092322787,15.78567466421546,0.0,16.93822404106412,28.375438483245706,0.0,13.176164609739143,18.19910120538483,18.20766393837682,0.0,20.94106086192447,11.096591054631729,0.0,0.0,28.222355743235976,13.440164549622523,-0.3268975445116318,12.550645471151423,0.0,0.0,1.5171407258699827,0.16666666666666666,25.0,4.0,7.0,0.0,1.0,1.0,2.0,0.0,2.0,7.0,2.0,7.0,2.0,0.0,0.0,0.0,3.0,2.63224,89.6088,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
