chembl_id,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL62077,5.423055555555555,0.6058796296296298,5.423055555555555,0.6058796296296298,0.607992956905231,122.17099999999999,112.091,122.08439831999999,48.0,0.0,0.12304356054721044,-0.3836944345375454,0.3836944345375454,0.12304356054721044,1.6666666666666667,2.4444444444444446,2.888888888888889,2.9368661023365914,195.86256853719752,6.69023444431199,5.463721453445009,5.463721453445009,4.325698502695489,3.030499730989547,3.030499730989547,1.942508781475271,1.942508781475271,1.2537453242459535,1.2537453242459535,0.7143148306543473,0.7143148306543473,-1.0500000000000003,126.05435680455047,6.075786163522013,2.48526426100351,1.4202570838806525,54.720826026249405,5.733667477162185,5.817862777835028,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,6.923737199690624,24.117007251546223,6.196843571613076,0.0,0.0,5.817862777835028,0.0,4.9839785209472085,0.0,13.344558822616634,5.733667477162185,23.893029200233293,0.0,0.0,5.733667477162185,5.817862777835028,0.0,0.0,4.9839785209472085,6.4208216229260096,0.0,12.487188691387619,18.329577708536295,0.0,0.0,0.0,38.91,0.0,0.0,0.0,0.0,5.817862777835028,6.4208216229260096,5.563451491696996,6.196843571613076,12.13273413692322,11.907715720637832,5.733667477162185,0.0,0.0,3.8655555555555554,0.0,6.661481481481481,0.6058796296296298,3.8575,2.7508796296296296,2.092037037037037,0.0,0.2857142857142857,9.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.2262,38.0274,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL545291,5.4282407407407405,0.5416666666666665,5.4282407407407405,0.5416666666666665,0.4671509416430055,98.149,88.069,98.08439831999999,40.0,0.0,0.09657939790248526,-0.3872536839817353,0.3872536839817353,0.09657939790248526,1.8571428571428572,2.5714285714285716,2.7142857142857144,2.5387579921231493,96.25327665163482,5.276020881938894,4.516127696252305,4.516127696252305,3.304530452640311,2.602783392609932,2.602783392609932,1.996308942057646,1.996308942057646,1.3613940661313775,1.3613940661313775,0.6910182057451831,0.6910182057451831,-0.53,49.54039820861129,4.624559505409582,1.5234757718400516,0.7344230822839645,43.42840151475959,5.733667477162185,0.0,0.0,0.0,0.0,0.0,4.992404732635669,0.0,0.0,0.0,6.923737199690624,6.4208216229260096,12.462662452073968,5.835619785757269,0.0,5.835619785757269,0.0,0.0,16.643978255959247,13.344558822616634,6.544756405912575,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,12.380376191669844,0.0,5.917906046161393,13.344558822616634,4.992404732635669,0.0,0.0,0.0,38.379999999999995,0.0,0.0,0.0,0.0,5.917906046161393,18.801197814595856,0.0,0.0,0.0,11.916141932326294,5.733667477162185,0.0,0.0,4.011574074074074,0.0,5.4282407407407405,1.375,0.0,1.144675925925926,3.040509259259259,0.0,0.8,7.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.3834000000000001,30.270399999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2448330,8.57475072436382,-1.4683304988662138,8.57475072436382,0.035294784580499394,0.13461500001140075,174.013,158.89299999999997,174.12880611999998,70.0,0.0,0.46885280574104415,-0.42605994067437575,0.46885280574104415,0.42605994067437575,1.4166666666666667,2.0,2.4166666666666665,3.3757470669338865,148.38364613672863,9.560477932315068,6.849712476007647,6.849712476007647,5.5365812602091875,3.7084975695812945,3.7084975695812945,2.5262818237191165,2.5262818237191165,1.3729000501263948,1.3729000501263948,0.6842169381908195,0.6842169381908195,-0.7850649350649352,312.6461024297215,11.214935064935064,5.8135022310551,5.959767651151389,71.5950855831998,27.24904758161856,0.0,5.959554568743835,0.0,0.0,7.118392334224363,4.992404732635669,0.0,0.0,0.0,0.0,12.841643245852019,12.485949003778373,0.0,10.048045150132006,13.077946902968197,0.0,0.0,22.193407164122224,18.782835843717816,6.544756405912575,0.0,0.0,0.0,17.201002431486554,0.0,0.0,0.0,35.61194105687858,0.0,0.0,12.841643245852019,4.992404732635669,0.0,0.0,0.0,130.88,13.05958493209016,0.0,0.0,5.959554568743835,19.386399651764595,0.0,0.0,0.0,0.0,4.992404732635669,27.24904758161856,0.0,0.0,3.7092639833711263,17.14950144872764,15.456076782564878,-0.5904469009826152,0.0,1.1162037037037036,0.46106481481481487,-1.4683304988662138,0.8,12.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,7.0,5.0,0.0,0.0,0.0,0.0,-2.6206999999999985,48.0778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CHEMBL112747,12.424862446355952,0.11440310087406114,12.424862446355952,0.11440310087406114,0.943150943124968,311.38500000000005,290.21700000000004,311.163376912,120.0,0.0,0.2533513061204649,-0.4965673319863897,0.4965673319863897,0.2533513061204649,1.2173913043478262,1.9565217391304348,2.652173913043478,1.5482588307060656,652.3260908537666,16.070703332935974,13.235503319380468,13.235503319380468,11.25835149307306,7.869578653371792,7.869578653371792,5.657745749683135,5.657745749683135,4.122019662585593,4.122019662585593,2.81642075384929,2.81642075384929,-2.5599999999999996,255470.3691171631,15.34008293059567,7.133929247946457,3.8011535122547317,135.84167213711663,14.953561288656857,11.567374611118932,0.0,0.0,5.907179729351506,0.0,4.794537184071822,4.9839785209472085,0.0,0.0,18.19910120538483,31.040744451236847,36.958015772744794,7.109797541277533,9.53140013787187,11.725042507186533,0.0,9.883888251797686,0.0,18.88348407499998,25.516098957109016,54.22486454254134,0.0,5.749511833283905,10.05365155780638,5.817862777835028,5.749511833283905,0.0,42.03221916339984,0.0,0.0,23.199631921620835,48.661413050844345,0.0,0.0,0.0,54.46,0.0,4.794537184071822,0.0,5.907179729351506,6.041840829147961,43.0619821604931,0.0,13.30664111289061,47.36447921008175,10.30076712495354,4.736862953800049,5.20863345926283,0.0,18.659511227942865,3.425733339632149,0.7577514702442555,1.7221598161862073,13.502331002269397,3.5596755060048713,1.5185769400352735,1.645627238422152,0.3333333333333333,23.0,1.0,5.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,5.0,4.0,0.0,1.0,1.0,3.0,2.8069000000000015,89.77920000000005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL543888,5.284722222222222,0.8287037037037039,5.284722222222222,0.8287037037037039,0.4450718213750526,84.122,76.05799999999999,84.06874825599999,34.0,0.0,0.09372178185741599,-0.3874785717522277,0.3874785717522277,0.09372178185741599,1.6666666666666667,2.5,2.6666666666666665,2.4496233009682675,75.61727061434749,4.405777393935816,3.645884208249226,3.645884208249226,2.893846850117352,2.1820630889549033,2.1820630889549033,1.4766115444656025,1.4766115444656025,0.9059254351449583,0.9059254351449583,0.5618965025738033,0.5618965025738033,-0.53,33.548875021634686,3.6528153564899446,1.2857540807770496,0.5057254621854761,37.06345940036298,5.733667477162185,0.0,0.0,0.0,0.0,0.0,4.992404732635669,0.0,0.0,0.0,0.0,6.4208216229260096,12.965578028838586,5.835619785757269,0.0,5.835619785757269,0.0,0.0,10.726072209797854,12.841643245852019,6.544756405912575,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,12.380376191669844,0.0,0.0,12.841643245852019,4.992404732635669,0.0,0.0,0.0,38.379999999999995,0.0,0.0,0.0,0.0,0.0,25.222019437521862,0.0,0.0,0.0,4.992404732635669,5.733667477162185,0.0,0.0,3.9305555555555554,0.0,5.284722222222222,0.8287037037037039,0.0,2.1724537037037037,0.9502314814814815,0.0,0.75,6.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.13739999999999997,25.723399999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL555587,5.375138888888889,0.48611111111111094,5.375138888888889,0.48611111111111094,0.4711422568314753,98.14900000000002,88.069,98.08439831999999,40.0,0.0,0.0940660616587389,-0.387467988887861,0.387467988887861,0.0940660616587389,1.8571428571428572,2.5714285714285716,2.7142857142857144,2.4983768688502344,96.25327665163482,5.276020881938894,4.516127696252305,4.516127696252305,3.287693700234704,2.6096327723387156,2.6096327723387156,2.008133418628404,2.008133418628404,1.2044623428968246,1.2044623428968246,0.7689468326516847,0.7689468326516847,-0.53,46.670482779147534,4.624559505409582,1.5234757718400516,0.9180777352946504,43.42840151475959,5.733667477162185,0.0,0.0,0.0,0.0,0.0,4.992404732635669,0.0,0.0,0.0,0.0,13.344558822616634,12.462662452073971,5.835619785757269,0.0,5.835619785757269,0.0,0.0,10.726072209797854,25.807221274690605,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,11.87746061490523,0.0,0.0,19.765380445542643,4.992404732635669,0.0,0.0,0.0,38.379999999999995,0.0,0.0,0.0,0.0,6.041840829147961,18.67726303160929,0.0,0.0,0.0,11.916141932326294,5.733667477162185,0.0,0.0,4.083333333333333,0.0,5.375138888888889,0.8263888888888891,0.48611111111111094,2.1458333333333335,2.0831944444444446,0.0,0.8,7.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.5259000000000001,30.318399999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL112198,11.634077874802152,-0.2153535566098692,11.634077874802152,0.2153535566098692,0.9034298908921495,293.3670000000001,270.183,293.173941596,116.0,0.0,0.4092427517984252,-0.4936888609909022,0.4936888609909022,0.4092427517984252,1.380952380952381,2.142857142857143,2.8095238095238093,1.8283642199702779,459.23199381222275,15.079139501373252,12.671213826269296,12.671213826269296,10.223876650462412,7.496334737179622,7.496334737179622,4.914376559211112,4.914376559211112,3.415380409432411,3.415380409432411,2.3768417178862715,2.3768417178862715,-1.9799999999999998,62909.54891747944,15.409620369640349,7.710087622540693,4.51062949023506,124.99294950374926,19.690424242456906,11.567374611118932,0.0,0.0,0.0,6.093240070938415,0.0,9.77851570501903,0.0,0.0,0.0,32.75548471369488,31.3945642810478,13.213763929025836,14.268263091671919,11.911102848773442,0.0,9.883888251797686,0.0,32.730958474381225,31.62006534485732,18.3295777085363,0.0,5.749511833283905,10.05365155780638,10.61239996190685,5.749511833283905,0.0,48.32224589273505,4.736862953800049,0.0,26.689117645233267,18.3295777085363,0.0,0.0,0.0,63.69,0.0,4.794537184071822,0.0,6.093240070938415,32.34511756999895,24.40901785697095,0.0,11.096753302463554,25.980208536304467,10.30076712495354,9.473725907600098,10.47687833913244,0.0,17.69272735272923,3.4012385046611238,0.0,1.6337909854662205,4.068759890702531,3.2983222206084766,6.261616040033317,0.0,0.6,21.0,1.0,6.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,6.0,5.0,0.0,1.0,1.0,2.0,2.5131000000000006,80.64570000000005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL553119,5.637270408163265,0.5231018518518518,5.637270408163265,0.5231018518518518,0.6625355546134155,154.257,136.113,154.146998576,64.0,0.0,0.09436041977987467,-0.38745903850215996,0.38745903850215996,0.09436041977987467,1.6363636363636365,2.3636363636363638,2.8181818181818183,2.3285928918381003,151.64172284395272,8.267584713501616,7.507691527815027,7.507691527815027,5.236382105218447,4.55832117732246,4.55832117732246,3.511421117330799,3.511421117330799,2.3730519111465838,2.3730519111465838,1.6211890618358422,1.6211890618358422,-0.53,356.664252497811,8.565510983763133,3.744394582478372,2.2080583977412758,68.888169972346,5.733667477162185,0.0,0.0,0.0,0.0,0.0,4.992404732635669,0.0,0.0,0.0,26.689117645233267,12.338727669087403,6.4208216229260096,11.87746061490523,0.0,5.835619785757269,0.0,0.0,16.643978255959247,45.57260172023324,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,11.87746061490523,0.0,5.917906046161393,39.53076089108528,4.992404732635669,0.0,0.0,0.0,38.379999999999995,0.0,0.0,0.0,0.0,11.959746875309353,12.25644140868328,19.26246486877803,0.0,0.0,18.839879132016918,5.733667477162185,0.0,0.0,4.401435185185186,0.0,5.637270408163265,1.5418083900226758,0.5231018518518518,4.774979213907786,4.45473828420257,0.0,0.8888888888888888,11.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.9422000000000001,48.71640000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL541090,5.375138888888889,0.6944444444444442,5.375138888888889,0.6944444444444442,0.4671509416430055,98.149,88.069,98.08439831999999,40.0,0.0,0.09400316551858609,-0.38746980048777857,0.38746980048777857,0.09400316551858609,1.8571428571428572,2.5714285714285716,2.7142857142857144,2.422796730625699,96.25327665163482,5.276020881938894,4.516127696252305,4.516127696252305,3.287693700234704,2.5759099390722557,2.5759099390722557,2.141321402711876,2.141321402711876,1.1636511510633043,1.1636511510633043,0.759211889219571,0.759211889219571,-0.53,46.670482779147534,4.624559505409582,1.5234757718400516,0.9180777352946504,43.42840151475959,5.733667477162185,0.0,0.0,0.0,0.0,0.0,4.992404732635669,0.0,0.0,0.0,6.923737199690624,5.917906046161393,12.965578028838586,5.835619785757269,0.0,5.835619785757269,0.0,0.0,16.643978255959247,13.344558822616634,6.544756405912575,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,12.380376191669844,0.0,5.917906046161393,13.344558822616634,4.992404732635669,0.0,0.0,0.0,38.379999999999995,0.0,0.0,0.0,0.0,5.917906046161393,18.801197814595852,0.0,0.0,0.0,11.916141932326294,5.733667477162185,0.0,0.0,4.011574074074074,0.0,5.375138888888889,1.5208333333333333,0.0,1.0,3.0924537037037036,0.0,0.8,7.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.3834000000000001,30.27039999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL112866,12.493078621714986,0.05983519963949324,12.493078621714986,0.05983519963949324,0.921594247763594,345.83000000000004,325.67000000000013,345.12440456,126.0,0.0,0.25335305195980223,-0.4965673319863897,0.4965673319863897,0.25335305195980223,1.25,1.9583333333333333,2.625,1.5499821616457934,697.6649903450677,16.94094682093905,13.536117523200069,14.292046469218525,11.652198343190411,7.9692444923993655,8.347208965408592,5.798613370729504,6.235049151201489,4.192452264699781,4.444428580039266,2.828156514305806,2.9541446719755484,-2.2699999999999996,361193.52405263,16.58299058146244,7.532887161378978,3.974713872440849,146.1449383639983,14.953561288656857,11.567374611118932,0.0,0.0,5.907179729351506,0.0,4.794537184071822,4.9839785209472085,0.0,0.0,11.600939890232516,43.173478588160066,41.98064908648612,7.109797541277533,9.53140013787187,23.325982397419047,0.0,9.883888251797686,0.0,18.88348407499998,25.516098957109016,53.181130787821054,0.0,5.749511833283905,10.05365155780638,5.817862777835028,5.749511833283905,11.600939890232516,42.03221916339984,0.0,0.0,23.199631921620835,42.595045982382736,5.022633313741326,0.0,0.0,54.46,0.0,4.794537184071822,0.0,5.907179729351506,16.627925634586283,37.49853066879611,0.0,37.57210938673705,17.032643867773697,10.30076712495354,16.337802844032566,5.207618090152223,5.8718443931191535,18.689642955189978,4.0548696960263175,0.6808070257998112,1.6428721585052763,11.043854401953316,3.496821704915926,1.450585159989922,1.6388621921258555,0.3333333333333333,24.0,1.0,5.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,6.0,4.0,0.0,1.0,1.0,3.0,3.460300000000002,94.78920000000004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
