chembl_id,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL291345,11.072170335726884,-1.699490740740741,11.072170335726884,0.5411914210128492,0.3114351617251745,291.25600000000003,274.12,291.095416504,114.0,0.0,0.37042668240091176,-0.4781893261250847,0.4781893261250847,0.37042668240091176,1.45,2.05,2.5,3.0364056786946874,409.22730511444945,15.4472292782632,10.632021245215684,10.632021245215684,9.272963365427636,5.814771155419767,5.814771155419767,4.375950760323643,4.375950760323643,2.8056701641854254,2.8056701641854254,1.845304654255964,1.845304654255964,-1.6800000000000002,17420.921037980283,16.374585152838428,6.659113644552434,3.666865503382022,113.65085836026466,35.5862885320099,18.31189916324491,6.103966387748303,11.666344601007681,0.0,5.969305287951849,4.794537184071822,4.794537184071822,0.0,0.0,0.0,6.076020106833881,6.923737199690624,12.648722793660879,39.85857429614722,11.876485017303356,0.0,5.316788604006331,0.0,37.38144357983179,6.606881964512918,11.835184978490057,0.0,0.0,5.316788604006331,0.0,0.0,0.0,74.47371033616096,14.325937321943693,0.0,6.923737199690624,11.835184978490057,0.0,0.0,0.0,156.55,54.70023823361361,24.90865655266576,0.0,0.0,0.0,12.999757306524504,0.0,0.0,0.0,5.316788604006331,14.94991774348146,4.982268518518518,0.0,21.92324436255984,48.97691570609726,0.0,-2.6297978080120927,-1.160370370370371,-5.2917564247921405,0.3661626826656592,0.0,0.6363636363636364,20.0,6.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,6.0,9.0,5.0,0.0,0.0,0.0,1.0,-3.066599999999999,63.30270000000003,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL157939,11.356361095364072,-1.6980017006802723,11.356361095364072,0.4961228951457126,0.17886938514586118,332.31300000000005,312.1530000000001,332.13319898,130.0,0.0,0.3704059914462914,-0.4782245890896382,0.4782245890896382,0.3704059914462914,1.434782608695652,2.0434782608695654,2.4782608695652173,3.2176230382897613,509.63766919592473,17.73168632863937,12.262157918905352,12.262157918905352,10.66681021554499,6.633922534862231,6.633922534862231,4.9691543985492235,4.9691543985492235,3.155593164283361,3.155593164283361,2.1787107298780204,2.1787107298780204,-2.37,66364.55055822157,18.678473097430924,7.760374973417793,4.806105274459512,130.79667060235082,41.53021721833771,18.31189916324491,5.959554568743835,11.666344601007681,0.0,5.969305287951849,10.203820789863343,4.794537184071822,0.0,0.0,0.0,6.076020106833881,6.923737199690624,18.69056362280884,34.752046901306514,17.836039586047193,5.409283605791522,10.633577208012662,5.733667477162185,37.31931802123145,6.606881964512918,11.835184978490057,0.0,0.0,16.367244685174846,0.0,0.0,0.0,75.26461195146375,14.325937321943693,5.409283605791522,6.923737199690624,11.835184978490057,0.0,0.0,0.0,198.21999999999994,60.5976672437571,19.802129157825057,0.0,0.0,0.0,6.076020106833881,6.923737199690624,0.0,0.0,10.633577208012662,26.092868826435165,5.132378117913833,0.0,22.491625881834217,49.76601754745108,5.235481229528848,-3.0158706275720157,-2.0300992063492074,-3.633012566137567,0.3868129566641474,0.0,0.5833333333333334,23.0,9.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,8.0,11.0,6.0,0.0,0.0,0.0,1.0,-3.5758299999999976,76.1337,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL345693,11.127725891282438,-1.6194907407407408,11.127725891282438,0.46119142101284916,0.309935061752291,290.27200000000005,272.128,290.111400916,114.0,0.0,0.3703858567177311,-0.47825888796964605,0.47825888796964605,0.3703858567177311,1.5,2.1,2.55,3.0364056786946874,411.57582066004625,15.4472292782632,10.762157918905352,10.762157918905352,9.272963365427636,5.889905599005939,5.889905599005939,4.462708542783421,4.462708542783421,2.874093869944039,2.874093869944039,1.9005329120906176,1.9005329120906176,-1.6800000000000002,17420.921037980283,16.374585152838428,6.659113644552434,3.666865503382022,114.19651530508138,36.213428614331384,18.31189916324491,0.0,11.666344601007681,0.0,5.969305287951849,4.794537184071822,4.794537184071822,0.0,0.0,0.0,6.076020106833881,6.923737199690624,18.69056362280884,34.752046901306514,11.876485017303356,0.0,5.316788604006331,5.733667477162185,37.31931802123145,6.606881964512918,11.835184978490057,0.0,0.0,11.050456081168516,0.0,0.0,0.0,69.30505738271992,14.325937321943693,0.0,6.923737199690624,11.835184978490057,0.0,0.0,0.0,162.34,54.63811267501327,19.802129157825057,0.0,0.0,0.0,6.076020106833881,6.923737199690624,0.0,0.0,5.316788604006331,20.683585220643643,5.062268518518518,0.0,22.03435547367095,39.463858260896956,5.735574452003023,-2.3447978080120926,-1.8647288359788372,-3.382397959183674,0.4625345647518264,0.0,0.6363636363636364,20.0,7.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,6.0,9.0,5.0,0.0,0.0,0.0,1.0,-3.100199999999998,65.27130000000002,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL115522,11.145785777273872,-2.6620144794028717,11.145785777273872,0.6474494520030232,0.25844090662835784,309.271,290.119,309.105981188,122.0,0.0,0.3638424091440535,-0.4772608598313697,0.4772608598313697,0.3638424091440535,1.4285714285714286,2.0,2.380952380952381,2.9838863465646055,403.15514211690527,16.36987900907357,11.208991352712564,11.208991352712564,9.618915366947938,6.178171166298737,6.178171166298737,4.91029333678943,4.91029333678943,3.203375367420075,3.203375367420075,2.1456571141627214,2.1456571141627214,-1.3000000000000003,27729.924602784293,17.750761421319798,6.641638608305275,3.8720630489498022,119.13469514464495,40.69281592685061,18.31189916324491,0.0,5.907179729351506,5.7871111525705965,5.969305287951849,4.794537184071822,4.794537184071822,0.0,0.0,0.0,0.0,13.344558822616634,18.75268918140918,44.96510169098792,11.876485017303356,0.0,5.316788604006331,0.0,49.5893763553284,6.606881964512918,0.0,0.0,0.0,5.316788604006331,0.0,0.0,0.0,85.36734888357228,14.325937321943691,0.0,13.344558822616634,0.0,0.0,0.0,0.0,176.78,61.14900613745405,30.015183947506465,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,5.316788604006331,14.94991774348146,4.839998110355253,0.0,22.03959593096498,58.63750206023768,0.0,-5.042962582409506,-1.4231250000000004,-7.063942035147393,0.26293351599899273,0.0,0.8181818181818182,21.0,7.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,7.0,10.0,6.0,0.0,1.0,1.0,1.0,-3.8717999999999964,64.78650000000003,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL305240,13.87199359144081,-1.0795734651885447,13.87199359144081,0.18154413604539865,0.21905241312110105,623.71,586.4140000000002,623.274383904,238.0,0.0,0.4076970503619347,-0.4728098270272324,0.4728098270272324,0.4076970503619347,0.8913043478260869,1.4782608695652173,2.0434782608695654,1.4928151946406927,1628.320448069285,32.683223029128804,26.09802909876216,26.09802909876216,22.05266514802063,14.965909124738772,14.965909124738772,11.877083272778254,11.877083272778254,6.999869019410635,6.999869019410635,5.06405567052496,5.06405567052496,-5.449999999999998,17091440489.22587,31.958649407152965,14.105963618712886,8.37747567641922,266.92321957510467,24.844166069412807,11.425455308983615,18.03233727349653,11.666344601007681,0.0,12.062545358890265,9.893218992372859,14.573052889090853,5.098681808301038,0.0,90.99550602692418,43.53758618099674,13.344558822616634,12.083681658295921,28.594200413615614,17.96972508824177,0.0,25.814919345561943,0.0,64.00843566646472,0.0,131.1698544765051,0.0,0.0,10.633577208012662,4.794537184071822,0.0,0.0,50.83579969507066,30.2204848524698,0.0,68.24204504534994,102.83069100541425,0.0,0.0,0.0,144.53000000000003,41.95521060366647,14.383611552215466,0.0,17.49074909900761,12.245226120925937,16.690354475090988,12.999757306524504,20.771211599071872,90.99550602692418,25.814919345561943,14.210588861400147,17.794790205133246,0.0,43.877157645565624,12.918361268617957,1.7324281625610163,-0.6130647507112161,26.52214997881318,-0.697850985045182,6.54936180839871,0.0,0.2857142857142857,46.0,3.0,11.0,0.0,1.0,1.0,3.0,1.0,4.0,8.0,3.0,11.0,9.0,0.0,0.0,0.0,5.0,5.081500000000004,169.12109999999956,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL70627,14.044029640058298,-1.073225203661712,14.044029640058298,0.16576494628307392,0.18751155366580619,665.791,622.447,665.321334096,256.0,0.0,0.40769705036194354,-0.4728096606522232,0.4728096606522232,0.40769705036194354,0.8979591836734694,1.489795918367347,2.0408163265306123,1.5449885486803998,1712.1180885983867,34.96768007950499,28.459456256635214,28.459456256635214,23.50135355300437,16.439243671942155,16.439243671942155,12.846152300860771,12.846152300860771,7.641650926325415,7.641650926325415,5.572771561235371,5.572771561235371,-5.449999999999998,65442223174.17822,34.87275395538042,15.632437550574823,9.340005610138435,286.2280174048899,24.844166069412807,11.425455308983615,18.03233727349653,11.666344601007681,0.0,12.062545358890265,4.794537184071822,19.254855824236035,5.098681808301038,0.0,97.91924322661481,49.95840780392274,19.88931522852921,12.083681658295921,28.59420041361561,17.96972508824177,0.0,25.39804047240609,0.0,83.89775089499392,0.0,131.1698544765051,0.0,0.0,10.633577208012662,4.794537184071822,0.0,0.0,50.41892082191481,36.765241258382375,0.0,81.58660386796656,102.83069100541424,0.0,0.0,0.0,133.67000000000002,41.95521060366648,14.383611552215466,0.0,17.49074909900761,18.78998252683851,23.111176098016994,12.999757306524504,20.771211599071872,102.60104616176,10.633577208012662,24.293249190648392,19.862116896816453,0.0,44.59966268331688,10.513160611300943,1.7760565037087124,-0.37023902319798974,26.79318460330836,0.17915583719959782,9.230235220880374,0.0,0.34210526315789475,49.0,2.0,11.0,0.0,1.0,1.0,3.0,1.0,4.0,9.0,2.0,11.0,11.0,0.0,0.0,0.0,5.0,5.964900000000005,183.0513999999995,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL303919,11.470308028326677,-1.2678246928936867,11.470308028326677,0.05276029856387021,0.7028889853291177,358.35400000000004,340.2100000000001,358.127719676,136.0,0.0,0.3704046153567838,-0.4753972743478212,0.4753972743478212,0.3704046153567838,1.3076923076923077,2.0384615384615383,2.6923076923076925,1.8561156907854535,832.6885973681492,18.681433796945203,13.955243421438135,13.955243421438135,12.435560745775545,7.946349338985493,7.946349338985493,5.88939744280043,5.88939744280043,3.851568076714448,3.851568076714448,2.695281028614222,2.695281028614222,-3.1999999999999997,854093.7058766987,17.617507804370447,7.358971317998816,3.887431589786618,148.38309976356734,25.41694136678262,0.0,11.92837088574823,11.666344601007681,5.890723922025908,5.969305287951849,4.794537184071822,4.794537184071822,4.9839785209472085,0.0,35.4884985994335,11.639471598530877,13.344558822616634,12.083681658295921,23.955559653757746,11.876485017303356,0.0,15.457430382078986,5.733667477162185,31.53220686866086,0.0,59.44560023252093,0.0,0.0,11.050456081168516,0.0,0.0,0.0,39.207335848512635,20.746758944869704,0.0,30.306283499161758,46.69011525777146,0.0,0.0,0.0,140.57,24.15695333399607,14.69560176298435,0.0,17.55706852303359,12.245226120925937,5.563451491696996,12.999757306524504,0.0,30.33183534230805,15.457430382078986,14.993625367935582,10.703418131141344,0.0,27.004688870964262,15.739026566008853,6.980616850147875,-1.4664206571313347,8.031750018620404,0.6786919196691019,1.328228300579491,0.0,0.29411764705882354,26.0,4.0,9.0,0.0,1.0,1.0,1.0,1.0,2.0,7.0,3.0,9.0,5.0,0.0,0.0,0.0,3.0,0.5322000000000011,88.67090000000003,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL72024,11.370476591309924,-1.2523641106401755,11.370476591309924,0.09458616780045381,0.6775303972827984,324.33700000000005,304.177,324.14336974,126.0,0.0,0.3704046153567714,-0.4753972743478212,0.4753972743478212,0.3704046153567714,1.4782608695652173,2.217391304347826,2.8260869565217392,2.2685796166956615,612.0637266930759,16.98276318419594,12.9827056378631,12.9827056378631,10.917922655570505,7.3892191270558065,7.3892191270558065,5.330575578443578,5.330575578443578,3.4004422700365002,3.4004422700365002,2.2814776336365314,2.2814776336365314,-2.4200000000000004,142293.97246637053,16.942124336799683,7.228183088584723,4.065612493923071,132.42083190069314,25.416941366782616,0.0,11.92837088574823,11.666344601007681,5.890723922025908,5.969305287951849,4.794537184071822,4.794537184071822,4.9839785209472085,0.0,18.501222079742078,12.49684172975989,13.344558822616634,12.083681658295921,23.955559653757746,11.876485017303356,0.0,15.457430382078986,5.733667477162185,51.2975873142035,0.0,23.55031339851589,0.0,0.0,11.050456081168516,0.0,0.0,0.0,39.20733584851264,20.7467589448697,0.0,44.5082124530074,16.358279915463406,0.0,0.0,0.0,140.57,24.156953333996075,9.589074368143644,0.0,17.55706852303359,12.245226120925937,12.841643245852019,12.999757306524504,0.0,6.923737199690624,15.457430382078986,20.100152762776286,10.582515117157975,0.0,26.74725672255434,15.59602385689507,5.945918019220238,-1.2814987921630234,-1.4538731943394647,2.820303500979006,3.3766881030291924,0.0,0.5714285714285714,23.0,4.0,9.0,0.0,1.0,1.0,0.0,1.0,1.0,7.0,3.0,9.0,6.0,0.0,0.0,0.0,2.0,0.28400000000000014,78.03490000000004,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL52862,11.32054445389267,-3.439033801020408,11.32054445389267,0.10565972222222264,0.6036759569998145,292.357,272.197,292.10929274,110.0,0.0,0.3308893813320711,-0.47788027195325244,0.47788027195325244,0.3308893813320711,1.631578947368421,2.263157894736842,2.736842105263158,2.958643877142444,459.70600338036155,14.629392033067417,10.996526737327047,11.813023318254773,8.742200722131878,6.027406171768011,7.918817709826267,4.616242903495221,6.396276217842554,2.775566677261668,3.475884554362968,1.9604961371712495,2.7637993270535506,-0.9600000000000002,9448.862857501534,16.09543237250554,6.465414286422164,4.902405652410149,112.41306784086461,15.577057825802939,0.0,0.0,10.023291153407584,0.0,5.969305287951849,0.0,17.934429032852847,0.0,0.0,6.923737199690624,18.9176633526859,18.221827323730146,18.401576400407667,23.055724517041515,15.992596441359433,0.0,4.722094864452088,5.733667477162185,37.95302849158686,12.862651148024323,11.64912463690315,0.0,0.0,10.455762341614273,0.0,0.0,0.0,50.54392886119004,19.554691291279454,0.0,19.765380445542643,11.64912463690315,0.0,0.0,0.0,118.72,34.180244487403655,13.212334168400758,0.0,11.993926152995277,6.606881964512918,12.676590806437414,6.076020106833881,0.0,6.923737199690624,4.722094864452088,15.577057825802939,30.546870275888136,0.0,10.993111339443185,8.999995630196523,6.0182927059712785,-1.0570795540438402,-1.28024896069539,2.6562837773998496,2.3118085868606704,-3.439033801020408,0.7272727272727273,19.0,4.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,8.0,6.0,0.0,0.0,0.0,1.0,-0.5585999999999982,70.10970000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL53507,11.309738047996976,-1.005930650037793,11.309738047996976,0.2082986111111116,0.47077308908242166,283.32800000000003,262.15999999999997,283.153206152,112.0,0.0,0.330911091599195,-0.4778800264536872,0.4778800264536872,0.330911091599195,1.65,2.35,2.85,3.0269130587746136,419.8393311310049,15.120955864630139,11.704594021088905,11.704594021088905,9.489600962842504,6.552222327465137,6.552222327465137,4.62838546267648,4.62838546267648,2.999581088853791,2.999581088853791,2.1745528997338317,2.1745528997338317,-1.89,20894.197844615228,16.165218111540586,7.639178703787647,4.340502974951029,117.43902076314664,20.89384642980927,0.0,0.0,5.907179729351506,0.0,5.969305287951849,9.786941916707491,4.794537184071822,0.0,0.0,6.923737199690624,12.49684172975989,25.524545317198818,24.52618340856611,19.4324647167844,18.215020379825237,0.0,5.316788604006331,10.726072209797854,44.876765691277484,6.606881964512918,11.64912463690315,0.0,0.0,11.050456081168516,0.0,0.0,0.0,48.116077785223084,14.325937321943691,0.0,26.689117645233267,16.64152936953882,0.0,0.0,0.0,114.00999999999999,24.156953333996075,9.589074368143644,0.0,17.901105882346783,6.606881964512918,12.759356985447894,6.923737199690624,6.076020106833881,6.923737199690624,10.309193336642,15.577057825802939,5.633453325774754,0.0,26.53077443940539,11.905629172965483,5.53271770282187,-1.2239909297052152,-0.8575869236583529,3.1523040280927193,3.826699184303351,0.0,0.6153846153846154,20.0,4.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,7.0,6.0,0.0,0.0,0.0,1.0,0.05660000000000093,74.43890000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
