chembl_id,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL323508,11.440664877154116,-0.9495754610738933,11.440664877154116,0.2216187944060768,0.19722958920527575,434.6610000000003,388.2930000000002,434.33960995199993,178.0,0.0,0.33545756676505717,-0.4934306823105901,0.4934306823105901,0.33545756676505717,0.6129032258064516,0.967741935483871,1.3225806451612903,2.2644377890152265,530.1049030052907,22.572857044049098,20.131931335818283,20.131931335818283,15.168233757796587,12.809593872577372,12.809593872577372,8.644915815051055,8.644915815051055,5.660229797110888,5.660229797110888,3.713808370527367,3.713808370527367,-1.71,6029974.943854618,27.324141345169,19.01132685076962,14.84705041618067,190.27803383307932,14.580253302440804,11.49902366656781,0.0,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,103.73897712034541,24.974377382775238,6.06636706846161,18.777215420722833,19.374790486512623,5.969305287951849,0.0,0.0,0.0,116.58062036619744,13.213763929025836,23.762552697081826,0.0,11.49902366656781,9.473725907600098,0.0,11.49902366656781,0.0,24.28959661181839,0.0,0.0,126.93860904196626,18.19910120538483,0.0,0.0,0.0,55.760000000000005,5.969305287951849,9.901064578912528,0.0,5.563451491696996,24.712787595593646,25.683286491704038,77.04985947511214,12.13273413692322,6.06636706846161,13.847474399381248,9.473725907600098,11.661736557986973,0.0,11.440664877154116,9.383082921375253,0.2216187944060768,0.23333184243544758,5.008356523249755,19.997389573986517,5.720485576072523,0.0,0.7407407407407407,31.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,4.0,21.0,0.0,0.0,0.0,1.0,8.423800000000009,129.61130000000009,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
CHEMBL101849,11.348005828376653,-1.0898951865948205,11.348005828376653,0.41145254629629635,0.12723343375197205,521.7390000000005,470.3310000000003,521.3716383519999,212.0,0.0,0.3226131412057357,-0.49337724981661707,0.49337724981661707,0.3226131412057357,0.5945945945945946,0.9459459459459459,1.2972972972972974,2.6417053903684478,682.531819103812,27.141771144801442,23.34882037965515,23.34882037965515,17.95592745803129,14.55049392652948,14.55049392652948,9.952826422025277,9.952826422025277,6.415430953155119,6.415430953155119,4.322911976059528,4.322911976059528,-2.44,84939546.5969784,32.58893518518519,21.626928873483266,17.616523157950656,224.08844969871228,24.586690428131988,24.58853647839296,0.0,0.0,0.0,11.938610575903699,9.589074368143644,0.0,0.0,0.0,103.73897712034541,12.841643245852019,23.886487480068393,13.213763929025836,29.275855065425148,17.625996850587264,0.0,0.0,0.0,116.58062036619744,31.203186471701464,18.19910120538483,0.0,11.49902366656781,14.373635638450576,5.687386274683562,11.49902366656781,0.0,48.454942106436086,9.589074368143644,0.0,116.58062036619744,18.19910120538483,0.0,0.0,0.0,96.3,25.028123387728847,19.802129157825057,0.0,0.0,30.400173870277207,25.683286491704038,81.94976920596262,12.13273413692322,6.06636706846161,13.847474399381248,9.473725907600098,11.96528531082144,0.0,24.012470458716813,18.566778582672185,0.47606323885052126,-1.0276653826054698,5.234415669130329,19.354339516564607,4.751645939182909,0.0,0.7333333333333333,37.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,7.0,25.0,0.0,0.0,0.0,1.0,7.701200000000008,150.13659999999987,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
CHEMBL315696,11.372759802972876,-3.995320594869053,11.372759802972876,0.014243827160493883,0.18250841839078152,421.559,377.2070000000001,421.2957101379999,168.0,0.0,0.4714812277064767,-0.3512753178068272,0.4714812277064767,0.3512753178068272,0.8928571428571429,1.3214285714285714,1.7142857142857142,3.585257341563269,419.6001224865346,21.089729380923657,18.41847912102976,19.312906312029675,13.409014043794347,11.211048624504857,12.70649373951519,7.729212491914951,9.289671297388814,4.983111727614511,5.919913203815833,3.3067755679300457,3.7805124684146345,-0.42000000000000004,795175.7714489036,27.58,18.598635997914315,18.920815390092553,172.3204124850984,10.210200206758806,0.0,0.0,5.907179729351506,0.0,7.822697123132171,13.842031507495456,4.565048284931329,0.0,0.0,96.81523992065479,6.4208216229260096,14.033534740968157,12.648722793660879,23.30049139517926,13.729876852483677,0.0,5.316788604006331,0.0,116.20163957241938,13.716679505790452,0.0,0.0,0.0,5.316788604006331,0.0,0.0,7.822697123132171,30.55911166704239,18.407079792426785,0.0,110.15979874327142,0.0,0.0,0.0,0.0,84.86000000000001,7.822697123132171,14.252997071755626,0.0,18.555902523012385,0.0,26.372262410055562,83.97359667480276,0.0,0.0,16.76427296540877,4.5237471617118175,20.654251471011744,0.0,20.565582347797402,2.7714984770110846,0.0,-0.16282177351182447,-0.2588414125009879,18.92318237754114,3.6812432741757215,-2.8685392059687267,0.9523809523809523,28.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,7.0,20.0,0.0,0.0,0.0,0.0,6.125900000000007,115.32000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
CHEMBL329535,11.440308937747478,-4.029193286520342,11.440308937747478,0.045129467131624246,0.06314223440271385,579.8000000000003,517.3040000000003,579.426389954,234.0,0.0,0.4714812277064767,-0.37906003057045934,0.4714812277064767,0.37906003057045934,0.6923076923076923,1.1025641025641026,1.5128205128205128,3.3410661497275536,579.5140489362597,28.86790397397567,25.598936732636407,26.493363923636323,18.909014043794347,15.865749162884109,17.361194277894437,10.721724316272903,12.282183121746769,6.932470464732284,7.869271940933606,4.56732921971351,5.041066120198098,-0.5,173431741.55692536,38.5,29.00820148062128,30.28961704854991,239.83198197368168,19.683926114358904,0.0,0.0,5.907179729351506,0.0,7.822697123132171,13.842031507495456,4.565048284931329,0.0,0.0,116.07770478943283,19.26246486877803,27.24729866999399,25.862486722686715,32.77421730277936,13.729876852483677,0.0,5.316788604006331,0.0,148.30574768704946,40.14420736384213,0.0,0.0,0.0,5.316788604006331,0.0,0.0,7.822697123132171,56.986639525094056,27.880805700026883,0.0,142.2639068579015,0.0,0.0,0.0,0.0,103.32000000000002,7.822697123132171,14.252997071755626,0.0,18.555902523012385,19.634585551951844,58.84849120785944,90.39441829772878,0.0,0.0,16.76427296540877,13.997473069311916,32.10707463492001,0.0,20.688997978494264,2.7607586827199104,0.0,-0.18564414915385896,-0.3000031781755388,25.056205477745753,6.589834280873221,-2.9116681718682043,0.9666666666666667,39.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,9.0,31.0,0.0,0.0,0.0,0.0,8.10960000000001,160.04299999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
CHEMBL89551,11.8812310119517,-4.050692394665676,11.8812310119517,0.07301211716712896,0.06156386534074295,549.7300000000004,493.28200000000027,549.379439762,220.0,0.0,0.4714812277064767,-0.4656750045271161,0.4714812277064767,0.4656750045271161,0.7837837837837838,1.2702702702702702,1.7837837837837838,3.5321216279795173,603.0797371373474,27.61682711841911,23.977616389076765,24.87204358007668,17.8028608939117,14.761525440156808,16.25697055516714,10.113896234745523,11.674355040219389,6.521399845771297,7.458201321972619,4.289901616049469,4.763638516534057,-0.9500000000000002,58261596.63790359,36.05,25.334784468852135,26.44366384572481,226.15007461542532,14.947063160558855,0.0,0.0,5.907179729351506,0.0,13.79200241108402,18.636568691567277,4.565048284931329,0.0,0.0,109.65688316650682,19.26246486877803,20.454356363894167,19.255604758173796,32.831891533051135,19.699182140435525,0.0,5.316788604006331,0.0,148.30574768704946,20.323561470303368,0.0,0.0,0.0,5.316788604006331,0.0,0.0,7.822697123132171,43.13529891950716,27.938479930298655,0.0,142.2639068579015,0.0,0.0,0.0,0.0,111.16,7.822697123132171,19.047534255827447,0.0,24.525207810964233,19.448525210364938,52.05554890175961,77.55277505187675,0.0,0.0,16.76427296540877,9.260610115511867,26.048136734468738,0.0,32.547974385494655,2.735984164170193,0.0,-0.2936473179222958,-0.3340873997312419,22.65036728232153,4.065577357118732,-2.948082983698084,0.9285714285714286,37.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,9.0,27.0,0.0,0.0,0.0,0.0,7.619600000000009,149.3639999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
CHEMBL88385,11.612573721851788,-4.04179998544185,11.612573721851788,0.07381568207325806,0.17382825453763207,437.51400000000007,397.19400000000013,437.2542392499999,172.0,0.0,0.4714812277064767,-0.4656750045271161,0.4714812277064767,0.4656750045271161,1.0,1.6206896551724137,2.2758620689655173,3.7175673577276513,487.45017141092967,21.959972868926737,18.320762139584392,19.215189330584305,13.802860893911697,10.761525440156808,12.256970555167142,7.28546910999934,8.845927915473204,4.521399845771296,5.458201321972618,2.8756880536763734,3.349424954160962,-0.9500000000000002,1157378.6537610237,28.050000000000004,17.87008659441542,18.79722661343684,175.23053770025243,14.947063160558855,0.0,0.0,5.907179729351506,0.0,13.79200241108402,18.636568691567277,4.565048284931329,0.0,0.0,58.29031018309871,19.26246486877803,20.454356363894167,19.255604758173796,32.831891533051135,19.699182140435525,0.0,5.316788604006331,0.0,96.93917470364134,20.323561470303368,0.0,0.0,0.0,5.316788604006331,0.0,0.0,7.822697123132171,43.13529891950716,27.938479930298655,0.0,90.89733387449338,0.0,0.0,0.0,0.0,111.16,7.822697123132171,19.047534255827447,0.0,24.525207810964233,19.448525210364938,52.05554890175961,26.186202068468653,0.0,0.0,16.76427296540877,9.260610115511867,25.821454495365465,0.0,32.146151883359295,2.718871066542765,0.0,-0.31217847558764755,-0.3320313931152108,11.41200327864771,3.9634460359247696,-2.9454946689149173,0.9,29.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,9.0,19.0,0.0,0.0,0.0,0.0,4.498800000000004,112.42800000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
CHEMBL428091,12.804609362840745,-4.099269198516722,12.804609362840745,0.0314123849006247,0.04761172008694934,780.0369999999998,705.4449999999999,779.510119578,310.0,0.0,0.4714812277064767,-0.46566354783319425,0.4714812277064767,0.46566354783319425,0.9074074074074074,1.6296296296296295,2.3518518518518516,1.1085439529355827,1319.3883450982366,39.52008632231228,34.70580834233495,35.60023553333485,25.57419028507967,21.423568732325624,22.919013847335957,18.265666882168603,19.826125687642463,14.128185629244383,15.064987105445699,11.204382986425369,11.678119886909956,-1.74,327763627498.1676,44.96813208353129,20.61177696238782,12.378349978842015,326.18634601462384,19.683926114358904,6.103966387748303,0.0,5.907179729351506,0.0,19.761307699035868,23.431105875639098,4.565048284931329,0.0,0.0,91.21356199583833,104.124811822096,20.454356363894167,32.097248004025815,42.363291670923005,25.668487428387373,0.0,5.316788604006331,46.33741721576192,175.68384125063426,20.32356147030337,11.64912463690315,0.0,0.0,5.316788604006331,0.0,0.0,7.822697123132171,55.20857059520731,37.469880068170525,46.33741721576192,163.538034033738,11.64912463690315,0.0,0.0,0.0,137.46,7.822697123132171,23.842071439899268,0.0,54.85511320191318,18.44269405683571,93.98380680165397,63.86341471316797,0.0,0.0,50.535241871005155,13.997473069311916,32.220241440223624,0.0,46.05960050449154,2.7363764257736434,2.1975435961209007,3.9107132453280045,-0.3815116371959355,20.905417828028284,13.996896608675488,-3.006389122556662,0.8837209302325582,54.0,2.0,10.0,4.0,0.0,4.0,0.0,0.0,0.0,8.0,2.0,11.0,22.0,3.0,0.0,3.0,4.0,9.8717,211.21199999999914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
CHEMBL89162,6.214468764168023,0.3777969897962058,6.214468764168023,0.3777969897962058,0.34660471209529015,312.58600000000007,268.234,312.350449408,134.0,0.0,0.016731027628007857,-0.3265382815808625,0.3265382815808625,0.016731027628007857,0.6363636363636364,1.0454545454545454,1.4545454545454546,3.1932761079673555,201.88392493231433,16.46840903736402,15.915622632863975,15.915622632863975,10.739912065068586,10.219833555871213,10.219833555871213,6.9236921976253365,6.9236921976253365,4.815603128683407,4.815603128683407,3.1522546872120114,3.1522546872120114,-0.08,60880.7585792657,21.92,17.276638606212376,14.84056715861261,140.7728755685812,10.633577208012664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.821071074184,19.51033443475116,12.586597235060536,0.0,0.0,0.0,0.0,4.899909730850478,5.733667477162185,110.28373352625798,19.634269217737724,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,30.576019777736164,0.0,0.0,104.24189269711002,0.0,0.0,0.0,0.0,29.259999999999998,0.0,0.0,0.0,0.0,6.041840829147961,19.634269217737724,83.47068109803816,0.0,0.0,25.67112132992235,5.733667477162185,0.0,0.0,2.435691785241012,0.0,6.214468764168023,0.0,0.3777969897962058,18.243000917520995,10.062374876607098,0.0,1.0,22.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,17.0,0.0,0.0,0.0,0.0,5.746700000000005,101.45840000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
CHEMBL89206,9.1717798605819,0.28360243055555556,9.1717798605819,0.28360243055555556,0.3890054748813034,285.516,246.20399999999995,285.303164868,122.0,0.0,0.05841274429982445,-0.3947563615878846,0.3947563615878846,0.05841274429982445,0.7,1.15,1.55,3.087708303993818,172.80115738264186,14.891058768174391,14.131165582487801,14.131165582487801,9.846065214951233,9.189166434505745,9.189166434505745,6.11493757783976,6.11493757783976,4.1193250659723954,4.1193250659723954,2.7783014874456065,2.7783014874456065,-0.08,25159.782451093964,19.92,16.972854122621566,14.331658747860137,127.28736290837598,10.423315998847038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.89733387449338,12.965578028838586,6.041840829147961,6.606881964512918,5.106527394840706,0.0,0.0,5.316788604006331,0.0,103.35999632656736,13.151638370425493,0.0,0.0,0.0,5.316788604006331,0.0,0.0,0.0,24.30000659441416,0.0,0.0,97.3181554974194,0.0,0.0,0.0,0.0,32.26,0.0,5.106527394840706,0.0,6.606881964512918,6.041840829147961,12.965578028838586,77.04985947511214,0.0,0.0,19.16426300338758,0.0,0.0,0.0,0.0,12.49375660236022,0.0,0.0,0.32233402683324264,17.89090388807922,5.626338816060648,0.0,1.0,20.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,16.0,0.0,0.0,0.0,0.0,5.0480000000000045,90.24550000000008,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
CHEMBL148510,11.79896280995817,-0.3525749209666331,11.79896280995817,0.18826861293915087,0.37390763175446434,422.5250000000002,392.2850000000002,422.22055744,164.0,0.0,0.3053995176442917,-0.493559498270381,0.493559498270381,0.3053995176442917,1.064516129032258,1.8387096774193548,2.5161290322580645,1.8822001157709751,1040.6066525524325,22.216967702877938,18.226106648367878,18.226106648367878,15.028407103102724,10.776661335803972,10.776661335803972,7.429625550220749,7.429625550220749,5.226802540139633,5.226802540139633,3.9077895896825954,3.9077895896825954,-3.279999999999999,9821435.233809123,22.406216259788536,10.660138412311213,5.657979617985541,182.49368237938253,19.77449303255364,5.749511833283905,0.0,5.907179729351506,0.0,5.969305287951849,9.589074368143644,0.0,0.0,0.0,37.255572541998674,49.09138463432146,29.562430955768104,19.634585551951844,19.06280027574374,22.779409949384412,0.0,4.567099647791355,5.733667477162185,46.07551729699785,13.213763929025836,65.35176752593533,0.0,5.749511833283905,10.470530430962235,0.0,5.749511833283905,0.0,29.657348594120545,33.71233697370828,0.0,43.50994862347572,48.53093654769288,0.0,10.902924932081056,0.0,83.55000000000001,0.0,9.589074368143644,0.0,18.297306640229365,31.80491900816176,35.125882447465095,5.563451491696996,6.923737199690624,36.39820241076966,23.623570984405198,15.207393384762284,13.068464196843568,0.0,23.274522072591108,0.9809942867311194,9.876990602643874,0.1450787429446282,16.184038565141904,1.8931746552014133,5.410070211235724,0.0,0.36,31.0,2.0,6.0,0.0,0.0,0.0,2.0,1.0,3.0,5.0,1.0,6.0,11.0,0.0,0.0,0.0,3.0,4.001900000000003,121.12040000000003,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
