chembl_id,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL371695,12.410901360544218,-0.6079086881666245,12.410901360544218,0.27051256613756625,0.6859527343926135,334.78800000000007,323.7,334.029124272,112.0,0.0,0.2605178921168711,-0.3648303519222752,0.3648303519222752,0.2605178921168711,1.3636363636363635,2.090909090909091,2.772727272727273,2.0803389724509107,899.5201522318713,15.853006672199017,11.436674285848905,13.009099812795085,10.486071002992368,6.318717816716736,7.5131788706536895,4.617548550853445,6.045369403753709,3.1760096344139166,4.6145659928303076,2.1646211108270403,3.389164298785497,-2.3799999999999994,127844.84534189448,14.552813948095137,5.432798172742178,2.3386077312514937,133.81867674885305,11.050456081168516,9.707543613321866,0.0,0.0,11.814359458703011,0.0,14.68775617644468,0.0,5.098681808301038,11.336785877934737,23.733674027155736,19.056471336613843,0.0,27.35362328943514,9.589074368143644,50.65609213563919,0.0,10.197363616602075,5.733667477162185,6.923737199690624,5.316788604006331,45.42262826783452,0.0,0.0,11.050456081168516,5.687386274683562,0.0,22.937725768167255,22.011723075305085,0.0,6.923737199690624,25.723601048390396,24.26546827384644,5.022633313741326,10.216620634085363,0.0,100.87,11.814359458703011,9.589074368143644,0.0,4.877147193701299,32.184019709055704,11.336785877934737,0.0,31.18920547353706,0.0,15.514152220608405,17.3346073673947,0.0,7.175523414098148,24.969241552588116,10.616250358682569,6.7501100018196585,-1.016797577055513,6.6708722547661035,0.0,1.7792444395453655,0.0,0.07142857142857142,22.0,4.0,6.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,3.0,8.0,3.0,0.0,0.0,0.0,3.0,2.9374200000000004,86.63080000000001,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CHEMBL370199,11.52937358276644,-1.0593348450491307,11.52937358276644,0.14259542705971318,0.5331178399582227,282.28100000000006,272.201,282.0422758,100.0,0.0,0.39639778922802305,-0.4618671242601395,0.4618671242601395,0.39639778922802305,1.4210526315789473,2.1052631578947367,2.6842105263157894,2.5250061915426865,687.0637705783621,14.154336059449747,10.0658053170089,10.882301897936626,8.95159616038172,5.118881891950224,5.93537847287795,3.6292838965950347,4.649904622754692,2.428317632913903,3.537285770290248,1.5956631503343126,2.5986515660958935,-2.4199999999999995,21557.68881054753,13.022119949627317,4.687837492165566,2.1472350661731108,110.46326787425119,15.787319034968565,9.707543613321866,0.0,0.0,5.907179729351506,11.876485017303356,14.687756176444681,4.794537184071822,5.098681808301038,11.336785877934737,0.0,6.923737199690624,0.0,23.877336025274353,19.120474506015512,45.02445753335852,0.0,10.197363616602075,5.733667477162185,6.923737199690624,12.426586145283864,10.57107518854976,0.0,0.0,11.050456081168516,5.687386274683562,0.0,11.336785877934737,35.09082590453447,14.325937321943691,6.923737199690624,15.365612372621584,0.0,0.0,10.216620634085363,0.0,127.17,17.78366474665486,14.383611552215466,0.0,10.564533468384862,15.910548628933824,18.44658341921227,0.0,6.923737199690624,0.0,20.251015174408455,5.733667477162185,4.297716836734694,1.0546993102796671,34.72167406777526,9.548710317460317,5.999188476316453,-2.740385015117158,0.0,0.0,1.6985367063492063,1.0865259668682286,0.2,19.0,4.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,3.0,9.0,2.0,0.0,0.0,0.0,2.0,0.14322000000000001,67.8713,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CHEMBL197923,12.411613756613757,-0.04357148106155995,12.411613756613757,0.04357148106155995,0.5664925073607516,347.44300000000004,330.30699999999996,347.1092331640001,124.0,0.0,0.2609632890350785,-0.35100632489645867,0.35100632489645867,0.2609632890350785,1.04,1.76,2.52,1.4801613206434099,989.6532592784009,17.062267164498692,13.528776699886667,14.345273280814393,12.309663088089318,8.165410286617844,8.98190686754557,5.785609710744274,6.816258592670639,4.079372217640901,5.107081417866429,2.799403154498674,3.711582443992995,-2.919999999999999,1167019.9721847293,15.598585502468657,6.906831389792871,3.3196968723785383,149.0710919309789,5.316788604006331,4.830396419620566,0.0,0.0,5.907179729351506,0.0,9.893218992372859,0.0,5.098681808301038,11.336785877934737,60.6636706846161,18.050640183084614,17.494432112074367,10.57107518854976,4.794537184071822,27.460586241371605,0.0,15.514152220608405,0.0,6.4208216229260096,6.544756405912575,77.17063643847602,0.0,11.257379486545457,5.316788604006331,0.0,0.0,11.336785877934737,22.649299751866156,6.4208216229260096,0.0,15.235135869470117,66.73003775307771,0.0,21.47400012063082,0.0,57.78,0.0,4.794537184071822,0.0,5.907179729351506,11.421903599613874,27.89482174355683,16.900237369631732,0.0,54.59730361615449,27.646886357531628,0.0,0.0,1.412726468673889,13.95680378954459,11.390133857923187,3.240178281132397,-0.04357148106155995,22.098239686837513,0.8243952646613181,0.6210941322886668,0.0,0.1,25.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,2.0,5.0,5.0,0.0,0.0,0.0,4.0,4.263900000000002,101.88590000000003,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CHEMBL199755,12.489622700932225,0.04065896111531053,12.489622700932225,0.04065896111531053,0.751739652090641,325.43700000000007,306.28499999999997,325.124883228,118.0,0.0,0.26116714430090004,-0.34861018697455765,0.34861018697455765,0.26116714430090004,1.173913043478261,1.9565217391304348,2.739130434782609,1.5919484605435312,815.284287055109,15.6480536021256,12.840695966687806,13.657192547615532,11.309663088089316,8.152791618430877,8.969288199358603,6.1025058891196755,7.1331547710460415,4.477705499173631,5.505414699399158,3.2506929843970043,4.1496290553415,-2.1399999999999997,432180.0749504,14.452131805467632,6.161532072056545,2.884945310711122,138.4679350289721,5.316788604006331,4.830396419620566,0.0,0.0,5.907179729351506,0.0,9.893218992372859,0.0,5.098681808301038,11.336785877934737,49.59430021108608,18.90801031431363,16.991516535309753,10.57107518854976,4.794537184071822,27.460586241371605,0.0,15.514152220608405,0.0,38.14594894377801,0.0,41.27534960447096,0.0,11.257379486545457,5.316788604006331,0.0,0.0,11.336785877934737,22.14638417510154,0.0,0.0,41.77579249240316,36.39820241076966,0.0,21.47400012063082,0.0,57.78,0.0,4.794537184071822,0.0,5.907179729351506,6.041840829147961,39.192790560184136,30.599250746712766,0.0,36.39820241076966,15.514152220608405,0.0,0.0,1.45505503590325,14.125642899134963,11.646450430098067,2.0700046885400427,0.04065896111531053,12.396253633561292,5.932601018313743,0.0,0.0,0.3333333333333333,23.0,2.0,4.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,2.0,5.0,3.0,1.0,0.0,1.0,4.0,4.353900000000003,93.74590000000003,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CHEMBL373001,12.061898620559335,-0.04365457294028707,12.061898620559335,0.04365457294028707,0.7692521089352714,271.345,258.241,271.077933036,96.0,0.0,0.2612170759155936,-0.34726251774057987,0.34726251774057987,0.2612170759155936,1.368421052631579,2.1578947368421053,2.8947368421052633,1.7302948745853506,714.7083488899412,13.242276208189782,10.43491857275199,11.251415153679714,9.237183443017884,6.004726684094885,6.821223265022611,4.330742779704889,5.382941621028131,2.9667033459183023,4.005187525842266,1.9148986727437303,2.884329935975443,-2.1399999999999992,41560.5776915735,11.922863157563292,4.854324283715956,2.3692400918363505,114.01399772491487,5.316788604006331,4.830396419620566,0.0,0.0,5.907179729351506,0.0,9.893218992372859,0.0,5.098681808301038,11.336785877934737,30.33183534230805,18.55355575984923,11.93098062037737,10.57107518854976,4.794537184071822,27.460586241371605,0.0,15.514152220608405,0.0,13.4684936056032,0.0,52.532729091016414,0.0,0.0,5.316788604006331,0.0,0.0,11.336785877934737,16.10454334595358,6.544756405912575,6.923737199690624,20.929063864318575,36.39820241076966,0.0,10.216620634085363,0.0,57.78,0.0,4.794537184071822,0.0,5.907179729351506,11.421903599613874,21.47400012063082,11.336785877934737,0.0,43.321939610460284,15.514152220608405,0.0,0.0,1.4312554064835807,13.719345133114974,10.974545584252475,2.0177543070972908,-0.04365457294028707,11.761917874460261,0.0,2.472169600865037,0.0,0.14285714285714285,19.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,5.0,3.0,0.0,0.0,0.0,3.0,2.862820000000001,76.31990000000003,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CHEMBL200796,11.480443314301539,-0.3392026748971191,11.480443314301539,0.3392026748971191,0.7192876128291386,273.317,262.229,273.057197592,96.0,0.0,0.3476249781028041,-0.4648280306682415,0.4648280306682415,0.3476249781028041,1.368421052631579,2.1578947368421053,2.8947368421052633,1.9591590909006402,717.9056014629135,13.242276208189782,10.136060082029305,10.952556662957031,9.275188245478668,5.659992338604133,6.476488919531859,3.9106919343594133,4.941340816285777,2.6807655401323296,3.6897460010752225,1.772767958676912,2.68674742821455,-2.3399999999999994,42989.438693121585,11.733706847530526,4.7352117886936105,2.1742437741246805,112.76260084002514,10.05365155780638,15.525406391156894,0.0,0.0,0.0,5.969305287951849,5.098681808301038,4.794537184071822,5.098681808301038,11.336785877934737,18.19910120538483,18.19910120538483,5.687386274683562,12.49602175574233,9.53140013787187,39.02796085249054,0.0,10.197363616602075,0.0,0.0,12.426586145283864,41.27534960447096,0.0,0.0,5.316788604006331,11.50524905251859,0.0,11.336785877934737,23.27646644583146,4.736862953800049,0.0,9.671684377773122,36.39820241076966,0.0,10.216620634085363,0.0,67.00999999999999,0.0,4.794537184071822,0.0,5.969305287951849,4.877147193701299,21.721869686603952,18.44658341921227,6.06636706846161,30.33183534230805,15.514152220608405,4.736862953800049,4.706442187412154,1.3044498509280253,12.803538499906645,11.216200869236584,0.9572852366255146,0.43172608549592717,11.543250264012348,0.0,0.0,1.3704403397161333,0.07692307692307693,19.0,2.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,2.0,6.0,3.0,0.0,0.0,0.0,3.0,3.1546000000000003,75.03490000000002,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CHEMBL402548,13.147807885885895,-0.6795882750734126,13.147807885885895,0.13104465433353552,0.5706345117127313,474.56500000000034,444.32500000000033,474.23793882,182.0,0.0,0.25647880480744845,-0.3689661533411904,0.3689661533411904,0.25647880480744845,1.0,1.7142857142857142,2.4,1.2312272529709676,1185.5560091344685,24.363232072819905,20.02974263240697,20.02974263240697,17.02920844090216,11.807714081869197,11.807714081869197,9.035902108031515,9.035902108031515,6.7528285988887005,6.7528285988887005,4.637611134803636,4.637611134803636,-3.689999999999999,151824045.2814994,23.07063271291914,9.890392887786119,4.777105165996113,204.21150707710737,24.753380750357813,5.817862777835028,6.103966387748303,0.0,11.814359458703011,0.0,14.68775617644468,0.0,5.098681808301038,0.0,30.33183534230805,36.876591748220626,50.103112423005385,18.78344080667361,14.325937321943691,23.3196085112216,0.0,19.99718307830303,0.0,19.193479199573453,50.55319348246183,76.98158608609396,0.0,0.0,10.216698334856808,11.50524905251859,0.0,0.0,72.14803768461107,22.620912949697022,0.0,33.28278604175957,54.59730361615449,0.0,0.0,0.0,93.79999999999998,6.103966387748303,9.589074368143644,0.0,11.814359458703011,24.470827081357175,48.68724287657631,7.109797541277533,4.899909730850478,54.59730361615449,32.36164366498655,4.736862953800049,5.5022793464473505,0.0,32.410670937657066,10.17604096127132,4.072528924536277,0.1766681441314275,17.102439635312873,-0.6795882750734126,4.742160483767981,3.6634665086157856,0.34615384615384615,35.0,2.0,9.0,0.0,2.0,2.0,2.0,1.0,3.0,6.0,2.0,9.0,6.0,0.0,1.0,1.0,5.0,2.643700000000001,133.13889999999995,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL373751,12.034870507141829,-3.397420064772279,12.034870507141829,0.017653411086401505,0.40351642373889235,469.5440000000002,450.3920000000002,469.07661270799997,164.0,0.0,0.17542047748983938,-0.49278530888033384,0.49278530888033384,0.17542047748983938,1.09375,1.8125,2.5,1.6922720600003438,1448.2478193819416,22.88010440969447,17.52528775445047,19.158280916305923,15.350216416040132,9.395277648557341,12.103185767543321,6.868856549127747,9.883662890633378,4.831789516364422,7.0492855426215995,3.3178156330641615,5.129834331698934,-3.5499999999999994,20442807.903121773,21.673331252322182,8.529454719681635,3.9992812584440673,188.6897235460869,14.210588861400147,28.8816525224589,27.085788636269214,0.0,0.0,0.0,4.567099647791355,13.401775505276145,5.261891554738487,11.336785877934737,18.19910120538483,6.06636706846161,30.01832188059323,30.14847999330536,22.628385845729085,32.20744044958476,5.261891554738487,9.551078168738563,0.0,11.502365440030694,20.47536426606647,59.2324882393941,0.0,28.318838789331853,14.210588861400147,0.0,17.248535499851716,11.336785877934737,38.44423941913397,16.44413510093042,11.33111286753076,10.440598685398296,53.68737302951359,0.0,16.03448341192039,0.0,103.44000000000001,9.837253136417502,13.679688539067424,0.0,11.502365440030694,33.20583490286627,16.773551877815535,17.403152946396347,50.87875049962766,10.633466716252965,11.053199833739482,14.210588861400147,42.492273812387936,1.2468986861719995,4.998168913150877,10.321897088910301,2.012055007925284,1.5078764420057509,14.123780089823057,2.80747142632202,0.017653411086401505,-0.2780748777836244,0.18181818181818182,32.0,0.0,8.0,0.0,0.0,0.0,2.0,2.0,4.0,9.0,0.0,10.0,7.0,0.0,0.0,0.0,4.0,3.9583800000000036,120.64980000000004,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CHEMBL375787,9.472762270631138,0.10249446242585036,9.472762270631138,0.10249446242585036,0.6458456555433879,385.4450000000001,366.2930000000001,385.109627088,140.0,0.0,0.16252768029230455,-0.49278530888033384,0.49278530888033384,0.16252768029230455,1.2592592592592593,2.074074074074074,2.7777777777777777,1.673410417874054,998.4565905414045,18.80275414050485,15.098060709513511,15.914557290441238,13.228207948111985,8.60954219566337,9.426038776591096,6.146325235805741,7.176974117732108,4.525253124402788,5.545534527652858,3.1360184903665482,4.019044074869703,-2.76,2882764.083697055,17.643740288640053,7.4653073430864305,3.314778585578167,160.20977137740374,18.947451815200196,34.631164355742804,11.49902366656781,0.0,0.0,0.0,4.567099647791355,4.9839785209472085,5.261891554738487,11.336785877934737,0.0,12.841643245852019,24.805983169897747,31.35696290553589,18.947451815200196,22.370187313167257,5.261891554738487,9.551078168738563,0.0,18.94560963360032,27.433359011580905,29.40356847385067,0.0,28.318838789331853,14.210588861400147,0.0,17.248535499851716,11.336785877934737,43.08840356806776,4.736862953800049,11.33111286753076,17.718790439553317,24.52642128014937,0.0,16.03448341192039,0.0,78.53000000000002,0.0,5.261891554738487,0.0,6.103966387748303,28.732564658065932,35.483008622285325,11.336785877934737,20.54691515731961,22.766200853176183,11.053199833739482,18.947451815200196,24.10437964673455,1.3619363872092045,4.975880564040738,10.323327274410428,1.6439330406813273,1.8275226890090157,7.793975863302162,3.873728997867602,1.2369973451205414,3.1916515249577673,0.3684210526315789,27.0,0.0,7.0,0.0,1.0,1.0,1.0,2.0,3.0,8.0,0.0,8.0,6.0,0.0,1.0,1.0,4.0,3.533680000000002,101.23500000000004,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CHEMBL220032,11.908301179874051,-0.5256842951954781,11.908301179874051,0.05081267860120953,0.6514211380068393,403.46000000000015,382.29200000000014,403.12019177199994,148.0,0.0,0.26217174509949764,-0.4927853088803528,0.4927853088803528,0.26217174509949764,1.2857142857142858,2.0714285714285716,2.75,1.6993673136123182,1006.580700330494,19.672997628507925,15.636445673667042,16.452942254594767,13.60088674817416,8.878734677740136,9.69523125866786,6.398772607041883,7.4294214889682495,4.647499930228762,5.777678704092394,3.229821763671042,4.167796033480978,-2.78,4063003.084673125,18.577160831595027,7.685685246276767,3.382251689625145,165.31860449299154,24.681119292362382,28.56194304295053,11.49902366656781,0.0,5.907179729351506,0.0,9.361636831863176,4.9839785209472085,0.0,11.336785877934737,0.0,12.841643245852019,24.805983169897747,31.35696290553589,23.741988999272017,28.27736704251877,0.0,9.551078168738563,5.733667477162185,18.94560963360032,27.433359011580905,29.40356847385067,0.0,22.24961747653958,19.944256338562333,0.0,17.248535499851716,11.336785877934737,48.99558329741927,4.736862953800049,0.0,22.513327623625138,24.52642128014937,0.0,16.03448341192039,0.0,97.83,5.907179729351506,4.794537184071822,0.0,6.103966387748303,28.732564658065932,35.483008622285325,11.336785877934737,26.61328222578122,16.699833784714574,4.9839785209472085,24.681119292362382,24.031256987751046,1.2566123131351303,16.70790150959884,0.7693150037792896,7.12399523281152,1.1349209555419328,5.455732263584446,3.7161011319064032,1.142919413021776,3.1612451888696134,0.3684210526315789,28.0,2.0,8.0,0.0,1.0,1.0,1.0,2.0,3.0,8.0,1.0,9.0,7.0,0.0,1.0,1.0,4.0,2.7609000000000004,105.03790000000004,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
