chembl_id,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL326611,12.52436278281336,-1.4350834830340389,12.52436278281336,0.041155484793652164,0.3803728745804903,422.3490000000001,408.2370000000002,422.07501540799996,156.0,0.0,0.33620742500424267,-0.47762031242177716,0.47762031242177716,0.33620742500424267,0.8709677419354839,1.5806451612903225,2.2580645161290325,1.875807306066927,1205.4890522413561,22.543241116511002,15.64198349036894,15.64198349036894,14.756927950821467,8.693340837027836,8.693340837027836,6.177478994167409,6.177478994167409,4.13408018503503,4.13408018503503,2.691358048779469,2.691358048779469,-4.7299999999999995,7036925.69425087,20.99031420699558,8.739284080692435,4.822060055547236,174.02983481495292,20.26670634748779,5.749511833283905,5.749511833283905,0.0,11.594566004035068,11.938610575903699,14.908855452837393,9.589074368143644,0.0,0.0,18.19910120538483,36.39820241076966,17.696185628620217,21.737600306895224,34.25684034451459,29.22056285462233,0.0,0.0,0.0,0.0,5.316788604006331,93.5347104969343,0.0,11.49902366656781,10.05365155780638,11.374772549367124,11.49902366656781,0.0,32.98215614375429,0.0,10.114318268765572,31.07396602730645,66.73003775307771,0.0,0.0,0.0,156.07,33.89600433746687,29.604457215821746,0.0,28.43724770763193,0.0,18.19910120538483,36.39820241076966,12.13273413692322,0.0,5.316788604006331,9.843390348640755,5.6545625472411185,0.0,45.346118482135225,31.840363510137433,-0.8117621015194261,-3.2536846718160874,14.891068900488403,0.0,0.0,0.0,0.0,31.0,3.0,10.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,3.0,10.0,7.0,0.0,0.0,0.0,3.0,4.035800000000002,107.92620000000002,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL118643,12.465720807504718,-1.3931534960491068,12.465720807504718,0.10819864365499288,0.5375665100632048,411.797,397.6850000000001,411.050964848,146.0,0.0,0.33620742500424267,-0.47762031242177716,0.47762031242177716,0.33620742500424267,0.8275862068965517,1.5517241379310345,2.2413793103448274,1.878955382428729,1111.8303879049558,20.965890847321376,14.756237786950482,15.512166732968938,13.846244348298507,8.29356790411236,8.671532377121586,5.880388209571192,6.3168239900431775,3.9017249040642232,4.136822006851962,2.5603634740999923,2.7506513222391926,-3.8399999999999994,2833784.2670400604,19.908794575753564,8.450621957950462,4.715430914534414,169.68012531933476,20.26670634748779,5.749511833283905,5.749511833283905,0.0,5.907179729351506,11.938610575903699,4.794537184071822,9.589074368143644,0.0,0.0,29.800041095617345,48.53093654769288,10.586084805438322,16.814289258077554,29.33352929569692,35.134116470171286,0.0,0.0,0.0,0.0,5.316788604006331,88.44302554191005,0.0,11.49902366656781,10.05365155780638,5.687386274683562,11.49902366656781,11.600939890232516,28.058845094936615,0.0,0.0,31.07396602730645,66.73003775307771,5.022633313741326,0.0,0.0,112.92999999999999,23.4092417969522,19.490138947056174,0.0,17.062475158264807,16.273471080121883,12.13273413692322,12.13273413692322,42.46456947923127,0.0,5.316788604006331,21.44433023887327,5.698499447103945,5.911421364109161,34.975563731338305,21.47220458787763,-0.06409481936957806,-2.7975221100800027,16.581705576798317,0.0,0.0,0.0,0.0,29.0,3.0,7.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,3.0,8.0,6.0,0.0,0.0,0.0,3.0,4.781000000000002,106.28179999999999,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL324288,12.839124149659863,-1.3869907407407405,12.839124149659863,0.13810185185185198,0.7389225930294264,373.40500000000014,350.22100000000006,373.15253745599995,144.0,0.0,0.35261764849494004,-0.4777900071876101,0.4777900071876101,0.35261764849494004,1.0740740740740742,1.6666666666666667,2.111111111111111,2.827659284240095,822.1335080082538,20.30060042939172,15.723192613869259,15.723192613869259,12.700483720356207,8.65137012421319,8.65137012421319,6.4136910264490625,6.4136910264490625,4.341824115580822,4.341824115580822,3.321086778650787,3.321086778650787,-3.09,645182.558853072,20.22470983215207,8.072754658666167,3.8647994328790563,157.10196820738528,19.84982747433194,5.697039313055833,0.0,0.0,0.0,17.90791586385555,0.0,14.383611552215466,0.0,0.0,30.33183534230805,33.25840029045949,12.241795718968408,23.16808149404823,29.33352929569692,17.90791586385555,0.0,4.899909730850478,0.0,39.71682123267219,6.544756405912575,58.435574520255244,0.0,0.0,0.0,0.0,0.0,0.0,45.669603178048305,19.120474506015512,0.0,39.17630633662088,52.87212302855825,0.0,0.0,0.0,104.14,29.929788297765242,24.596666341896878,0.0,23.388004779106943,11.260490804752829,0.0,4.899909730850478,58.02678414107054,0.0,0.0,4.736862953800049,5.342045776643991,0.0,38.177074541236244,19.557903465398503,0.3401095993953145,-4.435463067943226,8.523012277441842,-0.4005294154698922,6.895846823297219,0.0,0.35,27.0,2.0,7.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,2.0,7.0,6.0,0.0,0.0,0.0,2.0,2.7546,97.78860000000007,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL117003,11.65683484504913,-1.6774537037037036,11.65683484504913,0.13842592592592595,0.26729795708959286,246.21900000000005,232.10699999999994,246.085186168,96.0,0.0,0.3219565106659236,-0.39598220135830836,0.39598220135830836,0.3219565106659236,1.2352941176470589,1.8823529411764706,2.3529411764705883,2.338951442635913,359.39524148897124,12.792528739883947,8.828965602059158,8.828965602059158,7.919556629830164,5.207797831837998,5.207797831837998,4.452401230836642,4.452401230836642,3.448797780326808,3.448797780326808,2.441964918214695,2.441964918214695,-1.2200000000000002,6729.328107550213,12.242551905682594,3.9133773211424256,1.6051681441255878,96.24682921203161,25.742898183369153,17.746858027879952,0.0,0.0,5.907179729351506,6.031114512338072,10.111325788078153,4.794537184071822,0.0,0.0,0.0,6.4208216229260096,12.52478801067431,6.103966387748303,30.015183947506465,11.938294241689578,0.0,10.633577208012662,5.917906046161393,30.27164603855426,6.606881964512918,0.0,0.0,0.0,10.633577208012662,4.794537184071822,0.0,0.0,62.82211020119356,4.794537184071822,5.917906046161393,6.4208216229260096,0.0,0.0,0.0,0.0,139.12,48.31390666799214,24.90865655266576,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,5.316788604006331,5.316788604006331,5.106527394840706,0.0,0.0,22.751685090702946,42.337752739984886,-1.6774537037037036,-1.5583796296296297,-0.7691392668178378,-4.705345332577476,-0.4624532312925169,0.0,0.7777777777777778,17.0,6.0,8.0,1.0,1.0,2.0,0.0,0.0,0.0,6.0,6.0,8.0,1.0,1.0,1.0,2.0,2.0,-3.3405,52.61860000000003,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CHEMBL331779,12.63566285839915,-1.4076008923646353,12.63566285839915,0.08581113217657244,0.4859707995297291,419.3890000000001,402.2530000000002,419.1005018839999,156.0,0.0,0.33620742500424267,-0.47762031242177716,0.47762031242177716,0.33620742500424267,0.7741935483870968,1.4516129032258065,2.129032258064516,1.8758073060669265,1200.0343086759956,22.543241116511005,16.286521604405117,16.286521604405117,14.756927950821467,9.058709812839677,9.058709812839677,6.507031671777912,6.507031671777912,4.346204734444963,4.346204734444963,2.810068721357341,2.810068721357341,-4.459999999999999,7036925.69425087,21.253710800170307,8.913269240175255,4.937158573099281,176.26826542129007,20.26670634748779,5.749511833283905,11.532756779648844,0.0,5.907179729351506,11.938610575903699,9.589074368143644,9.589074368143644,0.0,0.0,24.26546827384644,49.38830667892189,11.126902983393991,16.814289258077554,34.12806647976875,29.316421526303706,0.0,0.0,0.0,6.923737199690624,5.316788604006331,88.9838437198657,0.0,11.49902366656781,10.05365155780638,5.687386274683562,11.49902366656781,0.0,33.84209004130155,0.0,0.0,48.35569190276589,66.73003775307771,0.0,0.0,0.0,130.0,23.4092417969522,24.284676131127995,0.0,28.40917159632674,11.250837766380558,12.13273413692322,19.056471336613843,42.46456947923127,0.0,5.316788604006331,9.843390348640755,5.708677773578566,0.0,46.757653088211384,21.08843012769116,0.19227104609201762,-3.107514629428929,16.28987605852002,0.0,1.403939868669115,0.0,0.043478260869565216,31.0,3.0,8.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,3.0,8.0,7.0,0.0,0.0,0.0,3.0,4.330200000000002,111.27630000000008,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL99889,13.289236152962811,-0.8164775097281718,13.289236152962811,0.2187680041152258,0.5653434928091642,443.9060000000001,420.7220000000002,443.1411974960001,162.0,0.0,0.2678900884952534,-0.3929906484266634,0.3929906484266634,0.2678900884952534,1.1612903225806452,1.8709677419354838,2.5806451612903225,1.5488971064806214,1091.1446939671655,21.957454678884098,16.775889315775096,17.53181826179355,14.885050488558724,10.192873860126525,10.570838333135754,7.827682594214498,8.264118374686483,5.560074770222202,5.795171873009941,3.824720987824348,4.005263618053089,-2.899999999999999,12591182.947709316,21.33654635497979,9.076057148194945,5.057832806514971,183.5537455902536,20.307204250644723,17.55298966504232,0.0,5.907179729351506,5.907179729351506,0.0,9.589074368143644,4.39041504767482,0.0,0.0,23.733674027155736,54.80329714831868,35.435892680573545,6.103966387748303,19.086016810659167,34.31822428101658,0.0,15.200676855804016,0.0,31.408272085674295,13.08951281182515,70.62817018902557,0.0,0.0,5.316788604006331,4.39041504767482,0.0,11.600939890232516,52.04009513406282,11.21535880699783,5.817220841045895,28.8935599164693,48.53093654769288,5.022633313741326,10.902924932081056,0.0,85.43,18.05298694624777,19.086016810659167,0.0,18.14522219332341,36.64771736626696,16.46637642377805,12.13273413692322,41.29811214162014,0.0,10.30076712495354,11.600939890232516,13.289236152962811,6.021937031702324,30.83907644133564,13.924483012674507,1.8238344522841283,-0.9944671562281031,12.01093123772671,0.8336293622333624,0.8624505764197328,0.0,0.30434782608695654,31.0,3.0,6.0,0.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,8.0,5.0,0.0,1.0,1.0,4.0,3.2848000000000015,116.48770000000002,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL118313,12.584736932473223,-1.3912381342436355,12.584736932473223,0.11155493382946502,0.5379785922991385,407.37800000000016,390.24200000000013,407.1005018839999,152.0,0.0,0.33620742500424267,-0.49674235152018414,0.49674235152018414,0.33620742500424267,0.8,1.5333333333333334,2.2333333333333334,1.8689396085707484,1123.9738429796005,21.67299762850793,15.786521604405118,15.786521604405118,14.384249150759294,8.716958103303542,8.716958103303542,6.101996724962648,6.101996724962648,4.146845559908727,4.146845559908727,2.6949536803605936,2.6949536803605936,-4.329999999999999,4964548.032771114,20.405434621133036,8.782967271138903,4.556426563538414,170.85534643635654,25.00356930128784,11.49902366656781,5.749511833283905,0.0,5.907179729351506,11.938610575903699,4.794537184071822,9.589074368143644,0.0,0.0,18.19910120538483,48.53093654769288,5.563451491696996,23.924086799355084,34.07039224949697,23.533176579938768,0.0,0.0,0.0,0.0,12.426586145283864,83.42039222816871,0.0,17.248535499851716,14.790514511606428,5.687386274683562,17.248535499851716,0.0,35.168642636214145,0.0,0.0,31.07396602730645,66.73003775307771,0.0,0.0,0.0,122.16000000000001,23.4092417969522,19.490138947056174,0.0,17.062475158264807,17.000349599664464,12.13273413692322,13.176164609739143,48.53093654769288,0.0,5.316788604006331,14.580253302440804,10.841514206276944,0.0,35.142167291743945,21.120189741258812,-0.027783583884808172,-2.235823737163611,16.825240657544047,0.0,0.0,1.5011620908913372,0.045454545454545456,30.0,3.0,8.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,3.0,8.0,7.0,0.0,0.0,0.0,3.0,4.136200000000002,107.82380000000008,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL342364,12.775194716699044,-0.5602775853139612,12.775194716699044,0.10883744855967059,0.7273291353069953,367.8360000000001,349.6920000000002,367.108754496,132.0,0.0,0.2678793648203008,-0.3505278568942658,0.3505278568942658,0.2678793648203008,1.2307692307692308,2.0384615384615383,2.8846153846153846,1.56038934605198,1011.2138704160543,18.25878406613483,14.252040634516641,15.007969580535097,12.524877143252588,8.473544078306993,8.851508551316218,6.505274794196182,6.941710574668167,4.816737844314295,5.051834947102033,3.420958425706478,3.6015010559352185,-2.7899999999999987,1178065.7532515405,16.66626241604183,6.498845478615823,2.9479117692606804,155.49915009194152,15.200676855804016,11.735768823996422,0.0,5.907179729351506,5.907179729351506,0.0,9.589074368143644,0.0,0.0,0.0,29.800041095617345,48.73693007985707,28.660616503183135,0.0,9.589074368143644,40.005610555700144,0.0,10.30076712495354,0.0,18.88348407499998,11.947581713527669,64.81094934797966,0.0,0.0,10.216698334856808,5.687386274683562,0.0,11.600939890232516,29.88785079147537,11.21535880699783,0.0,22.472738293543287,48.53093654769288,5.022633313741326,10.902924932081056,0.0,65.2,6.041840829147961,9.589074368143644,0.0,11.814359458703011,17.137382931515795,28.574584321387622,0.0,30.146682918912497,30.33183534230805,10.30076712495354,11.600939890232516,0.0,5.996015381849605,30.132575481026507,4.344676367021176,3.2551878055706522,-0.4051072898295116,14.404754153714823,1.3030683605449116,0.0,1.7466075178796139,0.2,26.0,2.0,5.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,6.0,2.0,0.0,0.0,0.0,4.0,3.528900000000001,102.73590000000002,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL342664,12.490873645754597,-0.5450812547241122,12.490873645754597,0.17647119341563777,0.6793136487314279,319.36400000000003,302.228,319.13207678400005,120.0,0.0,0.26787923695714183,-0.3505292626500912,0.3505292626500912,0.26787923695714183,1.0833333333333333,1.875,2.75,1.5228117169150304,896.0164172015626,16.518297090128677,13.004212835197082,13.004212835197082,11.70350993820667,7.979451048279503,7.979451048279503,5.981383680752019,5.981383680752019,4.373991817091626,4.373991817091626,3.0804375511124977,3.0804375511124977,-3.0799999999999996,530828.116994929,14.508349123611596,5.847673661545488,2.645839671572822,138.62097026406798,15.617555728959871,11.735768823996422,0.0,5.907179729351506,5.907179729351506,0.0,9.589074368143644,0.0,0.0,0.0,36.39820241076966,36.60419594293384,16.590311206764618,0.0,9.589074368143644,28.404670665467634,0.0,10.30076712495354,0.0,18.88348407499998,5.316788604006331,65.85468310269995,0.0,0.0,10.633577208012662,5.687386274683562,0.0,0.0,22.84017880879818,11.21535880699783,0.0,22.472738293543287,54.59730361615449,0.0,10.902924932081056,0.0,73.99000000000001,6.041840829147961,9.589074368143644,0.0,11.814359458703011,12.114749617774471,28.574584321387626,0.0,6.06636706846161,48.53093654769288,15.617555728959871,0.0,0.0,0.0,27.959568688586543,6.703086509550254,3.281672500012147,-0.4428544133702863,16.677716372565758,1.3208103426555806,0.0,0.0,0.15789473684210525,24.0,3.0,5.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,4.0,2.8512000000000004,92.94560000000003,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL136712,12.542815255731924,-0.57416647420285,12.542815255731924,0.1968004115226336,0.6592618376279512,353.809,337.68100000000004,353.093104432,126.0,0.0,0.26787924408808894,-0.3505278568974848,0.3505278568974848,0.26787924408808894,1.16,2.0,2.88,1.5263141402647904,979.7145875576339,17.388540578131753,13.304827039016683,14.060755985035138,12.09735678832402,8.079116887307077,8.457081360316305,6.125705625492335,6.56214140596432,4.426814617959877,4.661911720747616,3.1105682131862795,3.2911108434150202,-2.7899999999999996,741983.9643383613,15.721146118735113,6.256824241301052,3.1046664994872564,148.9242364909496,15.617555728959871,11.735768823996422,0.0,5.907179729351506,5.907179729351506,0.0,9.589074368143644,0.0,0.0,0.0,29.800041095617345,48.73693007985706,21.61294452050595,0.0,9.589074368143644,40.005610555700144,0.0,10.30076712495354,0.0,18.88348407499998,5.316788604006331,64.81094934797966,0.0,0.0,10.633577208012662,5.687386274683562,0.0,11.600939890232516,22.84017880879818,11.21535880699783,0.0,22.472738293543287,48.53093654769288,5.022633313741326,10.902924932081056,0.0,73.99000000000001,6.041840829147961,9.589074368143644,0.0,11.814359458703011,17.1373829315158,28.574584321387626,0.0,18.19910120538483,30.33183534230805,15.617555728959871,11.600939890232516,0.0,5.977222656617485,28.00729899359499,7.169519633005765,3.1217191789224623,-0.5038109935332156,14.22525994862538,1.2805683605449114,0.0,0.0,0.15789473684210525,25.0,3.0,5.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,6.0,2.0,0.0,0.0,0.0,4.0,3.5046000000000017,97.95560000000002,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
