chembl_id,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL442489,11.788311130007559,-0.6318613000755853,11.788311130007559,0.0507242588393384,0.32819952028873667,244.24999999999997,232.15399999999994,244.084792244,92.0,0.0,0.2692907271260791,-0.5104267142860176,0.5104267142860176,0.2692907271260791,1.3333333333333333,1.9444444444444444,2.4444444444444446,2.1363738058075907,536.3499386275117,13.120955864630139,9.550853985284963,9.550853985284963,8.613392202930191,5.551483459050327,5.551483459050327,4.147315673743174,4.147315673743174,2.6842283528184234,2.6842283528184234,1.523619587729925,1.523619587729925,-2.4799999999999995,22014.771824671607,11.98960467611348,4.797835624045536,2.6054713800408753,103.98299520407231,15.529843393687743,17.577898017732355,5.573104530069267,0.0,5.907179729351506,0.0,4.794537184071822,0.0,5.261891554738487,0.0,0.0,37.107111519698464,11.605292320844956,0.0,15.007591973753234,11.594566004035068,5.261891554738487,0.0,5.917906046161393,12.841643245852019,5.316788604006331,35.597737675571885,0.0,11.818733146076179,5.316788604006331,5.687386274683562,5.749511833283905,0.0,16.12023451903292,4.794537184071822,17.249018913692154,12.841643245852019,35.597737675571885,0.0,0.0,0.0,93.35000000000001,5.907179729351506,9.901064578912528,0.0,22.999687281170743,5.687386274683562,12.841643245852019,24.26546827384644,6.069221312792274,0.0,5.316788604006331,10.368418949579192,0.0,0.0,11.788311130007559,30.188836892424558,0.2080758692365836,-0.7254987874779533,7.588880621693122,1.6180609407828022,0.0,0.0,0.23076923076923078,18.0,3.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,5.0,3.0,1.0,0.0,1.0,2.0,2.07638,64.72830000000002,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL342525,11.893056500377929,-0.663217592592592,11.893056500377929,0.07626144892198305,0.43642973464206475,271.276,258.17199999999997,271.095691276,102.0,0.0,0.26929069954149076,-0.5104267142860177,0.5104267142860177,0.26929069954149076,1.3,1.9,2.35,2.1267147962831916,622.059368137385,14.698306133819765,10.589238949438494,10.589238949438494,9.52407580545315,6.070675941127092,6.070675941127092,4.542042688701956,4.542042688701956,2.9863416178495292,2.9863416178495292,1.6966837484221802,1.6966837484221802,-2.8099999999999996,54174.05847708209,13.617712971713582,5.446172584372929,2.951757065096077,115.05511636332939,16.156983476009223,11.82838618444845,5.573104530069267,5.907179729351506,5.907179729351506,0.0,9.589074368143644,0.0,5.261891554738487,0.0,0.0,37.107111519698464,17.16874381254195,0.0,14.69560176298435,17.501745733386574,5.261891554738487,0.0,11.651573523323577,12.841643245852019,5.316788604006331,41.16118916726888,0.0,6.069221312792274,11.050456081168516,5.687386274683562,0.0,0.0,16.920886853543717,4.794537184071822,17.249018913692154,23.19963192162084,35.597737675571885,0.0,0.0,0.0,116.21,11.814359458703011,14.69560176298435,0.0,17.25017544788684,11.250837766380558,12.841643245852019,24.26546827384644,6.069221312792274,0.0,5.316788604006331,10.995559031900672,0.0,0.0,22.804560700976644,21.188902739342854,5.565783883508001,-1.456497358228058,7.652008193709582,1.5785751740243081,0.0,0.0,0.21428571428571427,20.0,4.0,6.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,6.0,4.0,1.0,0.0,1.0,2.0,1.46968,71.58140000000002,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL154151,12.417052272553853,-1.0211098315376212,12.417052272553853,0.2048138899062979,0.7913525050297332,384.86300000000017,363.69500000000005,384.12407021200005,140.0,0.0,0.33153779694239754,-0.47786433956640123,0.47786433956640123,0.33153779694239754,1.037037037037037,1.7037037037037037,2.2962962962962963,1.7962113914818703,917.5240053068674,19.551677284948283,15.251660472823895,16.00758941884235,12.863081100704113,8.705379171413401,9.08334364442263,6.705863563916866,7.113063690657473,4.671737942805357,4.984446951293656,3.2029498596797823,3.4926014350265193,-2.79,1364602.9776150405,18.98501866545865,7.841843705096445,4.141675173790097,162.80778220239364,15.323225729697514,0.0,0.0,0.0,5.907179729351506,5.969305287951849,4.794537184071822,4.794537184071822,0.0,0.0,29.800041095617345,49.091384634321464,42.17977706655703,5.022633313741326,14.69560176298435,34.852197456903,0.0,0.0,0.0,19.26246486877803,24.31204230021119,58.63341185311113,0.0,11.126902983393991,10.216698334856808,11.374772549367124,0.0,11.600939890232516,31.078356377498437,9.589074368143644,0.0,19.26246486877803,53.610778539369804,5.022633313741326,11.126902983393991,0.0,69.64,5.969305287951849,14.69560176298435,0.0,11.480284259420774,35.54558898727218,16.814289258077554,0.0,12.13273413692322,49.32708903851291,5.316788604006331,11.600939890232516,0.0,6.420652146146524,25.666521399323216,12.475801853253985,4.041871878924029,-1.3923574508281695,13.333849389365195,1.6024356315233725,0.0,3.962336263402963,0.23809523809523808,27.0,2.0,5.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,2.0,6.0,5.0,0.0,0.0,0.0,3.0,4.5766000000000036,108.3575,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL157004,13.647488635886454,-4.964661725692188,13.647488635886454,0.029436324524708457,0.5566527996232068,459.34200000000016,444.2220000000001,459.09052728,170.0,0.0,0.5725966444006871,-0.4778643395663957,0.5725966444006871,0.4778643395663957,0.90625,1.5625,2.1875,1.9589162656286294,1088.4279486868138,23.6814337969452,16.102517532833936,16.102517532833936,14.848173775453851,9.190504655650438,9.190504655650438,6.903693452073813,6.903693452073813,4.724193478467871,4.724193478467871,3.36819103469135,3.36819103469135,-3.4999999999999982,8330761.511445917,23.16917495296963,8.559279778393352,5.3979559871563945,176.85143995237289,15.160178952647087,5.749511833283905,0.0,0.0,5.907179729351506,18.50796266442571,4.794537184071822,4.794537184071822,13.171245143024459,13.171245143024459,18.19910120538483,54.654836126018466,11.146209060138535,11.250837766380558,45.77495500283332,17.563871291986917,0.0,0.0,0.0,31.801122245251886,5.316788604006331,59.1742300310668,0.0,16.876414816677897,10.05365155780638,32.02987656073248,5.749511833283905,0.0,23.345371271174443,15.76537288558712,0.0,24.825916360475023,53.610778539369804,0.0,11.126902983393991,0.0,75.63,41.41549199344168,35.93156465419257,0.0,35.11475528938455,12.487188691387619,18.19910120538483,18.19910120538483,0.0,0.0,10.05365155780638,5.106527394840706,82.00674313715615,0.0,23.630859619971808,11.25087738594409,-2.1009663303255617,-2.8527467390227734,7.277348362439104,-9.21211543616283,0.0,0.0,0.23809523809523808,32.0,2.0,5.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,2.0,11.0,5.0,0.0,0.0,0.0,3.0,5.774600000000002,100.70550000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL345464,12.405776793218859,-4.805272199048196,12.405776793218859,0.1034228694031396,0.6713148399905692,425.7900000000002,410.6700000000001,425.0641703,152.0,0.0,0.5725966444254379,-0.47786433956640123,0.5725966444254379,0.47786433956640123,1.0689655172413792,1.793103448275862,2.4482758620689653,1.8085275863066068,1001.4610980279107,21.1814337969452,14.846588586815482,15.602517532833938,13.636848910048665,8.56254018264121,8.940504655650438,6.340196879104075,6.747397005844681,4.355650004638603,4.668359013126903,3.124570866452492,3.4142224417992293,-2.9999999999999987,2617482.1945044207,20.727040816326532,8.16326530612245,5.084582852748943,168.29315785607923,15.160178952647087,5.749511833283905,0.0,0.0,5.907179729351506,12.331664146982233,4.794537184071822,4.794537184071822,0.0,13.171245143024459,29.800041095617345,49.09138463432147,22.39704682651909,5.022633313741326,32.60370985980886,29.16481118221943,0.0,0.0,0.0,25.624823727808412,5.316788604006331,58.63341185311113,0.0,16.876414816677897,10.05365155780638,18.858631417708022,5.749511833283905,11.600939890232516,23.345371271174443,9.589074368143644,0.0,19.26246486877803,53.610778539369804,5.022633313741326,11.126902983393991,0.0,75.63,18.23884387633374,22.760319511168106,0.0,21.918354207163766,36.07675412685558,0.0,30.33183534230805,12.13273413692322,0.0,10.05365155780638,16.70746728507322,41.130584771803846,6.251139967561098,23.574052857143222,11.971089761017575,1.529508797225457,-1.996207653995756,9.886953111746235,-3.486010501390566,0.0,0.0,0.2,29.0,2.0,5.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,2.0,9.0,5.0,0.0,0.0,0.0,3.0,5.409200000000002,100.71350000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL154214,14.419927721088435,-4.8028355391016255,14.419927721088435,0.028420198636232907,0.6895079212585876,409.33500000000015,394.2150000000001,409.09372084,152.0,0.0,0.5725963034142613,-0.4778643395663469,0.5725963034142613,0.4778643395663469,0.9655172413793104,1.5862068965517242,2.1724137931034484,1.7599374263279155,980.965985530074,21.1814337969452,14.846588586815482,14.846588586815482,13.636848910048665,8.56254018264121,8.56254018264121,6.336742555410126,6.336742555410126,4.388590686688889,4.388590686688889,3.073163610189869,3.073163610189869,-3.3599999999999985,2703759.7291722116,20.37620730458385,7.941713327076879,4.924999089069079,162.1554270321238,15.160178952647087,11.5667326743298,0.0,0.0,5.907179729351506,12.331664146982233,4.794537184071822,9.184952231746642,0.0,13.171245143024459,18.19910120538483,54.654836126018466,11.146209060138535,5.687386274683562,36.99412490748368,17.563871291986917,0.0,0.0,0.0,25.624823727808412,5.316788604006331,59.4279993804157,0.0,16.876414816677897,10.05365155780638,23.24904646538284,5.749511833283905,0.0,23.345371271174443,9.589074368143644,5.817220841045895,19.26246486877803,53.610778539369804,0.0,11.126902983393991,0.0,75.63,29.805576550663538,27.150734558842927,0.0,23.254416957748106,23.968546229246012,18.19910120538483,24.26546827384644,0.0,0.0,10.05365155780638,5.106527394840706,54.81976387066846,0.0,23.43826088517283,11.484736639638697,0.856636818911316,-2.9923701632954014,8.813937730257106,-3.6709657813530074,0.0,0.0,0.2,29.0,2.0,5.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,2.0,9.0,5.0,0.0,0.0,0.0,3.0,4.894900000000002,95.66150000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL358435,12.402413878625167,-1.03370314149535,12.402413878625167,0.18840319183351184,0.8097953210874763,371.82000000000005,353.6760000000001,371.09243573599997,134.0,0.0,0.3315377969638017,-0.4967678183519224,0.4967678183519224,0.3315377969638017,1.0384615384615385,1.6923076923076923,2.3076923076923075,1.8029893491422222,887.184236519778,18.681433796945203,14.212695167787802,14.968624113806257,12.490402300641938,8.199717618359301,8.577682091368528,5.993063888797237,6.400264015537843,4.390714304415075,4.703423312903374,3.007574370977633,3.235362560332527,-2.79,982835.283468653,18.014680587861644,7.6203136289347775,3.727340194004477,155.79655164730053,15.160178952647085,5.749511833283905,0.0,0.0,5.907179729351506,5.969305287951849,4.794537184071822,4.794537184071822,0.0,0.0,29.800041095617345,54.654836126018466,11.146209060138535,17.81981712970242,19.432464716784395,29.16481118221943,0.0,0.0,0.0,19.26246486877803,12.426586145283864,58.63341185311113,0.0,16.876414816677897,10.05365155780638,5.687386274683562,5.749511833283905,11.600939890232516,24.092809953421593,9.589074368143644,0.0,19.26246486877803,53.610778539369804,5.022633313741326,11.126902983393991,0.0,75.63,11.876485017303356,14.69560176298435,0.0,5.573104530069267,35.54558898727218,16.876414816677897,0.0,19.242531678200752,30.33183534230805,5.316788604006331,16.337802844032566,5.146178037224536,6.315749296632233,23.612615738431618,12.292890078653148,2.8458707253444815,-0.6709244466175037,12.897424833431709,1.5612798342792307,0.0,1.61002701373166,0.2,26.0,2.0,5.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,2.0,6.0,5.0,0.0,0.0,0.0,3.0,4.519200000000003,100.58250000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL345652,14.628107048374906,-1.1985716897617495,14.628107048374906,0.025087325585576803,0.756914353090797,403.3810000000002,384.22900000000016,403.123129148,152.0,0.0,0.33153779702787256,-0.4966240328993916,0.4966240328993916,0.33153779702787256,1.0,1.6551724137931034,2.2413793103448274,1.939073316411188,993.1213128382428,21.129027554137906,15.844207392881637,15.844207392881637,13.84977430814864,8.834405623893042,8.834405623893042,6.451043101474675,6.451043101474675,4.750413957531111,4.750413957531111,3.304333172971018,3.304333172971018,-3.42,3504336.0456076628,20.3177575472973,8.299375122818685,4.056884737106461,165.30284357017484,19.897041906447136,28.82085162334316,0.0,0.0,5.907179729351506,5.969305287951849,4.794537184071822,13.575367279421462,0.0,0.0,0.0,49.091384634321464,22.776027620297143,14.219595082555067,32.95015776593409,17.563871291986917,0.0,0.0,0.0,19.26246486877803,19.536383686561397,53.112486084538375,0.0,22.6259266499618,14.790514511606428,14.468216370033202,11.49902366656781,0.0,31.202607494699127,9.589074368143644,11.63444168209179,19.26246486877803,41.478044402446585,0.0,11.126902983393991,0.0,84.86,29.198312974078704,18.369904463493285,0.0,29.551303797687552,23.483296781190816,12.13273413692322,14.219595082555067,18.19910120538483,0.0,5.316788604006331,14.580253302440804,39.62869314294278,0.0,23.563970901468316,11.319623634468027,0.03696607943857444,-3.0943945189544024,6.963398206315706,1.002620507171477,0.0,2.9124553804828563,0.23809523809523808,29.0,2.0,6.0,1.0,0.0,1.0,2.0,0.0,2.0,4.0,2.0,8.0,6.0,0.0,0.0,0.0,3.0,4.152600000000002,102.04050000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL345147,14.401121504157219,-1.191980293944164,14.401121504157219,0.01758902413123109,0.8047046982111731,377.7740000000001,363.66200000000003,377.063027428,134.0,0.0,0.33153779702787256,-0.4778643395662922,0.4778643395662922,0.33153779702787256,1.0384615384615385,1.6538461538461537,2.269230769230769,1.9267281347922631,917.1266310408843,18.844570503761734,13.483025554152766,14.238954500171221,12.37991785310972,7.887959386483109,8.265923859492336,5.864675356667555,6.271875483408161,4.215577530487311,4.545165751527357,2.9626503026427007,3.207492623340899,-2.729999999999999,825009.8124214304,18.072837076236716,7.253312874549268,3.4582566189523063,152.6491351092495,10.423315998847038,17.32182795677535,0.0,0.0,5.907179729351506,5.969305287951849,4.794537184071822,13.575367279421462,0.0,0.0,29.800041095617345,43.025017565859855,21.732293865576857,0.0,23.47643185833399,29.16481118221943,0.0,0.0,0.0,19.26246486877803,5.316788604006331,64.2014864667413,0.0,11.126902983393991,5.316788604006331,14.468216370033202,0.0,11.600939890232516,16.98301241214406,9.589074368143644,11.63444168209179,19.26246486877803,47.544411470908194,5.022633313741326,11.126902983393991,0.0,66.39999999999999,29.198312974078707,18.369904463493285,0.0,29.55130379768755,17.00690642836433,12.13273413692322,0.0,24.26546827384644,0.0,5.316788604006331,16.70746728507322,28.802243008314434,6.0430128037789,23.39397756901198,11.591431459531936,0.10077812130617159,-3.9320943200072627,8.746979046401915,1.0314500894397036,0.0,0.0,0.15789473684210525,26.0,2.0,4.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,7.0,4.0,0.0,0.0,0.0,3.0,4.788800000000002,93.94650000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL155597,12.458847708058704,-4.771420984951448,12.458847708058704,0.13727113092997256,0.7288224250272598,405.3720000000002,387.2280000000002,405.1187927159999,152.0,0.0,0.5725966444006869,-0.47786433956639596,0.5725966444006869,0.47786433956639596,1.0344827586206897,1.7241379310344827,2.3793103448275863,1.808326976091848,995.6609940473033,21.181433796945203,15.468624113806253,15.468624113806253,13.636848910048666,8.873557946136597,8.873557946136597,6.675271950328581,6.675271950328581,4.625630950709821,4.625630950709821,3.2843270034828094,3.2843270034828094,-3.29,2669814.70524168,20.4444068932743,7.984642456237744,4.955868711622899,164.35483374359418,15.160178952647085,5.749511833283905,0.0,0.0,5.907179729351506,12.331664146982233,4.794537184071822,4.794537184071822,0.0,13.171245143024459,18.19910120538483,67.14202481740608,16.8335953348221,0.0,32.60370985980885,17.563871291986917,0.0,0.0,0.0,32.54856092749904,5.316788604006331,59.1742300310668,0.0,16.876414816677897,10.05365155780638,18.858631417708022,5.749511833283905,0.0,23.345371271174443,9.589074368143644,6.923737199690624,24.825916360475023,53.610778539369804,0.0,11.126902983393991,0.0,75.63,18.23884387633374,27.86684690600881,0.0,16.895720893422443,41.640205618552585,0.0,18.19910120538483,31.18920547353706,0.0,10.05365155780638,0.0,41.19672514616347,0.0,23.691991517175133,11.914743126684831,2.786204871488496,-1.8505509324594054,10.631614589763368,-3.3670725648476383,1.746344246031746,0.0,0.23809523809523808,29.0,2.0,5.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,2.0,8.0,5.0,0.0,0.0,0.0,3.0,5.064220000000002,100.44050000000006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
