chembl_id,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL553244,12.653054182063773,-0.7528027193387652,12.653054182063773,0.020120253787037967,0.18245767321916534,407.5200000000002,380.3040000000001,407.18598614409007,152.0,0.0,0.25175417937387595,-0.37015315250350794,0.37015315250350794,0.25175417937387595,1.25,2.0,2.6785714285714284,2.222097410581976,776.5844828879854,20.681433796945207,16.079842278425907,16.89633885935363,13.256927950821467,8.869021587320672,11.079365018365749,6.7427051998292376,9.002577453731021,4.072710026938933,4.961064530092629,2.8053496448994553,3.6790852746745735,-2.7500000000000004,1080352.81219837,21.548956916099772,9.975659928656361,6.448067294562516,166.60528745689678,27.417700766343362,11.79469443589475,5.959554568743835,11.814359458703011,5.907179729351506,0.0,19.376016284851133,0.0,0.0,0.0,6.06636706846161,35.86935813354448,23.35904566399013,19.056294772935384,14.383611552215466,40.26346078225115,0.0,10.633577208012662,16.459739686960038,24.63633768174677,30.91783978285429,29.32600418877882,0.0,0.0,27.417700766343362,5.687386274683562,0.0,0.0,55.323985764794266,26.236908725659667,0.0,28.763083413317833,23.1915059380205,0.0,0.0,0.0,151.7,11.949020558499466,14.383611552215466,0.0,35.21365118412866,30.637237418145155,11.316305098443785,0.0,12.13273413692322,6.06636706846161,33.45430891167747,11.46733495432437,0.0,0.0,41.272214994870026,8.065449317191591,12.450480952891045,-0.39167496769904664,4.518200769866834,5.0572037998274615,0.15048708248914355,0.09986027278517162,0.4444444444444444,28.0,7.0,9.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,5.0,10.0,6.0,0.0,0.0,0.0,2.0,-0.7151999999999954,112.16340000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CHEMBL540392,12.891076163183119,-0.7736927021867899,12.891076163183119,0.02457855063155634,0.17506595459815644,469.59100000000024,440.3590000000002,469.20163620809006,174.0,0.0,0.25175446122285416,-0.37015315250350794,0.37015315250350794,0.25175446122285416,1.121212121212121,1.878787878787879,2.606060606060606,1.800955264688,1039.7471789853525,23.794317972067564,18.466593624374035,19.283090205301765,15.829407595892901,10.575581044611702,12.377676185192918,7.707296016885041,9.741649366519184,5.14611533552234,6.967035652478902,3.463734955914239,4.970385592343443,-3.53,19339457.69526123,24.11912700006634,11.369084794364896,6.977100545501115,195.29743954856414,27.417700766343362,18.050463619406155,10.85503804426161,11.814359458703011,5.907179729351506,0.0,19.376016284851133,0.0,0.0,0.0,24.26546827384644,37.107111519698464,34.254026414759366,6.544756405912575,14.383611552215466,40.26346078225115,0.0,10.633577208012662,16.459739686960038,29.531821157264545,24.662070599342886,59.65783953108687,0.0,0.0,27.417700766343362,5.687386274683562,0.0,0.0,49.06821658128286,26.236908725659667,0.0,28.763083413317833,58.41882475584632,0.0,0.0,0.0,151.7,11.949020558499466,14.383611552215466,0.0,35.21365118412866,36.39009102489194,5.563451491696996,4.895483475517775,12.13273413692322,24.26546827384644,39.33127386508929,11.46733495432437,0.0,0.0,43.196991975520866,8.158409781512361,12.44620720566989,-0.5151149863517661,14.619225781565596,2.9814580826274337,0.11969028173217255,-0.11797923338766769,0.30434782608695654,33.0,7.0,9.0,0.0,1.0,1.0,2.0,0.0,2.0,4.0,5.0,10.0,7.0,0.0,0.0,0.0,3.0,0.7141000000000031,130.9474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CHEMBL38512,12.532051130637441,-0.7587390033173766,12.532051130637441,0.14995207540457378,0.17016401486172447,425.2870000000001,404.1190000000001,424.0858506320001,140.0,0.0,0.25160160615532323,-0.3701604379834824,0.3701604379834824,0.25160160615532323,1.3461538461538463,2.1153846153846154,2.8076923076923075,2.170848856139775,723.9366737006961,19.10408352775558,14.024994596281685,15.61099113539639,12.401085903164898,8.056154805942203,9.177623713688604,5.780265286553777,6.3409997404269784,3.8122354086636916,4.4163428234878825,2.5106845876778774,2.9996497797143733,-2.6199999999999997,492758.62607770186,19.701408166163176,9.181271269952443,5.446072656469824,158.65179744641617,27.000821893187506,6.041840829147961,5.959554568743835,11.814359458703011,5.907179729351506,0.0,19.792895158006985,0.0,0.0,0.0,21.99631096641096,30.537828874472233,23.12568381935456,6.544756405912575,14.383611552215466,45.29842392943126,5.409283605791522,15.950365812018994,5.733667477162185,24.21357372206141,18.406301415831482,29.32600418877882,0.0,0.0,27.000821893187506,5.687386274683562,0.0,15.929943897949348,42.812447397771464,14.91916401520507,5.409283605791522,28.76308341331783,18.19910120538483,0.0,0.0,0.0,149.2,11.949020558499466,14.383611552215466,0.0,24.31867043335942,35.967327065206575,5.563451491696996,0.0,18.19910120538483,0.0,37.19709831397468,11.142951082953708,0.0,3.3228348695030276,36.90355220001331,18.158070253989926,6.849244967715179,-1.3478235480677125,4.288428461502956,0.8851397593140918,0.19055303602922624,0.0,0.375,26.0,7.0,9.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,6.0,10.0,5.0,0.0,0.0,0.0,2.0,0.011470000000000147,101.11740000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CHEMBL349545,11.69932324472999,-1.088495209776083,11.69932324472999,0.03619827951635002,0.24393869508924373,335.36400000000003,314.196,335.1593541520001,130.0,0.0,0.24491113873964365,-0.3936790828945965,0.3936790828945965,0.24491113873964365,1.2083333333333333,1.8333333333333333,2.3333333333333335,2.3903652364435857,614.795355484651,18.112519696192855,13.257380425588947,13.257380425588947,11.328606258093464,7.188454663379948,7.188454663379948,5.040816274902806,5.040816274902806,3.0543555480845272,3.0543555480845272,1.7953578233430458,1.7953578233430458,-2.9399999999999995,140681.64521105302,19.107483380816713,9.255532026118557,6.443999313378465,138.66951044849537,26.790560684021884,11.87746061490523,0.0,17.721539188054518,0.0,0.0,19.79289515800699,0.0,0.0,0.0,24.26546827384644,5.563451491696996,19.031945097300195,13.151638370425493,19.49013894705617,23.557158973811788,5.409283605791522,15.950365812018994,5.733667477162185,19.51033443475116,13.151638370425493,35.392371257240434,0.0,0.0,21.68403328918118,0.0,0.0,0.0,47.85716556822594,20.928367958128042,5.409283605791522,18.050640183084614,24.26546827384644,0.0,0.0,0.0,157.4,30.370261981715394,14.383611552215466,0.0,18.92513259758242,5.563451491696996,5.563451491696996,6.923737199690624,24.26546827384644,0.0,15.950365812018994,16.249478477794412,0.0,0.0,34.269766224140305,23.517642775627344,6.748722279104415,-1.5548745198191223,5.715153215381042,0.0,0.6369233588993524,0.0,0.3333333333333333,24.0,7.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,6.0,9.0,8.0,0.0,0.0,0.0,1.0,-1.7999299999999976,87.00500000000001,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL345236,11.52364927143697,-1.0306248394057118,11.52364927143697,0.019888833976135167,0.25386836666531837,293.32699999999994,274.175,293.148789468,114.0,0.0,0.2392292229515186,-0.3942069863369463,0.3942069863369463,0.2392292229515186,1.2380952380952381,1.8571428571428572,2.380952380952381,2.357768294355253,515.0429464929126,15.828062645816686,11.42648240431471,11.42648240431471,9.934759407976111,6.278988716886537,6.278988716886537,4.394199704290346,4.394199704290346,2.7112640881747194,2.7112640881747194,1.4467013258206123,1.4467013258206123,-2.4499999999999997,37631.84704918291,16.60390835579515,7.975724134212155,5.591067058408899,121.5681326330631,27.207439557177736,11.87746061490523,0.0,11.814359458703011,0.0,0.0,14.998357973935164,0.0,0.0,0.0,24.26546827384644,5.563451491696996,12.10820789760957,13.151638370425493,14.69560176298435,17.64997924446028,5.409283605791522,10.633577208012662,11.46733495432437,12.586597235060536,13.151638370425493,35.392371257240434,0.0,0.0,22.100912162337032,0.0,0.0,0.0,41.94998583887444,16.133830774056218,5.409283605791522,11.126902983393991,24.26546827384644,0.0,0.0,0.0,154.32,18.555902523012385,9.589074368143644,0.0,18.28755592102135,12.10820789760957,5.563451491696996,0.0,24.26546827384644,0.0,10.633577208012662,21.983145954956598,0.0,0.0,22.76968055998907,20.86557135690901,12.06640501109723,-0.9758190640928723,5.836706967896335,0.0,-0.3958781651321057,0.0,0.3076923076923077,21.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,6.0,8.0,7.0,0.0,0.0,0.0,1.0,-1.9773299999999978,77.37570000000001,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL422845,7.813380467123044,0.09008513899386905,7.813380467123044,0.09008513899386905,0.1969750205065651,442.03400000000016,425.9060000000002,441.01948819200004,140.0,0.0,0.13262796436024593,-0.38300044951208445,0.38300044951208445,0.13262796436024593,1.1071428571428572,1.8571428571428572,2.5714285714285716,1.6446909737333792,1101.648454786518,19.50986092169139,14.685232951362835,17.890651640164467,13.597356788324019,8.467374544464029,11.52708696930937,6.044523511583465,9.635277921093007,4.050791026459911,7.704651874922943,2.637120237330803,5.978528475614814,-2.1199999999999983,4168677.6248150137,19.20749134828616,8.489795841774505,4.306170174420433,180.28456243677613,5.733667477162185,10.843243482610035,0.0,0.0,0.0,0.0,5.409283605791522,4.9839785209472085,0.0,34.43545670526059,54.06550936946378,23.762552697081826,27.282452674348022,14.780254366071839,0.0,51.872016381250376,5.409283605791522,4.9839785209472085,5.733667477162185,9.962032784268867,0.0,81.50696545422164,0.0,21.828454675095216,5.733667477162185,0.0,0.0,46.03639659549311,10.819598306704478,5.752853606746789,5.409283605791522,10.440598685398296,70.25291263260411,5.022633313741326,21.828454675095216,0.0,62.760000000000005,0.0,0.0,0.0,5.835619785757269,5.022633313741326,36.667634653065384,5.563451491696996,34.43545670526059,48.53093654769288,17.512796907389134,27.72786949413343,1.1306103552532127,10.89519633762759,5.598237763118716,11.509662205784764,10.00801704563132,0.9523022265099282,20.017085177185578,0.0,0.0,0.0,0.047619047619047616,28.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,2.0,7.0,6.0,0.0,0.0,0.0,4.0,6.7683700000000036,122.8921,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
CHEMBL440919,12.002058782883166,-1.2344674319983053,12.002058782883166,0.044697549628806676,0.2592377246509758,393.4440000000001,366.2280000000001,393.2012189640001,154.0,0.0,0.40789158772684986,-0.4438226685966998,0.4438226685966998,0.40789158772684986,1.1785714285714286,1.7857142857142858,2.2857142857142856,2.418200111919606,712.0716567887376,21.319626477379405,16.16562871605281,16.16562871605281,13.013057669960975,8.596702953843813,8.596702953843813,6.9865220439319335,6.9865220439319335,3.367827466708546,3.367827466708546,1.999812307767871,1.999812307767871,-3.1399999999999997,679271.2327627399,22.9002252614642,10.260490577999235,8.494855011852811,162.87788202119214,31.527423637821933,17.478511425888918,0.0,11.814359458703011,0.0,6.093240070938415,14.998357973935166,4.794537184071822,0.0,0.0,24.26546827384644,26.334663090768867,12.10820789760957,13.151638370425493,24.22700190085622,23.743219315398697,5.409283605791522,15.950365812018994,5.733667477162185,38.95885964511609,13.151638370425493,35.392371257240434,0.0,0.0,21.68403328918118,4.794537184071822,0.0,0.0,53.64427672079654,20.870693727856267,5.409283605791522,31.898114582465862,24.26546827384644,0.0,0.0,0.0,166.63,36.157373134286,19.49013894705617,0.0,18.92513259758242,5.563451491696996,5.563451491696996,0.0,45.03667987291831,0.0,15.950365812018994,15.879814036753757,5.0149403464192845,0.0,35.535478253212716,23.780426612240028,5.998815608697629,-1.204630336014965,5.547124981405005,-0.8470747138897388,4.258252581263369,0.0,0.4444444444444444,28.0,7.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,6.0,10.0,8.0,0.0,0.0,0.0,1.0,-0.4113299999999964,102.55800000000002,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL415741,12.23856276795572,-3.8260188300812943,12.23856276795572,0.057939857289306174,0.17861689096846164,461.54400000000015,434.32800000000026,461.17328996399993,172.0,0.0,0.24048149992284998,-0.3941621350405708,0.3941621350405708,0.24048149992284998,1.0,1.65625,2.25,1.773634997768274,1026.3057091057833,23.56226716449868,17.374841914837898,18.191338495765624,15.197509081828484,9.82470012442433,11.476965350744486,7.012614200944246,8.886060504010759,4.500969444624959,5.886185621683122,2.702158079142691,3.9395061676839216,-3.2799999999999994,8558212.155325823,24.984650420524265,11.935774217329714,8.456018780679535,186.3258584469307,21.47377208001555,11.87746061490523,0.0,21.837650612110593,0.0,0.0,14.998357973935164,13.139891848781026,0.0,0.0,54.59730361615449,17.54772460632,12.10820789760957,18.90449197717228,23.113398747313287,27.673270397867864,5.409283605791522,15.355672072464749,5.733667477162185,19.007418857986544,18.90449197717228,71.28765809124549,0.0,0.0,21.089339549626935,0.0,0.0,0.0,56.12063642995016,32.57794355038981,5.409283605791522,16.690354475090988,54.59730361615449,0.0,0.0,0.0,174.46999999999997,34.486373405771474,23.113398747313287,0.0,31.098807827255218,5.563451491696996,11.126902983393991,0.0,48.53093654769288,6.06636706846161,15.355672072464749,11.142951082953708,26.63707090745164,0.0,24.166667950510377,21.671791673832786,7.549182392075327,-1.6011546383537019,14.331728794870013,0.2556970289177869,-0.9349652792229313,-3.8260188300812943,0.2857142857142857,32.0,7.0,10.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,6.0,11.0,12.0,0.0,0.0,0.0,2.0,-0.7739299999999969,120.2568,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL344945,11.96214119394314,-1.1595109102546577,11.96214119394314,0.025527000923826204,0.40282434303798575,381.93500000000006,369.8390000000001,380.98310268399996,118.0,0.0,0.21688368746493006,-0.6109985480002506,0.6109985480002506,0.21688368746493006,1.3478260869565217,2.0434782608695654,2.652173913043478,2.0273752490927013,855.2367036871552,16.560113453385565,11.999623114692021,15.205041803493655,10.952397498181153,6.489377373883514,10.121569443800285,4.724373962567097,8.646026393350871,3.0991193288074244,6.885856860759113,2.0203134806016814,5.082638029801525,-1.3799999999999997,224060.83878531834,16.476813461230996,6.622661228069651,3.4350847181057103,149.1987492209297,10.286417350852549,17.09901266612144,0.0,4.2091791775220795,0.0,0.0,5.409283605791522,4.9839785209472085,0.0,11.336785877934737,35.07045990509047,29.374955678770117,15.966147575904237,16.134526680246758,4.552749873690364,51.285985905244544,5.409283605791522,4.9839785209472085,5.733667477162185,4.2091791775220795,6.255769183511404,45.61167862021659,0.0,21.828454675095216,5.733667477162185,0.0,0.0,34.27451164610199,21.628117363906245,11.175854473385288,5.409283605791522,4.877147193701299,39.92107729029604,5.022633313741326,21.828454675095216,0.0,85.82,11.175854473385288,4.552749873690364,0.0,5.835619785757269,14.108959684964706,21.828454675095216,22.673571755869474,12.322136251973014,29.645531044312357,4.9839785209472085,22.743890973186225,12.649369085099602,7.498781404186112,5.237528411476825,10.963916193989037,8.141928485261658,-0.025527000923826204,9.2493184853355,1.6180182689084204,0.0,0.0,0.06666666666666667,23.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,2.0,8.0,4.0,0.0,0.0,0.0,3.0,4.213470000000002,99.22149999999998,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
CHEMBL159162,12.572144446778353,-3.9955087441024575,12.572144446778353,0.07553410182678233,0.1509155781881442,505.5530000000002,478.33700000000033,505.1631192040001,188.0,0.0,0.5075507773967692,-0.43761264646276893,0.5075507773967692,0.43761264646276893,1.0,1.6571428571428573,2.257142857142857,1.9295485091842184,1138.5443866615153,25.846724214874857,18.945266409542985,19.761762990470707,16.591355931945838,10.317768219161962,11.970033445482114,7.285381816370671,9.039254963568126,4.550133689674039,5.907141403961261,2.781487338769039,4.104674696634132,-3.9699999999999993,32361030.068302445,27.275866908452688,13.05425322812492,9.814716088486202,202.28517936818886,25.840970592774944,18.484342579418147,0.0,21.837650612110593,0.0,6.155365629538759,14.998357973935166,13.212334168400758,4.722094864452088,0.0,54.59730361615449,11.126902983393991,12.10820789760957,19.4074075539369,32.2751344441445,33.82863602740662,5.409283605791522,15.355672072464749,5.733667477162185,18.339450841807324,20.26143591170303,71.28765809124549,0.0,0.0,21.089339549626935,4.794537184071822,0.0,0.0,58.52641859917895,41.383701441810686,5.409283605791522,16.690354475090988,54.59730361615449,0.0,0.0,0.0,189.76999999999998,52.93934904796959,22.8014085365444,0.0,12.380376191669844,11.126902983393991,12.673249032974528,0.0,54.59730361615449,0.0,20.092535026264798,15.879814036753757,36.3253777036784,0.0,36.00920899814761,12.286884865134358,7.173592082883083,-1.8820771860237395,13.46220390385327,-1.0985259488824848,-0.9289517923824229,-2.931045959741396,0.2727272727272727,35.0,6.0,12.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,5.0,13.0,12.0,0.0,0.0,0.0,2.0,-0.02572999999999659,126.66100000000003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
